	review_date	knowledge_rating	specialty	doctor_name	city	review_count	scheduling_rating	review	staff_rating	wait_time	state	individual_rating	overall_rating	helpfulness_rating
0	May 07, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Had a PFO closure oct2018 everything went smooth The Dr and his Staff are extremely nice and explain everything to you on how the procedures are done ????  Definitely helped make me less nervous! 	5	10 – 15 minutes	TX	5	4.6	4
1	Apr 08, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Dr Loyalka is awesome! He saved my life when Ochsner in New Orleans turned me down too high risk!! 	5	10 – 15 minutes	TX	5	4.6	4
2	Apr 03, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	I'm here today because of Dr. Loyalka and the team.  I had an Aortic tear and was 30-40 minutes away.  But, they all worked feverishly and saved my life.  I will never forget!  MOST MEMORABLE...THAT SMILE WHEN SURGERY WAS FINISHED AND I WAS IN MY ROOM!  Thank you.  Houston, Tx. 4/3/2019	5	10 – 15 minutes	TX	5	4.6	4
3	Mar 12, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Amazing doctor and person.  Would reccomend him whole heartedly.  Great office staff as well.	5	10 – 15 minutes	TX	5	4.6	4
4	Feb 21, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Excellent 	5	10 – 15 minutes	TX	5	4.6	4
5	Sep 14, 2018	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	"Dr.Loyalka He's The Best Doctor I've Had In The 51 Year's I've Been Living Thank You .
What A Beautiful Humble Doctor."	5	10 – 15 minutes	TX	5	4.6	4
6	Apr 21, 2018	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Great doctor in all aspects of patient care. Highly recommend he and his staff. 	5	10 – 15 minutes	TX	5	4.6	4
7	Apr 03, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	I will forever be grateful for Dr. Pranav Loyalka, MD & staff for saving my mother's life. We were very fortunate to find Dr. Pranav Loyalka, MD in the nick of time.  Thank you, thank you, thank you from the bottom of my heart.  I can't say enough great things about this great doctor and staff at The Heart Failure Group in the TMC.  Again, thank you and God bless! 	5	10 – 15 minutes	TX	5	4.6	4
8	Mar 08, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Doctor Loyalka spends ample time with patient and listens very patiently. In conditions where patient is unable to explain well he fills in from friends, family and past history or nurses to know what is happening with patient. I like one thing the most that he relies on instincts in addition to technology to safeguard patient's interests.	5	10 – 15 minutes	TX	5	4.6	4
9	Feb 02, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Hard to come by physicians such as Dr. Loyalka these days. I would recommend him to everyone and anyone. He is truly amazing at what he does, and we were so blessed to have him as our physician. 	5	10 – 15 minutes	TX	5	4.6	4
10	Jan 14, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	I have been seeing him since 2009 and I live in TYLER.  I refuse to give him up.  I believe I probably would have been dead if not him.  God is good and I thank him for Dr. Loyalka.	5	10 – 15 minutes	TX	5	4.6	4
11	Mar 28, 2017	4	Cardiology	Dr. Jerry Estep	Houston,	9	4	I have my husbands life in his hands, and I'm good with that.  What better review can you give a Doctor.	5	31 – 45 minutes	TX	5	4.6	4
12	Jun 17, 2016	4	Cardiology	Dr. Jerry Estep	Houston,	9	4	Previous reviewer (Rhonda Anderson in Spring, Texas) mentioned Dr. Estep Took unnecessary chances that almost killed my very healthy child. Dr. Estep practices cardiology on adult patients ONLY. He does not care for children. It is clear it is a fake review. Dr. Jerry D. Estep is a respected, world recognized medical professional and this review clearly contradicts the facts. 	5	31 – 45 minutes	TX	5	4.6	4
13	Jan 05, 2016	4	Cardiology	Dr. Jerry Estep	Houston,	9	4	Took unnecessary chances that almost killed my very healthy child. Over confident. Condescending. Motives are questionable since he is so brilliantly intelligent. Mistakes were easily anticipated by someone with his expertise, experience and knowledge. Passes the buck. Accountability is a joke.  It's sad because The Texas Medical Center in Houston has an impeccable reputation. Even George Bush & family choose Methodist! My child's physical, mental, emotional& spiritual state impaired. ST.Lukes!	5	31 – 45 minutes	TX	1	4.6	4
14	Apr 12, 2017	5	Cardiology	Dr. Peter Chang	Bellaire,	11	4	Excellent cardiologist ! He is the only physician that uses the ECP (external counterPulsation procedure), which stimulates the formation of small blood vessels into the blocked areas in the heart.  No surgery, and great For those that are not a candidate for a stent. Dr. Chang is a brillant, meticulous and caring physician. He saved my life, and eliminated the chest pains!	4	10 – 15 minutes	TX	5	4.9	5
15	May 07, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Had a PFO closure oct2018 everything went smooth The Dr and his Staff are extremely nice and explain everything to you on how the procedures are done ????  Definitely helped make me less nervous! 	5	10 – 15 minutes	TX	5	4.6	4
16	Apr 08, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Dr Loyalka is awesome! He saved my life when Ochsner in New Orleans turned me down too high risk!! 	5	10 – 15 minutes	TX	5	4.6	4
17	Apr 03, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	I'm here today because of Dr. Loyalka and the team.  I had an Aortic tear and was 30-40 minutes away.  But, they all worked feverishly and saved my life.  I will never forget!  MOST MEMORABLE...THAT SMILE WHEN SURGERY WAS FINISHED AND I WAS IN MY ROOM!  Thank you.  Houston, Tx. 4/3/2019	5	10 – 15 minutes	TX	5	4.6	4
18	Mar 12, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Amazing doctor and person.  Would reccomend him whole heartedly.  Great office staff as well.	5	10 – 15 minutes	TX	5	4.6	4
19	Feb 21, 2019	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Excellent 	5	10 – 15 minutes	TX	5	4.6	4
20	Sep 14, 2018	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	"Dr.Loyalka He's The Best Doctor I've Had In The 51 Year's I've Been Living Thank You .
What A Beautiful Humble Doctor."	5	10 – 15 minutes	TX	5	4.6	4
21	Apr 21, 2018	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Great doctor in all aspects of patient care. Highly recommend he and his staff. 	5	10 – 15 minutes	TX	5	4.6	4
22	Apr 03, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	I will forever be grateful for Dr. Pranav Loyalka, MD & staff for saving my mother's life. We were very fortunate to find Dr. Pranav Loyalka, MD in the nick of time.  Thank you, thank you, thank you from the bottom of my heart.  I can't say enough great things about this great doctor and staff at The Heart Failure Group in the TMC.  Again, thank you and God bless! 	5	10 – 15 minutes	TX	5	4.6	4
23	Mar 08, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Doctor Loyalka spends ample time with patient and listens very patiently. In conditions where patient is unable to explain well he fills in from friends, family and past history or nurses to know what is happening with patient. I like one thing the most that he relies on instincts in addition to technology to safeguard patient's interests.	5	10 – 15 minutes	TX	5	4.6	4
24	Feb 02, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	Hard to come by physicians such as Dr. Loyalka these days. I would recommend him to everyone and anyone. He is truly amazing at what he does, and we were so blessed to have him as our physician. 	5	10 – 15 minutes	TX	5	4.6	4
25	Jan 14, 2017	4	Cardiology	Dr. Pranav Loyalka	Houston,	32	5	I have been seeing him since 2009 and I live in TYLER.  I refuse to give him up.  I believe I probably would have been dead if not him.  God is good and I thank him for Dr. Loyalka.	5	10 – 15 minutes	TX	5	4.6	4
26	Feb 17, 2019	5	Cardiology	Dr. Oscar Rosales	Houston,	13	5	"I would travel great distances to be seen by Dr. Rosales. Spends valuable time with his patients to provide options, suggestions and terminology easy to understand. High praises for this Dr.
Took great care, time and effort with my mother, Fay Adams. Greatly appreciated Dr. Rosales and Rita??"	4	16 – 30 minutes	TX	5	5.0	5
27	Jan 11, 2017	5	Cardiology	Dr. Oscar Rosales	Houston,	13	5	"I know Dr. Rosales as a doctor and as a person, because I spend many years working close to him and his patients. He's not only a great human being, but also a great physician. He's very gentle, knowledgeable, his bed side manners are impeccable, he's compassionate and his patience is way above and beyond expectations. He is my husband's and other family and friends physician, (and believe me when I say that I'm very ""choosy"" when selecting  physicians to my family). He have my total confidence "	4	16 – 30 minutes	TX	5	5.0	5
28	Aug 24, 2016	5	Cardiology	Dr. Oscar Rosales	Houston,	13	5	Dr. Rosales is a brilliant cardiologist, but more important is how he treats his patients, Calm, quiet and gentle, he patiently listened to everything I had to say.  He explained my condition in understandable terms and left plenty of time for questions.  He was thorough without ordering unnecessary tests.  He truly is one of a kind!	4	16 – 30 minutes	TX	5	5.0	5
29	Jun 28, 2018	4	Cardiology	Dr. Nadim Nasir Jr	Houston,	16	5	If you can find someone you feel more experienced and competent, please tell me. 	4	16 – 30 minutes	TX	5	4.5	4
30	Jul 21, 2016	4	Cardiology	Dr. Nadim Nasir Jr	Houston,	16	5	I feel like Dr Nasir is the only reason I am still alive today.	4	16 – 30 minutes	TX	5	4.5	4
31	May 08, 2018	4	Cardiology	Dr. Stuart Solomon	Houston,	15	4	After 5 yrs and three failed diagnostic attempts at other cardiology hospitals, Dr. Solomon's tenacity, judgement and  go the extra mile attitude found and remedied the arteriosclerosis that would have killed me shortly had he not intervened. I am forever in his debt. 	5	16 – 30 minutes	TX	5	4.7	4
32	Feb 06, 2018	4	Cardiology	Dr. Stuart Solomon	Houston,	15	4	He has treated me for 6 years and put a stent in me the 1st year.  I have done extremely well under his treatment.  I have used a couple of other cardiologists and no one one has come close to his professionalism and compassion.  The best in Houston.	5	16 – 30 minutes	TX	5	4.7	4
33	Aug 17, 2017	4	Cardiology	Dr. Stuart Solomon	Houston,	15	4	"(2) words to accurately describe Dr. Solomon, ""miracle worker!"" He's not ""stint happy"" either. He performed heart catheterizations (heart cath) on both my mom and dad. One had to have a stint, the other did not. I have ""heard"" of situations like my mother's where their Dr. wanted to rush to place a stint, with my mother Dr. Solomon advised against it at that time. He's simply a miracle worker!"	5	16 – 30 minutes	TX	5	4.7	4
34	Mar 26, 2017	4	Cardiology	Dr. Stuart Solomon	Houston,	15	4	Dr. Stuart Solomon has provided exceptional  care for three generations of my family, of which I am the latest. I greatly trust and appreciate Dr. Solomon's demeanor and straight-forwardness, and also enjoy his humor when the moment calls for it. His staff is truly a projection of himself; they are professional and always demonstrate total concern. I cannot recommend Dr. Solomon enough. I wouldn't think of being a patient of any other cardiologist. The best there is.	5	16 – 30 minutes	TX	5	4.7	4
35	Sep 20, 2016	4	Cardiology	Dr. Robert Walmsley	Houston,	30	4	This is a doctor that is willing to spend extra time with you, talk to you, and explain what is going on to you. That is a huge plus when it is your heart you are seeing the doctor for.	4	31 – 45 minutes	TX	5	4.5	4
36	Apr 14, 2016	4	Cardiology	Dr. Robert Walmsley	Houston,	30	4	I have been going to this doctor for about 4 years he is a good doctor, caring and does all he can to take care of his patients. I agree the waiting time is way to long and staff never informs patients of what is going on. staff is somewhat friendly  One down fall for this doctor is he only has one hospital that he deals with and as far as I am concerned I wouldn't take anyone there	4	31 – 45 minutes	TX	4	4.5	4
37	May 04, 2019	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	Very professional and knowledgeable.  Felt that I was in good hands.	4	10 – 15 minutes	TX	5	4.8	5
38	Dec 12, 2018	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	Been using Dr Jessurun for a long time! I think he is a great cardiologist. Office operation has improved over the last few years. 	4	10 – 15 minutes	TX	4	4.8	5
39	Aug 28, 2018	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	I went to see Dr. Jessurun for a check up cause I was having a mild pain in my chest for almost a year I went through all the heart test and found out I was all plugged up so that same week they did a quadruplet by pass that was in 2005 here it is 2018  am 85 and still going strong thank you Dr. Jessurun for taking good care of me.	4	10 – 15 minutes	TX	5	4.8	5
40	Aug 10, 2018	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	Dr. Jessurun is a great doctor who is willing to listen to your concerns and take the time to help find the best treatment for your situation.	4	10 – 15 minutes	TX	5	4.8	5
41	Jun 19, 2018	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	This doctor saved my life in2003 I would recemend. Him to any one looking for a cardiology .Excellent Doctor  	4	10 – 15 minutes	TX	5	4.8	5
42	Apr 05, 2018	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	I have had Doctor Jessurun as my cardiologist since I had a heart attack in 2000. I am very to have hm as my doctor and friend.  He has talen care of me and my old ticker for a long time. I moved here from Houston about 2 years ago and plan to have Doc J. as my cardiologist until I pass or he runs me off  !          Bill Bloodworth                               	4	10 – 15 minutes	TX	5	4.8	5
43	Nov 08, 2017	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	I am very pleased with Dr. Jessurun and his staff. He has been my Cardiologist for the past 7 years and I couldn't ask for anyone better. He and his staff are very friendly and courteous . I have great respect for him and his staff.	4	10 – 15 minutes	TX	5	4.8	5
44	Oct 23, 2017	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	My time spent with both the Dr Carlos Jessrun and his staff,starting from the receptionist,his nurses to him...all make you feel comfortable...Dr Jessurun doesn't tell you how you feel,he listens to what you say to him and then goes from there...he does not push unwanted or unneeded diagnostics at you..He seems to honestly care for and about his patients...Yes if you need a cardiologist..go see Dr Carlos Jessurun and his staff...	4	10 – 15 minutes	TX	5	4.8	5
45	Aug 17, 2017	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	"I have Dr. Jessurun  for over 10 years and on the many occasions I have He and his Staff have treated me or my Family with respect and dignity.   And have Couterous to me. He is a most kno
l0gable Physcian and I appreciate him as a friend and Doctor!!

Troy Gresham"	4	10 – 15 minutes	TX	5	4.8	5
46	May 17, 2017	5	Cardiology	Dr. Carlos Jessurun	Pasadena,	21	4	"Saw him once and he seemed like a good doctor. Had an appointment to see him again in 2 weeks. Disaster! After giving them a signed release  to get fax copies of my former records. They called me up when I was halfway to their Houston office to cancel my appointment because no records. Told me to go to St. Luke's and get them myself. I did and then found out they already had been sent. I call office and they cheerfully admitted they did have my records and I could come in now. Won't go back.
"	4	10 – 15 minutes	TX	1	4.8	5
