	review_date	knowledge_rating	specialty	doctor_name	city	review_count	scheduling_rating	review	staff_rating	wait_time	state	individual_rating	overall_rating	helpfulness_rating
0	Jan 30, 2016	4	Family Medicine	Dr. Ramon Creixell	Houston,	7	4	He is always right on his diagnostics	4	10 – 15 minutes	TX	5	4.4	4
1	Jan 20, 2017	4	Family Medicine	Dr. Cheryl Johnson	Houston,	31	3	"Dr.Johnson:
Has been my Dr.for serveral years I like her very much The thing I like the most is that she listens and takes her time to here your problem i greatly recommend her."	3	16 – 30 minutes	TX	5	4.2	4
2	Aug 08, 2016	4	Family Medicine	Dr. Cheryl Johnson	Houston,	31	3	Dr.Johnson is super amazing. She is very thorough and makes,me feel very comfortable. She is very patient and her staff is very polite . My young adult daughters will be going to her now. They are going to love her.	3	16 – 30 minutes	TX	5	4.2	4
3	May 18, 2016	4	Family Medicine	Dr. Cheryl Johnson	Houston,	31	3	Super nice doctor. Takes her time with you and it doesn't feel as if she is rushing just to get you out of there. Easy to talk to. 	3	16 – 30 minutes	TX	5	4.2	4
4	Jan 04, 2016	4	Family Medicine	Dr. Cheryl Johnson	Houston,	31	3	I love Dr Johnson she is upfront and honest with you. She cares a great deal for patients	3	16 – 30 minutes	TX	5	4.2	4
5	Dec 22, 2015	4	Family Medicine	Dr. Cheryl Johnson	Houston,	31	3	Very thorough and gives good explanations. 	3	16 – 30 minutes	TX	5	4.2	4
6	May 03, 2019	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	"The best doctor in town. We've been under his care since the year 2000. As soon as our kids turned 18 we got them transferred over to him as well.
He's very compassionate and caring and gives a lot of time hearing about your issues and problems and gives good suggestions. His diagnosis is almost always correct. Highly recommended doc."	4	16 – 30 minutes	TX	5	4.3	4
7	Mar 27, 2019	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	Dr. Italia is very kind, knowledgeable, compassionate, and caring. He makes you feel right at ease, when he talks to you. He is very interested in the health and well-being if his patients. He is very throurough. 	4	16 – 30 minutes	TX	5	4.3	4
8	Mar 07, 2019	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	Great	4	16 – 30 minutes	TX	5	4.3	4
9	Jan 17, 2019	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	Always very accurate with his diagnostic.  Treatments so far always right,  Very kind.  Office stuff nice. Not long waiting time.  Even when I did not have an appointment they helped me.  Husband and I visit him since 2013.  I live in Katy, visited other doctors and even when they were nice, We do still prefer Dr Italia. 	4	16 – 30 minutes	TX	5	4.3	4
10	May 31, 2018	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	He is the best Dr. In town.He cares about his patients and always listen and give best treatment . I am his patients sinces 2006. I highly recommend him.	4	16 – 30 minutes	TX	5	4.3	4
11	Feb 27, 2018	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	My whole family is to see doctor italia he wasn't a very good doctor to me every time I went to the office he made me feel like I was lying I always told him I was in pain he made me feel like all I wanted was medicine after leaving him I found out that I have hyperthyroidism and also alkalizing spondylitis he's not a good doctor and I wouldn't recommend him	4	16 – 30 minutes	TX	1	4.3	4
12	Feb 01, 2018	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	Dr. Italia is the worst doctor I've ever come across with. After waiting for an hour in the lobby I was only able to speak with him not more than 2 minutes. He had no concern about my wellbeing and he just brushed me off whenever I asked him a question. I highly recommend avoiding this place. 	4	16 – 30 minutes	TX	1	4.3	4
13	Mar 17, 2017	4	Family Medicine	Dr. Sorab Italia	Houston,	38	4	"He doesnt pick the phone for appointment scheduling.
Find someone else"	4	16 – 30 minutes	TX	1	4.3	4
