	review_date	knowledge_rating	specialty	doctor_name	city	review_count	scheduling_rating	review	staff_rating	wait_time	state	individual_rating	overall_rating	helpfulness_rating
0	Feb 14, 2019	5	Internal Medicine	Dr. Jose Cuellar Silva	Webster,	2	5	He is the best dr. I went to him because my arrhythmias were not better with meds.  He put in a pacemaker nearly a year ago. It has given me a new lease on life. He is very compassionate and takes the time to explain and answer my questions. He even called to talk to me while I was at Bay Area Regionsk. I highly recommend him. 	5	10 – 15 minutes	TX	5	5.0	5
1	Jun 21, 2018	5	Internal Medicine	Dr. Jose Cuellar Silva	Webster,	2	5	One of the best doctors I have ever gone to.  Attentive and answers all question. Very thorough	5	10 – 15 minutes	TX	5	5.0	5
2	Mar 05, 2019	3	Gastroenterology	Dr. Daniel Darmadi	Houston,	21	3	disappointing 	3	16 – 30 minutes	TX	1	3.3	3
3	Mar 05, 2019	3	Gastroenterology	Dr. Daniel Darmadi	Houston,	21	3	very disappointing 	3	16 – 30 minutes	TX	1	3.3	3
4	May 08, 2018	3	Gastroenterology	Dr. Daniel Darmadi	Houston,	21	3	Dr. Darmadi is a great doctor.  However, I can't say the same about his assistant.  She DOES NOT return calls, even urgent ones.  During my last visit, I had to wait for her to get through talking on the phone to the college trying to find out how to register for classes.  Perhaps this is why she has no time to return urgent calls.	3	16 – 30 minutes	TX	2	3.3	3
5	Feb 01, 2018	3	Gastroenterology	Dr. Daniel Darmadi	Houston,	21	3	From the very first visit Dr Darmadi has been very thorough and very concentrated on diagnosising my condition. He has ordered all the proper test and fought with insurance to approve proper meds. 	3	16 – 30 minutes	TX	5	3.3	3
6	Nov 17, 2017	3	Gastroenterology	Dr. Daniel Darmadi	Houston,	21	3	I would not recommend ever using Dr.Darmadi for anything. He diagnosed me with chronic pancreatitis without even running the correct test..Went to medical center and had correct test run and by the grace of God I don't have chronic pancreatitis. So if I was anyone that is having any abdominal pain at all I highly recommend that you go somewhere else. Oh and the office staff is very unprofessional and very rude. If they make a mistake it always seems to be turned around on you the patient..	3	16 – 30 minutes	TX	1	3.3	3
7	Apr 25, 2017	3	Gastroenterology	Dr. Daniel Darmadi	Houston,	21	3	He's a great doctor n so is his staff	3	16 – 30 minutes	TX	5	3.3	3
8	May 06, 2019	4	Interventional Cardiology	Dr. Gerardo Kalife	Houston,	13	4	Very caring and in touch with your needs. I would and have highly recommended him.	5	10 – 15 minutes	TX	5	4.7	5
9	Apr 24, 2019	4	Interventional Cardiology	Dr. Gerardo Kalife	Houston,	13	4	Our family loves Dr. Kalife and would/have recommended him to numerous people.  My parents are in their mid and early nineties so putting them into the car and up to his office only to be told that our appointment had been changed is very upsetting.  We have had the same problem in the last several visits.  I am not sure if it is a problem with this site or the doctors office.  I finally found out yesterday that he doesn’t even take morning appts.  I tried for three days to reach his office to set an appt verbally but finally resorted to this site.  I received a confirmation text that my mother’s appointment was at 11:45 am.  I had to take off work to take her only to find out someone changed the appt to 4pm.  Who changes appts without notifying the patient???? Again, I was very unhappy and actually had to show the front receptionist my phone as proof noting the confirmation I received showing an 11:45 am appointment.  Someone needs to work on the site to remove the morning options.	5	10 – 15 minutes	TX	5	4.7	5
