	review_date	knowledge_rating	specialty	doctor_name	city	review_count	scheduling_rating	review	staff_rating	wait_time	state	individual_rating	overall_rating	helpfulness_rating
0	Sep 15, 2018	1	Obstetrics & Gynecology	Dr. Nwamaka Ezedinma	Houston,	1	3	"Scheduled twice with Dr. Nwamaka Adaobi Ezedinma, two days in a row. My appts for both days were at 4:30 PM. Both days she canceled my appts at last minute when I was on my way to her office. If you have somewhere to be Dr. Ezedinma, don't schedule people and make then leave work and/or any prior engagements and cancel their appts on them last minute. 
My 1st appt was canceled within 30 mins of my scheduled appt time and the 2nd within 15 mins
We left work early twice! I do not recommend this Dr"	4	31 – 45 minutes	TX	1	1.0	3
1	Aug 23, 2017	3	Obstetrics & Gynecology	Dr. Marcos Ikeda	Houston,	15	3	I contacted the office before leaving a review to address my issue with them And still have not gotten a response back. I went to the willowbrook location off 249 for cosmetic consultation and I was disgusted and very disappointed with the receptionist(light skinned Hispanic with dark hair). she was extremely rude along with the other employees.. I will never return to this office. I rather take my money and my time somewhere else where they will treat me with respect.. 	4	31 – 45 minutes	TX	1	3.4	3
2	Mar 23, 2017	3	Obstetrics & Gynecology	Dr. Marcos Ikeda	Houston,	15	3	He has neglect me, his office is a crazy house full of unprofessional I want out and they won't fax my paperwork to my new doctor I'm trying to see. Money hungry people.	4	31 – 45 minutes	TX	1	3.4	3
3	Jan 10, 2017	3	Obstetrics & Gynecology	Dr. Marcos Ikeda	Houston,	15	3	Dr. Ikeda is a great doctor and he takes very good care of his patients. He takes time to explain everything and he answered all my questions. The staff is great also. Everyone is so nice at this clinic. 	4	31 – 45 minutes	TX	5	3.4	3
4	Aug 04, 2016	3	Obstetrics & Gynecology	Dr. Marcos Ikeda	Houston,	15	3	No c-section option. My baby was measuring 8.2 at 32 weeks. I delivered at 41 weeks because he would induce me. My baby had a broken clavicle, blood shot eye, swollen, purple and torticullis. Never got numbed when he Stitched me or cut me. Took 30 minutes to get to the delivery room so I had to wait on him with my legs open and my babies head half way out. Now she has to wear a helmet to fix her skull. I hate this doctor. You should be ashamed of yourself. Especially with a waiting time of 2 hrs	4	31 – 45 minutes	TX	1	3.4	3
5	Jun 15, 2016	3	Obstetrics & Gynecology	Dr. Marcos Ikeda	Houston,	15	None	Over 3 hours waiting time, no sense of urgency at all for pregnant women. This doctor schedules other activities before his patients and instead of asking his staff to reschedule patients, makes them wait. Accotding to several women in the chaotic waiting area, this happens regularly. I had to leave my children unattended because i was unable to pick them up on time. Its sad that healthcare is reflected in such a nonchalant manner. I was really excited about this appointment until i got there.	None	None	TX	1	3.4	None
6	None	None	Obstetrics & Gynecology	Dr. Can Duong	Houston,	1	5	None	4	10 – 15 minutes	TX	None	5.0	5
7	May 23, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Like always, excellent!	4	10 – 15 minutes	TX	5	4.9	5
8	May 13, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr. Medrano took his time and addressed/explained my healthcare needs to me.	4	10 – 15 minutes	TX	5	4.9	5
9	May 08, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr. Medrano is truly amazing. He makes you feel comfortable and is very knowledgeable. 	4	10 – 15 minutes	TX	5	4.9	5
10	Apr 30, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr. Medrando is very respectful always listens to my concerns and questions I have been his patient for over 20 years.	4	10 – 15 minutes	TX	5	4.9	5
11	Mar 29, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	I’ve seen Dr. Medrano for my lady issues for years. He’s very caring and listens to what you need. He goes the extra step. I’ve always felt  comfortable talking to him since day one. He’s an amazing doctor, and svsn more as a person. I can say the same for his entire office. Thanks y’all. 	4	10 – 15 minutes	TX	5	4.9	5
12	Mar 27, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr. Medrano has been my gynecologist for over 20 years.  I was referred to him by a co-worker, whose wife was a nurse.  He told me that all of the nurses go to him.  He has been a God sent for me as well as family and friends!  He was able to diagnose my problem on my first visit to him with a pelvic exam.  Other gynecologists had not diagnosed anything.  He is very kind, gentle and really knows a woman's body.  He has great bedside manner and I promise you will never see anyone else...try him..	4	10 – 15 minutes	TX	5	4.9	5
13	Mar 21, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr. Medrano is always friendly and attentive to my needs. He's a very caring person and always gives me his undivided attention. And he's a great doctor!	4	10 – 15 minutes	TX	5	4.9	5
14	Mar 11, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Went to Dr. Medrano for a second opinion  and he ended  up being my OB Gyn Dr.he is caring an compassionate love his bedside manners never in a hurry, hospital or office  visit he has been my Dr for the last 32 years. 	4	10 – 15 minutes	TX	5	4.9	5
15	Mar 04, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr. Medrano is a very kind and caring doctor. It was a pleasure meeting him for the first time as he made my visit relaxing and comfortable. He listened very carefully to all my needs and then took care of them. He truly knows his job!!! Thank you Dr. Medrano for being a sweet, caring, and experienced doctor. The world needs more of you. 	4	10 – 15 minutes	TX	5	4.9	5
16	Mar 01, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	"Dr. Medrano and his staff were a great support during both my high risk pregnancies.   I can't thank him enough for taking care of me as if I was his own daughter.  
"	4	10 – 15 minutes	TX	5	4.9	5
17	Feb 26, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	I've actually recommended a few friends to Dr. Medrano.  I just recommended him to a coworker last week.  The office is clean, the ladies are very friendly and nice.  Dr. Medrano makes you feel very comfortable, answers all questions and makes sure you understand.	4	10 – 15 minutes	TX	5	4.9	5
18	Feb 25, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	The absolutely BEST.... I love Dr. Medrano he is very attentive compassionate and care about his patients. It’s been over 25 years I know the day will be coming soon that he will retire and I will be crushed. Overall this is a great doctor. 	4	10 – 15 minutes	TX	5	4.9	5
19	Feb 05, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Excelente 	4	10 – 15 minutes	TX	5	4.9	5
20	Feb 01, 2019	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	I have been a patient of Dr. Medrano’s for almost 20 years. He delivered me, my siblings, 3 of my cousins, and my 2 children. He has also treated myself and my female relatives for a variety of concerns. He is a fabulous diagnostician! He takes the time to discuss you as a person, which is important when discussing such a personal type of care. So very caring and extremely knowledgeable!	4	10 – 15 minutes	TX	5	4.9	5
21	Nov 15, 2018	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	I had some problems with my previous OB doctor and a friend recommended me Dr. Medrano. That is the best decision I have ever made. Even though he was just barely meeting me. He acted like he cared about my health and offered me a rapid solution to my problem. He listened to my needs and agreed with what I was looking for and God willing I will soon be ok thanks to his care.	4	10 – 15 minutes	TX	5	4.9	5
22	Nov 15, 2018	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	"I have been a patient of Dr. Medrano for a long while. 
Dr. Medrano is very observant of the medications that you are taking and discusses the medications with you.
 He is very easy to talk to and genuinely concerned for you as a patient. 
I hope to continue seeing him as long as the good Lord allows me too.
"	4	10 – 15 minutes	TX	5	4.9	5
23	Oct 14, 2018	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	" 
I definitely recommend."	4	10 – 15 minutes	TX	5	4.9	5
24	Sep 28, 2018	5	Obstetrics & Gynecology	Dr. Juan Medrano	Houston,	94	5	Dr Medrano and his staff excel in exellance by providing superior customer service, knowledgeable, professionalism, being courteous and caring bedside manners. I have been with them since 2004 and highly recommend him to everyone seeking an ob/gyn.	4	10 – 15 minutes	TX	5	4.9	5
