	review_date	knowledge_rating	specialty	doctor_name	city	review_count	scheduling_rating	review	staff_rating	wait_time	state	individual_rating	overall_rating	helpfulness_rating
0	None	None	Pediatrics	Dr. Neeta Bhardwaj	Houston,	11	None	None	None	None	TX	None	3.7	None
1	None	None	Pediatrics	Dr. Gamil Zarzour	Cypress,	1	None	None	None	None	TX	None	5.0	None
2	Mar 01, 2018	3	Pediatrics	Dr. Karla Ramsey	Cypress,	18	3	Dr. Ramsey and her staff are fantastic! She takes the time to get to know her patients and address parent concerns. She is no-nonsense and non-judgemental and unlike the large practices, you always get to see your child's primary doctor.	3	31 – 45 minutes	TX	5	3.2	3
3	Dec 04, 2017	3	Pediatrics	Dr. Karla Ramsey	Cypress,	18	3	Dr Ramsey and her staff are kind and attentive. They are very conservative in their approach to treatments and always err on the side of caution. They take the time to listen and explain everything, even the crazy stuff asked by a nervous mother! 	3	31 – 45 minutes	TX	5	3.2	3
4	Sep 12, 2017	3	Pediatrics	Dr. Karla Ramsey	Cypress,	18	3	The office and staff are so kind and considerate. They accommodate us bringing in our 4 young kids, always ask about all of them, seem genuinely interested in our family and how we've all been. Could not imagine going to anyone else! When they ask who we would like to be seen by for our next appointment, we have no preference as they are all incredible! 	3	31 – 45 minutes	TX	5	3.2	3
5	Jan 10, 2017	3	Pediatrics	Dr. Karla Ramsey	Cypress,	18	3	Dr Ramsey has been the only pediatrician my children has ever seen in their 10 years. We've always found her to be knowledgeable, caring, trustworthy and all good qualities you want in a Dr. 	3	31 – 45 minutes	TX	5	3.2	3
6	Jul 11, 2017	5	Pediatrics	Dr. Claire Poche	Houston,	1	5	Dr. Poche has been my 2 year olds pedi since she was a newborn. I can't say anything but great things about her and the attention she has provided to us. She has been so patient and caring. It's been a pleasure having her as my daughter's doctor. 	4	10 – 15 minutes	TX	5	5.0	5
7	Apr 19, 2017	5	Pediatrics	Dr. Tonya Brown-Price	Houston,	9	5	Dr Brown-Price  is an excellent doctor. She is very knowledgeable in her field. When me or my son ask questions she answered the question and make sure we fully understand.  If we don't have questions she will engage him in small talk on school or his hobbies etc.  I feel  comfortable and taken care of  while in her care.  It is easy to make appointments. 	4	16 – 30 minutes	TX	5	4.9	5
8	None	None	Pediatrics	Dr. Antonio Garcia	Houston,	1	None	None	None	None	TX	None	5.0	None
9	None	None	Pediatrics	Dr. Mary Altobelli	Houston,	4	None	None	None	None	TX	None	4.8	None
