	review_date	knowledge_rating	specialty	doctor_name	city	review_count	scheduling_rating	review	staff_rating	wait_time	state	individual_rating	overall_rating	helpfulness_rating
0	Apr 20, 2018	5	Cosmetic, Plastic & Reconstructive Surgery	Dr. Rafi Bidros	Houston,	5	5	Dr. Bidros is an exceptional physician and surgeon. My wife had a mastectomy on one breast that was reconstructed by another plastic surgeon. The results were not to her liking and the surgeon felt that no more could be done. Another surgeon was consulted but he offered no remedies. Today, my wife is thrilled with the outcome. Dr. Bidros is quite gifted and knowledgeable. He provided surgical solutions that the other surgeons could not provide. He and his staff are an incredible group of people.	5	Under 10 minutes	TX	5	5.0	5
1	Sep 19, 2016	5	Cosmetic, Plastic & Reconstructive Surgery	Dr. Rafi Bidros	Houston,	5	5	Dr. Bidros and his staff are wonderful to work with and my results were better than expected. I would definitely recommend this team to anyone needing surgery! 	5	Under 10 minutes	TX	5	5.0	5
2	Feb 19, 2016	5	Cosmetic, Plastic & Reconstructive Surgery	Dr. Rafi Bidros	Houston,	5	5	Dr. Bidros is absolutely phenomenal! I was SO impressed with his professionalism and knowledge. The office was super organized, clean and efficiently run. Michelle, Mandy, Jackie and Connie are all rock stars.!!! They get things done and are so incredible at their jobs, not to mention classy and beautiful. I will recommend Dr. Bidros to everyone. So easy to talk to and understand. Thank you!!!	5	Under 10 minutes	TX	5	5.0	5
3	Feb 14, 2019	4	Colorectal Surgery	Dr. Tal Raphaeli	Houston,	12	5	I was very pleased with the care I received from Dr Raphaeli.  He is caring and concerned with comfort and complete recovery.  He answered my phone call quickly post surgically and helped me with my question, not via a nurse or other office staff.   I have been healing well and faster than I anticipated due to his surgical skill.  Thank you Dr Raphaeli!!!	4	Under 10 minutes	TX	5	4.7	4
4	Mar 18, 2018	4	Colorectal Surgery	Dr. Tal Raphaeli	Houston,	12	5	Dr, Raphaeli - is a caring and kind doctor.  He explained everything to me and there was nothing to fear.  I was relaxed and came through the procedure well.  Best of all no pain any more!  Carole Z.	4	Under 10 minutes	TX	5	4.7	4
5	Feb 21, 2018	4	Colorectal Surgery	Dr. Tal Raphaeli	Houston,	12	5	After being in pain for months & seeing 2 other doctors. Dr. Raphaeli actually took the time to exam me. He was very patient, nice and took his time. He gave me different options and told me exactly what I had. I am so glad that I found him. His office staff at the Chasewood location is very nice.	4	Under 10 minutes	TX	5	4.7	4
6	Mar 26, 2016	4	Colorectal Surgery	Dr. Tal Raphaeli	Houston,	12	5	He inspires confidence in a successful surgical outcome because he explains why something is done.  His attitude is collaborative rather than dictatorial.	4	Under 10 minutes	TX	5	4.7	4
7	May 23, 2019	5	Colorectal Surgery	Dr. Jean Knapps	Shenandoah,	5	5	Fantastic. Friendly, comfortable, smart, and down to earth. Dr. Knapps talks to my family and me like we're just people. He gives information without assuming we know what he's talking about but without being condescending. We were so lucky to have been assigned him as my father's surgeon this spring - he literally saved my father's life. 	5	Under 10 minutes	TX	5	4.2	5
8	Apr 30, 2019	5	Colorectal Surgery	Dr. Jean Knapps	Shenandoah,	5	5	Dr. Knapps is very thorough, takes time to answer questions and is truly committed to giving his patients the very best care.	5	Under 10 minutes	TX	5	4.2	5
9	Nov 16, 2017	5	Colorectal Surgery	Dr. Jean Knapps	Shenandoah,	5	5	Dr. Knapps was very patient and answered all my and my Mom's questions, very warm and understanding, he made us feel very comfortable with the procedures and was always available to answer any questions. The fact that he spoke Spanish made all the difference in the world for my Mom because she was able to communicate herself to the doctor without having me as an interpreter. We will recommend him to every single person that I know that may need a colon and rectal surgeon. 	5	Under 10 minutes	TX	5	4.2	5
