,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Thomas Guest,Atlanta,Georgia,cardiologist, Male,15,4.63,2019-01-09T16:23:05.532Z,5,5,5,5,5,Absolutely the best doctor I’ve ever had! Goes the extra mile time after time. 
1,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2017-06-22T22:05:25.334Z,5,5,5,5,5,Highly recommend! Smart and caring. Staff is great. 
2,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2015-03-30T14:14:17.989Z,5,5,5,5,5,"Dr. Guest has seen me for the past few years. His kind and knowledgeable manner gave me the assurance I needed upon meeting him. The attention and care, over time, confirmed my feelings. There is a sincere concern for his patients. "
3,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2014-01-14T20:12:43Z,5,5,5,5,5,"Dr. Guest is a wonderful cardiologist! His gentle friendliness and nature immediately put me in a relaxed state of mind in the midst of a condition that was frightening. He listens to me and takes the time to explain diagnoses and procedures. Dr. Guest is interested in me as a person, taking the time to talk about what's going on in my life but not wasting time. I always ask a lot of questions, and Dr. Guest is patient in answering them; I never feel like he's trying to get me out of the office either. For a good, knowledgeable, personable cardiologist, you can't do better than Dr. Guest!"
4,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2014-01-03T15:37:23Z,5,5,5,5,5,"The patient's well-being is of utmost importance to Dr Guest. He is very professional and has excellent inter-personal skills in making you feel confident and comfortable. He does not rush the appointment and takes time in knowing who you are. He is up to date on the latest medications and discusses each of the applicable medications in an understandable manner. His staff reflects his professionalism, promptness and caring. I have full confidence in putting my life in his hands."
5,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2013-11-28T00:06:05Z,4.5,5,3,5,5,"Dr. Guest is awesome! I had some chest pains last fall and saw him for a checkup! I had several tests-one in his office! He is the nicest man! He notices little things-like the book I wads reading each time! At my second visit, he asked what I was reading and said I'd been reading an interesting book previously! He's for healthy eating and vitamins which not all doctors are. At my first appointment. I had to wait 49 miinutes before being. His staff is equally nice. I'd highly recommend him!"
6,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2013-11-14T17:10:08Z,5,5,5,5,5,Dr. Guest is fabulous. Came into the ER late at night to see my husband who was having a heart attack I truly believe that Dr. Guest my husbands life that night.
7,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2013-10-24T12:08:02Z,4.8,4,5,5,5,I had a heart catheterization and stent last month. Followed up with Dr. Guest today. Everything went very well. Dr. Guest seems very knowledgable and thorough. He is a very caring doctor.
8,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2013-10-19T07:32:00Z,5,5,5,5,5,"I was referred to Dr. Guest by a neighbor after having had heart issues & procedures done elsewhere and still not feeling right. Don't take his initial serious demeanor or straight forwardness wrongly - as he truly cares about his patients and his profession. He is extremely knowledgeable, thoughtful, caring, listens to your concerns and more than most doctors - takes his time with you. Dr. Guest also believes in looking at the bigger picture and your health overall. I can honestly say that after my first visit with him, there was a sense that he knew exactly what was wrong & what had been missed previously, but was professional enough not to make any conclusions till he was able to further examine me himself - and he was right. He is part of a great team, his nurse, PA and staff in the clinic also exhibit the same traits, are responsive when you call in - and make you feel at home remembering you by name. Highly recommend him and would not go elsewhere - he truly cares about you."
9,Dr. Thomas Guest,Atlanta,Georgia, Cardiologists , Male,15,4.63,2013-10-15T11:48:36Z,5,5,5,5,5,Dr. Guest is fantastic! Always caring and very knowledgeable. PERSONALLY calls with test results! Had a very positive experience during heart catheterization - 2 stents placed. Now during office visits spends time focusing on nutrition and exercise - lost 42 lbs and feel great. Could not recommend ANY doctor more highly. I've also referred my husband and he's doing great too!
10,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2017-07-15T02:37:50.247Z,5,5,5,5,5,excellent doctor. Takes a lot of time to understand your problem. 
11,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2017-06-28T02:39:36.808Z,5,5,5,5,5,Very good experience at this practice and with this doctor!
12,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2017-03-20T05:36:57.602Z,5,5,5,5,5,I really liked him. Did a thorough history and exam. Explained his thought process well. He eventually solved my issue and I'm grateful. 
13,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2017-02-08T13:27:13.539Z,5,5,5,5,5,This is an excellent doctor. Also has a very helpful office staff. 
14,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2016-09-26T18:54:13.483Z,3,5,5,1,1,"He saw me for the first time several years after a massive heart attack, permanent damage, and open heart surgery. Forced me to have tests that other cardiologists said to never have because of the danger. After several tests and many $ he came in to the post appointment and said ""Did you know you have a weak heart?"" Never, never, never... "
15,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2016-05-13T14:02:55.481Z,2.3,3,2,2,2,"He is RUDE, arrogant, and Unhelpful , he did NOT even do proper Physical exam."
16,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2016-02-24T20:01:32.930Z,5,5,5,5,5,Thorough and smart. I also liked his office and staff. 
17,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2014-10-23T01:22:36.341Z,5,5,5,5,5,Best Cardiologist in Atlanta in my opinion. I would recommend him highly.
18,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2014-08-09T03:49:41.116Z,5,5,5,5,5,
19,Dr. Nabeel A. Hafeez,Atlanta,Georgia, Cardiologists , Male,13,4.63,2014-08-08T21:49:49.983Z,5,5,5,5,5,He is a very persistent doctor. He figured out what my racing heartbeats were when 2 other doctors said nothing was wrong. Great guy.
20,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2017-02-08T19:59:43.167Z,5,5,5,5,5,"LB Nov 2016
My visit was scheduled due to the results of a heart scan. My PCP had me scared to death. Dr. Champney was very reassuring, thorough, and offered options. Most importantly, she LISTENED as well as offered medically sound advice. I constantly tell others about her professionalism along with her incredible bedside manner.
"
21,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2016-07-12T15:18:02.533Z,5,5,5,5,5,"Fantastic doctor! She spent an hour with my husband, a patient of herpartner's, after my husband had an incident. Dr. Champney even scheduled a needed procedure for my husband to enable our family to take a long anticipated family vacation.
"
22,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2014-05-14T05:44:08Z,5,5,5,5,5,"Very personable, knowledgeable and caring. She takes time to talk with me and understand my concerns, then works with me toward a care plan. She is a person AND a doctor! I like that."
23,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2013-11-30T10:03:05Z,5,5,5,5,5,"Dr Champney it the most thorough physician i have ever met. she is gracious, very relaxed and pleasant and will spend all the time needed. I never feel rushed and am so very thankful she is my cardiologist. She quite literally saved my life the first time we met.. from her office to the hospital. Thank God for Dr. Champney being so thorough and so concerned. More doctors should pattern their concerns for their patients the way Dr. Champney does."
24,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2013-08-27T13:06:01Z,5,5,5,5,5,"DR Kimberley Champney was very professional,very knowledgeable in heart care..i am a patient of hers,and will see her again,very soon. HIGHLY RECOMMEND HER to all heart patients...You will love her"
25,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2013-04-23T07:35:29Z,5,5,5,5,5,"I was very impressed with Dr. Champney and all her staff. She was very thorough in making a diagnosis. She takes the time to listen to you and explain her findings in great detail. Excellent communication from her as well as her staff with all of my test results. A wonderful doctor with a very friendly and professional staff, which I have found to be very rare today. I would highly recommend her if you are seeking great cardiac care."
26,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2010-07-23T13:23:10Z,4.8,4,5,5,5,"Very pleased with Dr. Champney, Front desk person is a little ""off-putting"" but everyone else you deal with there is top notch. Dr. Champney will err on the side of PROTECTING you versus being overly concerned about insurance coverage and payment therefrom. I never started out to be her patient but am eternally grateful that her partner was out of the office the day of my appointment and she covered for him. She's been my cardiologist since, and will continue to be."
27,Dr. Kimberly P. Champney,Atlanta,Georgia, Cardiologists , Female,8,4.88,2010-05-14T09:47:29Z,4.3,3,4,5,5,"Highly recommend, If you have a heart problem, Get her as your doctor."
28,Dr. W. Stanley Arnold,Atlanta,Georgia, Cardiologists , Male,6,4.83,2013-01-07T12:49:44Z,5,5,5,5,5,Dr. Arnold is a knowledgeable and caring physician who is always available to help. I've been in his care for over a decade and highly recommend him.
29,Dr. W. Stanley Arnold,Atlanta,Georgia, Cardiologists , Male,6,4.83,2010-11-24T12:12:56Z,5,5,5,5,5,"Wonderful. Love him. Excellent cardiologist--very knowledgeable and friendly (unusual these days, you know)."
30,Dr. W. Stanley Arnold,Atlanta,Georgia, Cardiologists , Male,6,4.83,2010-07-07T10:28:45Z,4.5,5,3,5,5,Dr. Arnold saved my life. I have been seeing him since 2001. He always runs a little late but that's okay because takes the time to listen. I drive over 60 miles to see him and it's worth the time. He is a great Doctor and a wonderful person.
