,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Mahir D. Elder,Dearborn,Michigan,cardiologist, Male,27,4.78,2015-06-05T20:14:36.825Z,5,5,5,5,5,Dr.Elder is a world expert on heart disease and vascular. I was not surprised to know that he is named as TOP DOC for last 4 years . He has multiple national awards. He will always be in our prayer.
1,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-11-14T05:43:45.153Z,5,5,5,5,5,Great the best in his field. Would recommend any body my mom my father. 110%%%
2,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-11-03T04:32:25.299Z,5,5,5,5,5,To the most amazing doctor I have ever met. He changed my life in every way possible and gave me a reason to smile. To those who have spoken highly of this physician I could not agree more and to those that have written something in the negative I'm sure they have bad intentions and are jealous.
3,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-09-25T19:15:32.025Z,5,5,5,5,5,"The greatest. Should be more like him. Where have all the good doctors gone. Sincere, caring and worthy to be called Dr."
4,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-09-04T18:19:04.929Z,5,5,5,5,5,Dr. Elder is an excellent doctor. He has tremendous knowledge in his field. My Father felt extremely confident from the first meeting with Dr. Elder. He has helped so many people and saved so many lives.
5,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-08-28T16:40:49.444Z,5,5,5,5,5,"I am patient of doctor elder. overall, he is an excellent doctor. I would like to respond to that person who reported that doctor elder he applied many times to his board and didn't pass it. and waited two hour then, seen by the doctor for 5 minutes. I would like to reply to that person and say. first, it 's better to see by the doctor for 5 minutes and gives a good explanation and good result better to see by the doctor for 15 minutes without knowledge and doesn't know how to get his degree and give you a guessing explanation. second, of course you 're an educated person, when some body didn't pass board exam for many times . the department of board exam doesn't let take the board again, ( if I am correct like the other certificate). please , people when you say something about ur doctor say logic things. not something never believe. finally , I am patient of doctor elder, he is an excellent, knowledgeable, caring doctor. if up to me i'll give him a doctor of the year in the whole world :))"
6,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-08-09T19:25:13.003Z,5,5,5,5,5,Very knowledge
7,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-08-09T18:45:17.390Z,5,5,5,5,5,"Best Heart Doctor in Michigan !
Very caring and exceptionally smart. My family has been seeing since he saved my fathers leg from amputation ! Dr. Elder has saved many lives and yet so modest."
8,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-08-07T19:47:48.985Z,5,5,5,5,5,
9,Dr. Mahir D. Elder,Dearborn,Michigan, Cardiologists , Male,27,4.78,2014-08-05T19:17:08.893Z,5,5,5,5,5,Thank God for Doctors like him
