,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Mohammed Attar,Angleton,Texas,cardiologist, Male,21,4.93,2017-12-15T00:55:45.983Z,5,5,5,5,5,"I was assigned Dr Attar in the Methodist ER. His initial bedside manor was unconventional, and once I got to know him better I understood it was his way to break the ""Am I going to die"" mood. Megan, his PA, balances him out. Great team."
1,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2016-08-30T05:07:29.955Z,5,5,5,5,5,"His kindness and caring gave me the sense that I was his most important patient when he is attending to you. The sparkle in his eyes as he speaks to you shows how much he loves his work. In a crisis during recovery because my body did not respond well, he stepped in and made the best decision to relieve my panic. He is my doctor forever - and I hope he can stay around long enough get me to 100!
"
2,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2016-06-19T09:41:34.719Z,5,5,5,5,5,He was my cardiologist when I used to live in Houston. He really cared about me. He even call two or three weeks after my appointment to make sure everything is ok. Best MD I've ever had in my life. 
3,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2016-03-30T02:20:23.272Z,5,5,5,5,5,"Dr.Attar is the best Dr anywhere, i love him to death, he doesnt care if your rich or poor he is gonna step up and show you all the respect and help you anyway he can..he is truly one of
God's angels here on earth..been going to him 6 years..the world needs more like him
"
4,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2014-09-10T00:46:59.381Z,5,5,5,5,5,The doctor who was sent to us from god. He is truly one of God's angels
5,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2014-08-11T03:48:16.830Z,5,5,5,5,5,Most wonderful dr. He never misses a beat on anything. He is head s above all the rest excellend doesn't begin to describe a man of his character. Perfect!
6,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2013-10-28T13:23:23Z,4.8,5,4,5,5,"Excellent, no nonesense, up-to-date. What more can you ask for?"
7,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2013-09-28T00:18:28Z,5,5,5,5,5,"Dr.Attar is a true Handel from God. He doesn't,t care wat religion,race,insurance or how much or little money you have. He is a dieing bread of Dr,s. That are what they are because it is their compashion to help those in need. He gives everyone the same love ,straight forward, care as he gives anyone that comes to him. I thank his wife nd children be strong with I know can be hard at times. But because of her he is allowed to be the very best in the world. That takes a strong womento be married to a man such as he. And all the staff in his office are also wowonderful as much as he keeps you all o very busy and on your feet. Everyone of you all help make home the Great Doctor he is. Thank you the warren's"
8,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2012-04-18T11:52:31Z,5,5,5,5,5,"My mother, Ethel S. Burklew, was a patient of Dr. Attar during the 80's 90's and passed in 2006. She believed he walked on water and he provided her a great quality of life that was possible with her severe congestive heart condition until the age of 92. We will as a family always be appreciative. You are in good hands with Dr. Attar."
9,Dr. Mohammed Attar,Angleton,Texas,Cardiologist, Male,21,4.93,2012-03-07T13:30:50Z,4.5,5,3,5,5,"Dr. Attar is fantastic. Very intelligent, witty, great bedside manner. It is obvious that he cares a great deal for his patients."
