,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2018-11-17T18:51:56.752Z,5,5,5,5,5,THANK YOU OSCAR INSURANCE FOR REFERRING ME TO DR. MEHRBAN
1,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2018-03-10T03:31:58.435Z,5,5,5,5,5,"BEST, BEST, BEST in every regard. Bed side manner, attendance, care for practice"
2,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2018-02-21T18:23:05.722Z,5,5,5,5,5,AETNA'S BEST DOCTOR. WE ARE GLAD HE ACCEPTS OUR INSURANCE
3,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2018-01-12T03:50:26.905Z,5,5,5,5,5,I have been referred by Aetna Book and I am very happy
4,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2017-11-11T01:39:44.549Z,5,5,5,5,5,He is the Only OSCAR HEALTH PROVIDER I could find to accept my insurance. BEST DOCTOR
5,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2017-09-27T22:01:53.857Z,5,5,5,5,5,"Wonderful Experience. Fast, No nonsense, always available, always caring. THANK YOU BLUE CROSS FOR HAVING THIS PROVIDER IN YOUR PANEL"
6,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2017-05-29T05:20:23.474Z,5,5,5,5,5,"NUMBER ONE. LOVE HIM. Kind, caring, giving, educated, real physician"
7,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2017-04-13T16:14:51.662Z,5,5,5,5,5,Recommend highly A+++. I was referred by UCLA and he was in my insurance booklet. I was surprised to talk to kind and caring doctor on the phone personally and care was great. Happy
8,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2016-10-13T02:47:21.161Z,5,5,5,5,5,Referred to Dr. Mehrban by a friend. I found he was in my Anthem provider list. He saw me immediately without delay. He is respectable and extremely nice. His education is much above average and his bed side manner is great. If you are looking for a REAL DOCTOR that does not treat you like bunch of dealers in fish market he is the best. Takes time and pays lots and lots of attention to you and your care 
9,Dr. Maurice Mehrban,Los Angeles,California, Cardiologists , Male,17,4.85,2016-08-15T16:22:58.934Z,5,5,5,5,5,"I highly recommend Dr. Mehrban. Knowledge A+, Bed Side Manner A+, Care of Patient A+, Courtesy A+...Best of the Best"
10,Dr. Debra Ruth Judelson,Beverly Hills,California, Cardiologists , Female,10,4.1,2013-10-27T17:04:01Z,3.5,1,3,5,5,"Dr. J cared from my mother prior to her passing and she has cared for me since 2000. While her scheduling secretary Charley is extremely rude, the doctor herself is brilliant and caring and well worth the effort to get past the unpleasantness to see her. Dr. J. is a consummate pro and her office is equipped with the latest diagnostics and tech support staff. Highly recommend Dr. J!!"
