,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Elizabeth Y. Chan,Seattle,Washington,cardiologist, Female,4,5,2014-12-19T21:48:16.694Z,5,5,5,5,5,Dr. Chan is both knowledgable and professional in her work.
1,Dr. Elizabeth Y. Chan,Seattle,Washington, Cardiologists , Female,4,5,2014-11-05T23:28:49.618Z,5,5,5,5,5,Great Doctor. Appreciate her knowledge and friendliness.
2,Dr. Elizabeth Y. Chan,Seattle,Washington, Cardiologists , Female,4,5,2013-09-13T15:36:52Z,5,5,5,5,5,Informative and knowledgeable. It is always nice when you find a Dr that truly enjoys her work and wants to make a difference by helping people. Have been going to her for a year now and have had consistently positive interactions. Would recommend her to anyone needing a good cardiologist.
3,Dr. Elizabeth Y. Chan,Seattle,Washington, Cardiologists , Female,4,5,2012-02-23T15:40:34Z,5,5,5,5,5,Dr. Chan is my Cardiologist. I think she is a good doctor that understands my problems and I find her to be smart and helpful.
4,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2019-03-25T18:36:00.216Z,5,5,5,5,5,"Excellent experience. Was on time, thorough, and very informative. "
5,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2018-07-26T22:24:57.448Z,5,5,5,5,5,"I had a heart attack a few years ago and recently moved to Seattle. I established care with UW Medicine and was referred to Dr. Pungoti for my cardiac care. I was very impressed at how thorough he was in reviewing all of my previous medical records, and actually explained what happened to me better than my previous doctors. He ensured that I was on the right medications and doses. We talked about my diet and he gave me some great exercise recommendations. He didn't order any unnecessary tests, which was very much appreciated as I have a high deductible. Overall it was a great experience. His staff was also very nice."
6,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2018-07-03T03:16:37.171Z,1.5,3,1,1,1,Wait was long. Visit was extremely short. Provider was curt and didn't take time to explain anything or ask if I had any questions. Would not recommend was a waste of time and money!
7,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2017-01-20T22:38:24.370Z,5,5,5,5,5,I was very happy with the care I received. I would highly recommend. 
8,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2017-01-04T23:24:08.421Z,5,5,5,5,5,"Great experience. He was on time, listened to me, and was able to explain what he thought was going on and what needed to be done really well. I felt comfortable through the entire visit. "
9,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2013-01-24T03:24:53Z,5,5,5,5,5,"Patient Reviews Most recentOldest 4Show Details Doug J. | One Of The Best Doctors In Seattle, Washington Jan 24th, 2013 Dr. Pungoti has the rare combination of being professional and personal at the same time. No question is out of bounds and takes the time to answer them. I have been going through pre-op screenings in the last 2 months at different clinics. Dr. Pungoti stands alone in his dedication to his patients. I know first hand as I am one of them! I'm lucky to have him as my doctor!"
10,Dr. Chetan Pungoti,Seattle,Washington, Cardiologists , Male,7,4.07,2012-09-18T16:45:26Z,2,3,3,1,1,
11,Dr. Kasturi Ghia,Seattle,Washington, Cardiologists , Female,2,5,2013-02-11T23:22:42Z,5,5,5,5,5,"This doctor is professional, knowledgeable, friendly, kind, and caring. But most of all she really knows what she's doing. She saved my life. She is committed to healing and research and shows that she cares about you as an individual. I recommend her without qualification. She is also very highly regarded by all of her peers. They all speak of her kindness and extreme intelligence. She has great bedside manner and a warm smile."
12,Dr. Kasturi Ghia,Seattle,Washington, Cardiologists , Female,2,5,2011-06-30T19:19:36Z,5,5,5,5,5,"I've seen her twice and she's great. Very sympathetic, easy to talk to, and knowledgable."
13,Dr. John R. Holmes,Seattle,Washington, Cardiologists , Male,2,5,2010-07-29T22:18:35Z,5,5,5,5,5,Dr. Holmes helped saved my life about 15 years ago - he discovered an aortic anueryism (sp) that I had surgery on 15 years prior that was bulging and in a near rupture condition. His diligence in treating me and watching this condition helped set up an emergency surgery at Virginia Mason Hospital. Great Heart Doctor - Thanks Dr. Holmes
14,Dr. John R. Holmes,Seattle,Washington, Cardiologists , Male,2,5,2010-07-05T17:07:00Z,5,5,5,5,5,John has kept me alive for 13 years. Excellent doctor!!
15,Dr. Christopher L. Fellows,Seattle,Washington, Cardiologists , Male,5,3.75,2015-09-24T23:57:33.770Z,2.3,4,1,1,3,"Spent 10 minutes with me. Asked 8 questions of which 6 could be answered if he bothered to read my file. Then said to see him in a year. Ran no tests, nothing. He seemed arrogant and I was wasting his time.
"
16,Dr. Christopher L. Fellows,Seattle,Washington, Cardiologists , Male,5,3.75,2015-02-11T04:04:04.336Z,5,5,5,5,5,I had a bad arrhythmia that Dr. Fellows was able to cure. He saved my life. I am alive and have three grandchildren that I love.
17,Dr. Christopher L. Fellows,Seattle,Washington, Cardiologists , Male,5,3.75,2014-10-09T05:55:03.337Z,5,5,5,5,5,"I first met Dr. Fellows in Yakima three weeks after my second trip to the ER with PSVT. His visit with me was brief, but it didn't need to be lengthy -- the ECG's confirmed that I had had two PSVT's that converted with Adenosine, and I was a candidate for cardiac ablation, which was three weeks later. A year and a half later, I felt the familiar racing of my heart going into PSVT and went to the hospital. The following Monday morning, I called to see if Dr. Fellows still came to Yakima on a specific Tuesday (the next day), and he did. I was seen the next day, and three weeks later had another cardiac ablation. As another reviewer stated, you may have to wait to get in to see him, but your heart could not be in better hands if you're having cardiac electrical issues."
18,Dr. Christopher L. Fellows,Seattle,Washington, Cardiologists , Male,5,3.75,2012-05-15T15:34:20Z,5,5,5,5,5,"Dr. Fellows did an ablation procedure for me about 10 years ago. Appointments may be scheduled further out than you might wish but that is because he so sought after. I have found him to be very busy but also a caring, patient centered physician. I will have Dr Fellows perform another ablation in the other atria."
19,Dr. Christopher L. Fellows,Seattle,Washington, Cardiologists , Male,5,3.75,2011-01-11T22:56:58Z,1.5,3,1,1,1,"Spent 5 minutes with me. Gave me no diagnosis, reviewed basic tests done by my GP and didn't order any other tests but suggested surgery. Even my GP and the Emergency doctors said additional tests were needed. He is arrogant and condescending. I suggest you look for someone that cares about people and doesn't see you as a number or surgical statistic."
