,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Robin Loe,Atlanta,Georgia,family-gp, Female,35,4.85,2018-03-06T15:37:26.587Z,5,5,5,5,5,"She is the most caring and knowledgeable doctor I have ever known.
"
1,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2016-02-08T02:27:51.840Z,4.8,5,4,5,5,"Doctor Loe is a fabulous physician! She displays medical knowledge far superior than any doctor I have been to. Yes, she sometimes runs behinds schedule (only because she is giving another person the time they need!) but she is well worth the wait!"
2,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2016-01-09T03:38:19.493Z,5,5,5,5,5,Dr. Loe is a wonderful Doctor. She diagnosed a major illness that 2 other doctors had missed which has greatly improved my quality of life. She takes time with her patients and treats the illness not the symptoms. Her staff is great too! Ian so glad I found her. She has made a difference in my life.
3,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2016-01-08T03:45:53.961Z,5,5,5,5,5,"I have used Dr. Loe for about 10 years. She is the most thorough, kindhearted, and knowlegeable dr. anyone could wish for. She has walked me through several health crisis with expertise. She never rushes a visit. Her diagnoses are spot on. She asks about family by name. We are moving in a few months out of the area. Losing Dr. Loe is huge. I hope I am blessed to find another dr. (and friend) like her!"
4,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2015-12-10T02:31:57.414Z,5,5,5,5,5,"Great Doctor she sits down with you and goes over in detail all aspects of your physicals and checkups. She is very thorough and listens to all your concerns.
"
5,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2014-10-30T14:04:11.847Z,4.8,5,4,5,5,"Dr. Loe is one of the best doctors I have ever had and since I have lived in 13 homes and have had some serious health issues…I have seen a lot of doctors. Dr. Loe takes the time to listen, address and follow up with all your issues. I put just good for punctuality as I have had to wait, but I have NEVER minded as I know she is giving the time to others that she gives to me. She has never given me the impression she is rushed. She takes the time to go over your results of all your blood work and tells you what the mysterious numbers mean. She and her staff are warm, kind, professional and caring. I called for a letter for my insurance and within a day, that letter was in my mailbox. I can't tell you how many of my friends, neighbors and just people in the community all feel the same way. I highly highly recommend Dr. Loe and her staff. They don't get any better than this!"
6,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2014-10-26T14:20:21.422Z,5,5,5,5,5,"I was highly recommended to Dr. Loe last year. Since then I have made her my doctor for all my needs. She handles my bloodwork, womans exam, mamogram and anything else I need. She is very attentive, professional and a doctor who truly cares about you. I feel so blessed st 49 years old to finally find a female doctor like Robin Loe."
7,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2014-10-23T23:58:17.066Z,5,5,5,5,5,"Dr. Loe takes her time with you. She is extremely thorough. She listens attentively. Her follow up care is impeccable. She is patient, kind and extremely knowledgable. Her staff is extremely courteous and tries to get you in when you are sick."
8,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2014-10-16T02:30:30.324Z,5,5,5,5,5,Finally a Doctor that takes time with you and expresses a concern for your health. She took time to actually explain how and why my body wasn't doing as it should in a way I could understand .. I actually feel blessed to now have her ss my primary Doctor.
9,Dr. Robin Loe,Atlanta,Georgia, Family Doctors / G.P.s , Female,35,4.85,2014-07-23T12:06:02Z,5,5,5,5,5,"Almost a year since I am unable to go back to see Dr. Loe and I need it very much.. Hope to see her soon because the pollen from Tx is killing me, and I don't want to change her. That's it!. She is the best! (6 or more years my Doc)"
10,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2016-09-25T18:58:01.454Z,5,5,5,5,5,Amazing experience from start to finish. Best doctor I've every been to. I am a patient for life!
11,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2014-09-12T00:48:08.169Z,5,5,5,5,5,One of the nicest & most thorough doctors I've ever had. I just recently moved to Atlanta and am glad I found the perfect doctor on the first try. I highly recommend!
12,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2014-04-14T20:26:47Z,5,5,5,5,5,Dr. Hurley is an extremely talented Doctor. She is by far the best doctor I have ever had - great listener and answers all questions. Highly recommend her!
13,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2013-08-13T10:52:16Z,5,5,5,5,5,Dr Hurley was fabulous and the wait time was minimal.
14,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2011-06-28T09:40:30Z,5,5,5,5,5,"From the moment you walk into the office of Dr. Cindi Hurley, you are greeted by friendly staff and they are punctial in moving you through the paperwork and right into see the doctor. Dr. Hurley not only is very outgoing but so knowledgeable in her practice of medicine. She really listens to your concerns and wants to take the time to explain different approaches to finding a cure. She thoroughly explains prescription benefits and side effects, as well as, suggesting dietary and outside changes to go hand in hand with making an effective recovery. This is simply the best practice that I have visited."
15,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2011-06-07T10:56:11Z,5,5,5,5,5,"Really appreciate Dr. Hurley. She took a personal interest in me, taking time to understand my issues and provide direction. The staff was punctual and pleasant. It's comforting to know that when it comes to managing my healthcare I have a Doctor I can trust and will be there for me."
16,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2011-06-03T12:00:01Z,5,5,5,5,5,"I have been to Dr. Hurley for many issues and her patience with me is a welcome change from other Doctors. She is very detailed in treatment options and takes more time than others to hear my concerns. I would recommend Dr. Hurley to anyone. She is highly intelligent, and has a witty sense of humor which makes the visits that much more enjoyable."
17,Dr. Cynthia A. Hurley,Atlanta,Georgia, Family Doctors / G.P.s , Female,8,5,2011-05-04T15:41:36Z,5,5,5,5,5,One of my friends raved about her and I agree - she is one of the nicest doctors I have ever met. She is thorough and takes the time to explain things so that you understand. This office has you in and out quickly - I don't think I waited more than 5 minutes in the waiting room. I saw her on a Friday afternoon and she e-mailed my lab results on Sunday morning!!
18,Dr. Ray B. Bennett,Atlanta,Georgia, Family Doctors / G.P.s , Male,9,4.92,2015-08-14T01:19:16.566Z,5,5,5,5,5,"Wingard Urgent Care &Wellness is a state of the art facility, from check in to check out my visit there was exceptional. Dr. Bennett took the time to address all my concerns in a professional and caring manner without making me feel rushed and his staff is superb. I will be returning, looking forward to experience the MediSpa also."
19,Dr. Ray B. Bennett,Atlanta,Georgia, Family Doctors / G.P.s , Male,9,4.92,2015-01-20T18:49:14.091Z,5,5,5,5,5,"I first saw Dr. Bennett when he had the Tyrone office for Urgent Care. While a patient there, I inquired about primary services because of the customer service and care I received from Dr. Bennett and his staff. He has been my primary doctor for almost 2 years and there is not a better physician in Peachtree City as he takes his time, asks the right questions, listens and make you feel like you are the most important person in the office. My whole family sees Dr. Bennett now and we do not plan on going anywhere else!"
