,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
11,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2015-09-13T01:43:44.113Z,5,5,5,5,5,"Dr Manso has restored my health. I suffer from a thyroid condition and he has relieved me of symptoms. He is direct, congenial, generous and knowledgeable. Practices conventional & holistic medicine."
12,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2015-07-30T16:44:15.063Z,5,5,5,5,5,"Doctors under the maxim of teach a man to fish, not give the man a fish."
13,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2015-03-26T00:53:06.035Z,5,5,5,5,5,"
A breath of fresh air. Straigh forward, compassionate and very thorough. Brilliant.
Huge arsenal of natural treatments.
Supports vegans. Alternative meducine. "
14,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2015-02-25T19:34:14.524Z,5,5,5,5,5,I am thriving under Dr. Manso's care. I have MS and he has helped me put it in remission.
15,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2014-11-13T20:17:31.446Z,5,5,5,5,5,He's the best! Patient and thorough and looks at things from many different perspectives. Shows me choices I never knew existed.
16,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2014-10-20T22:35:36.512Z,5,5,5,5,5,He simply is the best. He recommends alternative holistic services.
17,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2014-09-01T16:07:15.847Z,2.5,2,5,1,2,"It took a few minutes to be greated. I had high hopes for this doctor and was disappointed that all of his recommendations for me were based on anecdotal evidence and experience with past clients, not lab work. Additionally, his main recommendation included an extreme diet that would have no way been healthy for me and to lose as much weight as possible although I am already at a very healthy weight. Following his guidance would have been dangerous to my health."
18,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2014-08-09T15:43:23.304Z,5,5,5,5,5,"This doctor is awesome! He really cares about your health. And a BIG 'plus' in my book, he's a Godly man! He'll guide you to an appropriate situation concerning your Whole health!"
19,Dr. Gilbert Manso,Houston,Texas,Family Doctor / G.P., Male,29,4.86,2013-12-04T16:36:06Z,5,5,5,5,5,"Alternative medicine expert. Very effective treatment. Straight forward, candid."
20,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2019-05-15T05:07:04.615Z,4.8,5,4,5,5,"LOVE Dr Keshwani! Gentle and personable. Makes me look younger, and his treatment relieves my lifelong headaches."
21,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2017-02-08T21:32:30.144Z,5,5,5,5,5,a great visit with the Doc..very nice office and friendly staff!
22,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2017-01-18T18:44:35.099Z,5,5,5,5,5,The staff is very friendly and the office is very nice and inviting. Any questions or concerns that I had were resolved the day of my appointment. I would recommend this doctor to anyone even my closest friends and family. 
23,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2017-01-14T20:35:13.971Z,5,5,5,5,5,The doctor and staff are wonderful. The office is clean and peaceful. Doctor Keshwani took he time with me and was very caring. I recommend this place to everyone. Iam happy I chose Dr. Keshwani. Thank you Dr. Keshwani and staff.
24,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2017-01-11T21:44:43.865Z,5,5,5,5,5,Friendly and caring staff. Always on time! Great experience. 
25,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2017-01-05T19:40:24.263Z,5,5,5,5,5,Eunice in the Sugar Land location is awesome! Keeps office moving smoothly and very friendly. 
26,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2016-12-20T19:38:40.248Z,5,5,5,5,5,"Staff was excellent, worked with my son to get all his treatments finished while on Xmas break. Highly recommended, couldn't have asked for a better experience!"
27,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2016-12-13T17:19:44.536Z,5,5,5,5,5,The staff is friendly and knowledgeable! Appointment start on time. Overall a great experience!! 
28,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2016-12-08T17:58:12.807Z,4.5,5,5,4,4,Had a good experience. Staff was friendly and attentive. Only took about 20 minutes for laser hair removal. Only thing is the windows look out onto the parking lot and they did not close the blinds. Luckily I just had my underarms treated!
29,Dr. Nazmudin Keshwani,Houston,Texas,Family Doctor / G.P., Male,14,4.93,2016-12-01T01:11:23.868Z,5,5,5,5,5,"Great caring, helpful and knowledgeable staff. Dr K takes his time, explains things and doesn't rush patients through. I highly recommend Elite Doc!"
30,Dr. A. Michelle Bullard,Houston,Texas,Family Doctor / G.P., Female,25,4.69,2018-08-26T17:15:35.234Z,5,5,5,5,5,"Dr. Bullard is very knowledgeable and helpful, she helped me with constant UTI’s by making one simple suggestion. I see her for all my medical needs and i am extremely happy"
31,Dr. A. Michelle Bullard,Houston,Texas,Family Doctor / G.P., Female,25,4.69,2018-05-11T14:37:48.727Z,5,5,5,5,5,"Dr. Bullard has been our family Doctor for many years. She is wonderful. She is professional, knowledgeable and kind and goes out of her way to help in any way she can.
"
32,Dr. A. Michelle Bullard,Houston,Texas,Family Doctor / G.P., Female,25,4.69,2016-09-21T20:45:46.129Z,5,5,5,5,5,Dr. Bullard is the best doctor ever! She is so professional and understanding and kind. I will never go to another doctor. 
33,Dr. A. Michelle Bullard,Houston,Texas,Family Doctor / G.P., Female,25,4.69,2016-07-08T15:05:30.152Z,5,5,5,5,5,"I was referred to Dr. Bullard 4 years ago when I moved here to Houston, I just love her and her staff. They are patient, understanding supportive and they actually take the time to listen. Won't go anywhere else :-) Thank you Dr. Bullard and staff!!!"
