,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Christine L. Effimoff,Los Angeles,California,family-gp, Female,13,4.96,2017-10-31T21:44:27.806Z,5,5,5,5,5,Dr. Effimoff is the best! She truly takes an opportunity to hear her out patients. She generally answers messages speedily as well!
1,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2017-10-10T19:34:34.446Z,5,5,5,5,5,Dr. Effimoff is to a great degree supportive. She is enlightening and follows up on her patients. Answers messages rapidly.
2,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2017-09-26T14:11:56.862Z,5,5,5,5,5,Dr Effimoff makes herself open through email as a general rule - outstandingly supportive since Kaiser appts can take up to one-month out. She's more cautious than most Docs and truly sets aside the chance to tune in to your issues.
3,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2017-09-02T02:56:49.255Z,5,5,5,5,5,Dr. Effimoff is always very responsive and helpful. I have heard some bad stories about Kaiser but Dr. Effimoff is excellent.
4,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2009-08-29T09:47:21Z,5,5,5,5,5,Dr. Effimoff is always very responsive and helpful. I have heard some bad stories about Kaiser but Dr. Effimoff is excellent.
5,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2008-12-18T17:11:59Z,5,5,5,5,5,"Dr. Effimoff is a wonderful doctor, comprehensive, thorough, and very caring. Kaiser is lucky to have her."
6,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2008-12-12T16:55:13Z,5,5,5,5,5,"When I was apatient with Kaiser, Dr. E was absolutely the BEST doctor I have ever had - EVER!"
7,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2008-07-23T20:32:23Z,5,5,5,5,5,"She's always willing to spend time to explain thoroughly, and listen to your needs/health problems. Excellent doctor!"
8,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2007-05-31T18:13:35Z,5,,5,5,5,Dr. Effimoff is the best! She really does take the time to listen to her patients. She always answers e-mails promptly too!
9,Dr. Christine L. Effimoff,Los Angeles,California, Family Doctors / G.P.s , Female,13,4.96,2007-02-14T11:46:42Z,4.7,,4,5,5,Dr Effimoff makes herself available via email most of the time - very convenient since Kaiser appts can take up to one-month out. She's more thorough than most Docs and actually takes the time to listen to your problems.
10,Dr. Mehrangiz Cadry,Los Angeles,California, Family Doctors / G.P.s , Female,4,5,2018-03-18T16:01:47.272Z,5,5,5,5,5,"Excellent doctor. The clinic could use work, but as a physician she is amazing"
11,Dr. Mehrangiz Cadry,Los Angeles,California, Family Doctors / G.P.s , Female,4,5,2014-09-26T20:28:12.206Z,5,5,5,5,5,She is so kind and helpful. I was really worried about my headache and she helped me
12,Dr. Mehrangiz Cadry,Los Angeles,California, Family Doctors / G.P.s , Female,4,5,2012-05-29T09:55:48Z,5,5,5,5,5,One of the best doctors I have ever visited! Incredibly helpful!
13,Dr. Mehrangiz Cadry,Los Angeles,California, Family Doctors / G.P.s , Female,4,5,2012-02-09T14:24:40Z,5,5,5,5,5,One of the best doctors I have ever visited! She cares so much about her patients!!
14,Dr. Paul S. Usborne,Los Angeles,California, Family Doctors / G.P.s , Male,4,5,2012-10-17T15:24:42Z,5,5,5,5,5,I have to agree with all the comments that has been sent here. I run a hospice agency and he has been an OUTSTANDING doctor to our patients. Not only do hear WONDERFUL comments from our patients but the family as well as the care givers (facilities) are WELL pleased with him. Thank you doctor Usborne. - Alvin
15,Dr. Paul S. Usborne,Los Angeles,California, Family Doctors / G.P.s , Male,4,5,2012-04-18T23:32:52Z,5,5,5,5,5,"i was refered by my hm care provider that a member of her family see dr usborn i know i made the best choice by going to see dr usbore now im a pleased patient ,and im picky about my doctors since iv been going to doctors since 1980 if you have questions dr usbourn has ansures go see for your self great staff very pleasent there thank you from robert garcia of covina"
16,Dr. Paul S. Usborne,Los Angeles,California, Family Doctors / G.P.s , Male,4,5,2010-07-20T19:18:52Z,5,5,5,5,5,"Quaint office where you will be treated like a person, not a dollar sign or a number!"
17,Dr. Paul S. Usborne,Los Angeles,California, Family Doctors / G.P.s , Male,4,5,2009-09-16T23:26:20Z,5,5,5,5,5,"Best bedside manner, knowledgeable, fluent in Spanish. This doctor actually listens to his patients."
18,Dr. Ramtin T. Massoudi,Los Angeles,California, Family Doctors / G.P.s , Male,6,4.58,2019-02-08T00:45:13.660Z,5,5,5,5,5,Doctor and staff are very were knowledgeable about my vein problem. 
19,Dr. Ramtin T. Massoudi,Los Angeles,California, Family Doctors / G.P.s , Male,6,4.58,2013-09-03T17:46:17Z,5,5,5,5,5,Dr. Massoudi got rid off all my spider veins and Varicous veins. He is a wonderful caring Dr. and i would def refer him to anyone that wants to have no ugly veins in the legs. Thanks to him i can wear skirt and shorts now.
20,Dr. Ramtin T. Massoudi,Los Angeles,California, Family Doctors / G.P.s , Male,6,4.58,2012-10-18T21:29:42Z,2.5,4,4,1,1,This doctor is a family practition and he does not have any knowledge about veins. I had a lot of complications because of him. BE AWARE.
21,Dr. Ramtin T. Massoudi,Los Angeles,California, Family Doctors / G.P.s , Male,6,4.58,2011-05-18T02:27:20Z,5,5,5,5,5,he is such a gentle doctor who is caring and loving
