,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Peter Shalit,Seattle,Washington,family-gp, Male,9,5,2014-09-15T20:18:02.628Z,5,5,5,5,5,"I have been a patient of Dr. Shalit since he purchased the practice from Dr. Henry Kuharic many. many years ago. From the very first time I met him, I knew he would be my primary doctor until he either retires or I have no need for doctors anymore."
1,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2011-09-22T19:25:47Z,5,5,5,5,5,Dr Peter Shalit is gentle and kind. He is the best and his staff is just wonderful. I have been his patient for over 20 years and could not be happier. J.W.
2,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2011-09-04T15:11:56Z,5,5,5,5,5,A really great doctor. Knows his field and very up to date.!!!
3,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2011-06-13T17:49:47Z,5,5,5,5,5,Peter is a compassionate care giver who always makes sure that you are receiving his 100 percent attention. He is totally approachable and non-judgemental. I have recommended him to my closest friends and they see the same traits I value in him.
4,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2009-07-24T15:06:45Z,5,5,5,5,5,"Dr Shalit is simply the best Dr I have ever been too. He is kind compassionate and very knowledgable. He returns calls he emails, he is the greatest. I hope he has no plans to retire soon!"
5,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2007-12-06T16:10:07Z,5,5,5,5,5,maybe the best doctor ever. really a great doc. i have seen him for over ten years
6,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2007-10-25T11:35:35Z,5,5,5,5,5,"Peter has been my physician for years, and with his partners in practice, have provided top notch medical care with any bobbles in my health due to bad luck or bad decisions on my part."
7,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2007-08-01T23:01:23Z,5,5,5,5,5,Dr. Shalit is an amazing doctor if you are lucky enough to be one of his patients. He will even call you back each day or email you promptly.
8,Dr. Peter Shalit,Seattle,Washington, Family Doctors / G.P.s , Male,9,5,2006-09-27T09:20:56Z,5,,5,5,5,"I have been seeing Peter for over ten years! He's knowledable, friendly and compassionate. I even drive the two hour drive from Bellingham and back, just to keep him as my Dr."
9,Dr. Michael S. Grabinski,Seattle,Washington, Family Doctors / G.P.s , Male,7,4.93,2019-02-22T18:49:39.581Z,5,5,5,5,5,"I have seen Dr Grabinski for a few years and he has been excellent. The past few years I have had a lot of issues hit me at once. He was always quick to pull in specialists when needed, and he would check in with them to find out what is going on and relay information back. He is hesitant to jump to medication for solutions, but he takes appropriate action when needed. He is also extremely friendly and enjoyable to talk to. "
