,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. T. Douglas Gurley,Atlanta,Georgia,internist-geriatrician, Male,84,4.64,2019-03-26T16:58:58.985Z,5,5,5,5,5,The team at this office is incredible!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-03-21T14:51:48.736Z,5,5,5,5,5,"I don't like getting sick but when I do, I know Dr. Gurley and his team will take incredible care of me. There isn't anything I am afraid to tell the team. I know they will take all the time they need when they see me to make sure my questions are answered. They are very quick to respond to questions sent on their portal. I am very happy to have found this practice. "
2,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-02-22T17:10:12.644Z,5,5,5,5,5,My Doctor anticipated my needs and helped me to be open and comfortable. Extremely friendly and this place is super super clean i almost couldn't believe i found it. 
3,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-02-13T22:19:22.729Z,5,5,5,5,5,I’ve traditionally disliked going to the doctor but coming to see Dr Elliot and staff is like visiting friends. They truly care about your well being n don’t just focus on ur body - they mJe sure ur feeling good about life too. Bravo to this team 
4,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-02-01T16:47:55.518Z,5,5,5,5,5,"After difficult times in my personal life, I am finding great help and support as a new patient of Dr. Gurley. The office staff is so personably, professional and sincere. I really think I am going to love it here. "
5,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-01-29T19:42:53.129Z,5,5,5,5,5,The best!!!! Great customer service and super accommodating to all needs.
6,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-01-17T14:21:02.479Z,5,5,5,5,5,"I have been going to this practice for over 4 years now. I have seen every Doctor and PA there! They are always unbelievably helpful, knowledgeable, and most importantly, they are REAL! We can talk about anything and everything and I feel totally comfortable. Tired of feeling embarrassed at your doctor? GO HERE! "
7,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-01-12T23:09:06.560Z,5,5,5,5,5,"They are great with the patients, open to listening to my concerns and always offer options. "
8,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2019-01-11T19:51:18.936Z,5,5,5,5,5,"I didn't have to wait an extended amount of time to get in for an appointment as a new patient. The amount of paperwork required as a new patient was minimal. The paperless process was very user friendly and intuitive. The reception on the day of my appointment was very warming and welcoming. Alicia Welcome was simultaneously personable and professional. PA Forrest Griffin was very easy to talk to, thorough, and knowledgeable concerning my health issues and/or concerns. I was pleasantly surprised that at the end of my appointment Dr. Gurley himself actually came in and reviewed my record that had been created with PA Griffin. My experience at Dr. Gurley's office was by far my best to date, the epitome of punctual and professional."
9,Dr. T. Douglas Gurley,Atlanta,Georgia, Internists / Geriatricians , Male,84,4.64,2018-12-13T16:06:43.953Z,5,5,5,5,5,These are the most professional and personable health care providers I've ever had. They make an effort to show genuine concern and are proactive with treatment and care options. 
10,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2017-05-04T16:35:11.644Z,5,5,5,5,5,"Dr. Diaz and his staff are the best. They know who you are, ask the right questions and genuinely care about me and my health. There punctuality is unbelievable! Yesterday I had a 4:30 appointment and was in my car shortly after 5!"
11,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2017-05-03T21:18:05.349Z,5,5,5,5,5,"Dr. Diaz has been my GP for over 15 years. I have other health issues and he is like the quarterback of my medical team. He monitors everything, he takes the time to really interact and I trust him in every respect. Truly like a personal physician from the past. No rushing.been though my job and home moved miles away from his area, I still remain with him because of his professionalism and loyalty to me. They don't make them like this anymore."
12,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2016-03-07T14:53:48.667Z,5,5,5,5,5,"I have had several internists over the course of my life and can say hand's down that Dr. Diaz is the best. He listens, gives straight-talk responses and is whip-smart. He remembers things from my last visit and truly has my best interests in-mind. My wife also uses Dr. Diaz as her internist and feels the same. Staff is amazing as well. Can't say better things."
13,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2014-06-08T09:42:44Z,5,5,5,5,5,Dr.Diaz is the best Doctor on the planet! He is always punctual and very detailed in his analysis of you overall physicality. He has been my Doctor since 1997 and when I have an illness he is always available to treat me. His professionalism is superb and his staff is as professional and caring as himself. When your ill he takes time to listen to what you are saying and treats accordingly while interjecting his knowledge base. He calls you on the phone with any results or recommendations. He is awesome and we need more Doctors like him in this world. He will always be my choice for medical needs as long as I'm living in Atlanta. Great Doctor and great medical staff team.
14,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2014-05-13T20:17:31Z,5,5,5,5,5,"Dr. Diaz is in a class all by himself. He truly cares about your well being. A elderly friend referred him to my mother and I years ago, when I got married my husband became a patient and as soon as our twin daughters became teenagers he became their doctor as well. Him and his staff have always provided superior service. Everyone is always kind, respectful of your situation and your time, helpful, punctual, always available and knowledgeable of your health and needs. We have never been denied attention or treatment whether we had insurance or self paid. The doctors that Diaz refers you to provide excellent care(but still can't compare to his care)which you still get because he always stays involved in your treatment. I had two surgeries over the years and he visited me in recovery both times. Totally unexpected the first time. Phone consults which he barely charges for and only expects to see you in person if absolutely necessary. Cares about you not your money. BEST! Roberson Family"
15,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2014-03-25T00:07:25Z,5,5,5,5,5,"Dr. Diaz is a wonderful doctor. I was recommended to him when I was about to undergo gastric bypass surgery. I wish I had found him sooner. The best thing about him is that he actually listens to my concerns, addresses them and provides me with answers. He doesn't rush out of the room and when I was ill, I could actually get an appointment. I feel as though my well being is his top priority. I would highly recommend him."
16,Dr. Peter DIAZ-ALONSO,Atlanta,Georgia, Internists / Geriatricians , Male,19,4.99,2012-11-27T14:33:46Z,5,5,5,5,5,"Wonderful doctor, and amazing staff! Punctual doctor, very knowledgeable and friendly. Takes time to educate, and listens! Staff very friendly, and strive to be helpful and accomodating. Definately would recommend."
