,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Mahmoud A. Mahafzah,Detroit,Michigan,internist-geriatrician, Male,13,5,2018-09-02T20:34:05.994Z,5,5,5,5,5,"It is a pleasure to go to appointments with my Doctor. He knows what he is doing,explains why"
1,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2018-09-01T15:31:14.068Z,5,5,5,5,5,"Provider is patient, knowledgeable, and fully explained the procedures."
2,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-12-19T18:09:35.411Z,5,5,5,5,5,"I like my doctor and the staff is courteous,knowledgeable,and efficient"
3,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-12-11T10:47:00.667Z,5,5,5,5,5,All I can say is that this office is run the best i ever seen
4,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-10-10T11:07:49.300Z,5,5,5,5,5,I feel the staff was very knowledgeable about my needs.
5,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-10-01T16:16:18.953Z,5,5,5,5,5,"Great staff... Keep up the outstanding wrk... With Ur staff and the public...
Frm, .Amina M.
"
6,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-09-11T11:00:07.072Z,5,5,5,5,5,"Seen by Dr. right away, never a long wait like most Doctors, I love that"
7,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-04-10T16:15:54.748Z,5,5,5,5,5,"I was actually seen prior to my appointed time, which is unheard of."
8,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2017-03-05T05:37:21.172Z,5,5,5,5,5,Everyone was highly professional as usual. They got me in to see a doctor with short notice of needing to see one. Although he was not my usual doctor he made me feel comfortable assuring me he had perused my recorded.
9,Dr. Mahmoud A. Mahafzah,Detroit,Michigan, Internists / Geriatricians , Male,13,5,2016-12-12T15:39:12.692Z,5,5,5,5,5,They are quick and efficient while still being excellent with their customer service
10,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2013-04-02T12:15:15Z,5,5,5,5,5,"Very good doctor, who spends adequate time with you and doesn't talk down to you. Careful in recommending further diagnostic testing - doesn't order tons of unnecessary tests, but looks further if he has any concerns there could be an actual issue. No issue getting quick specialist referrals (as long as the specialist is in his hosptial network, not the HMO network as a whole - THAT I don't like). You never wait long in the waiting room, either."
11,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2013-03-14T14:25:29Z,1.8,2,2,1,2,Couldn't even make an app't because he doesn't accept patients who don't have insurance.
12,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2012-04-20T15:38:47Z,5,5,5,5,5,What a Doctor is and should be. He is in the field to help patients not make a buck. Dr. Neisch personally calls when there is concern by the patient about test reviews. He did this for me late on a Friday night. Nuff said!
13,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2011-03-17T18:54:51Z,5,5,5,5,5,"Dr. Neisch is a brilliant man that can give advice on most systems in the body and if he feels you need a specialist, he is very quick to intervene and help. Reliant and caring. Would highly recommend."
14,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2010-10-22T12:39:32Z,5,5,5,5,5,Very caring and knowledgeable and is on time for his appointments.
15,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2010-09-15T06:32:28Z,5,5,5,5,5,"Very well organizes, on time, test are in a logical manor."
16,Dr. Eric N. Neisch,St. Clair shores,Michigan, Internists / Geriatricians , Male,7,4.5,2008-09-29T09:07:59Z,4.8,5,5,5,4,"Very caring and compassionate. A great doctor. Also, the staff is excellent."
17,Dr. Aly R. Sheraly,Detroit,Michigan, Internists / Geriatricians , Male,4,5,2019-02-28T12:59:52.172Z,5,5,5,5,5,No problems surgery went well can see much better without my glasses 
18,Dr. Aly R. Sheraly,Detroit,Michigan, Internists / Geriatricians , Male,4,5,2018-02-19T20:20:05.353Z,5,5,5,5,5,"Patient, pleasant, thorough. Recently had cataract surgery with lens implants. Surgery without a hitch. Answered all my questions, addressed all my concerns. Very professional and an excellent beside manner."
19,Dr. Aly R. Sheraly,Detroit,Michigan, Internists / Geriatricians , Male,4,5,2017-11-12T15:00:32.776Z,5,5,5,5,5,"I recently underwent 2 cataract surgeries performed by Dr Sheraly, and amazingly enough, I would not hesitate to do it again. Dr. Sheraly's beside manner is amazing, his personality, very pleasant -always smiling. Kudos also for the staff of the Winter Haven Eye Specialists, who are also very professional and caring.. "
20,Dr. Aly R. Sheraly,Detroit,Michigan, Internists / Geriatricians , Male,4,5,2015-11-06T17:32:49.140Z,5,5,5,5,5,"After my first visit, I decided that this will be provider for all eye care. It's in all service place. I don't have to go to another specialist for my field test. The eye specialist comes to this facility or he works out of this place."
21,Dr. Kimberly Farrow,Detroit,Michigan, Internists / Geriatricians , Female,3,5,2017-01-16T16:46:40.779Z,5,5,5,5,5,She the best ever she cares about others and helps others
22,Dr. Kimberly Farrow,Detroit,Michigan, Internists / Geriatricians , Female,3,5,2014-09-09T19:35:22.364Z,5,5,5,5,5,"Has integrity. Let me know that at my age, 78, unnecessary testing was unnecessary. Very kind, overlooking my faux pas. Office in inner city has top-notch equipment and appearance."
23,Dr. Kimberly Farrow,Detroit,Michigan, Internists / Geriatricians , Female,3,5,2011-08-06T23:18:49Z,5,5,5,5,5,This is a great doctor.
24,Dr. Rick D. Saier,Clinton Township,Michigan, Internists / Geriatricians , Male,3,5,2013-11-06T22:25:15Z,5,5,5,5,5,"I found Dr. Saier to be very thorough when he was in Sterling Heights. I was very sorry when he moved and I had to find another doctor. If he was within driving distance I would certainly go to him again -- immediately. He was very caring, and knowledgeable and explained in great detail any questions I had."
25,Dr. Rick D. Saier,Clinton Township,Michigan, Internists / Geriatricians , Male,3,5,2012-09-07T20:52:12Z,5,5,5,5,5,"Dr. Rick Saier proved to be a , personable and extremely wise internist while addressing my medical conditions when the symptoms strayed from the classic textbook examples. I've seen several other doctors in the recent past who didn't know what to test for in order to determine the cause or best treatment for symptoms. He has a much broader knowledge of metabolic and endocrine disorders. I sensed he really cares about seeing me recover."
