,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. David NAZARIAN,Los Angeles,California,internist-geriatrician, Male,10,5,2016-07-24T06:25:41.577Z,5,5,5,5,5,Exceptional care and office! The staff is always welcoming and the doctor is very supporting
1,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2015-04-19T23:02:27.675Z,5,5,5,5,5,"Dr Nazarian is an exceptional doctor who provides exceptional care to his patients. His Beverly Hills office is beautiful, hi tech and very clean. His staff is very professional and extremely helpful. I would recommend his practice to everyone looking for a great internist or primary care doctor!"
2,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2015-04-12T17:59:45.966Z,5,5,5,5,5,Wonderful internist in Beverly Hills. Truly cares about his patients.
3,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2015-04-12T08:59:04.224Z,5,5,5,5,5,Wonderful Internist and an amazing practice! Many services provided under one roof in the heart of Beverly Hills.
4,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2014-06-05T01:04:27Z,5,5,5,5,5,"Personal care from a concierge doctor that's very attentive. If you are looking for a concierge doctor in los angeles then Dr. Nazarian is hands down the best. His yearly physicals, attention to detail, and caring demeanour set him apart"
5,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2014-05-14T18:16:48Z,5,5,5,5,5,A wonderful doctor and a wonderful practice! Located in Beverly Hills California.
6,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2014-05-14T08:18:42Z,5,5,5,5,5,"Dr. Nazarian is an extraordinary internist and a gift to the medical profession. He possesses a rare combination of vigilance, attentiveness, and professionalism, while providing insightful clinical wisdom and gold-standard medical care. My father, his patient, is quite medically compromised, necessitating specialized care and oversight. Dr. Nazarian approaches patient care as an artist, precise in detail, impeccable in diagnostic prowess, and passionate in advocating maximally for his clientele. He is readily accessible and poised to help at anytime; always answering calls and e-mails expediently, making house calls whenever necessary, following up immediately to discuss test results, and coordinating care with specialized health care providers. There really are not enough words to properly describe or praise Dr. Nazarian. My father feels that his care is finally being managed effectively through Dr. Nazarian's top-notch Concierge model."
7,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2013-09-03T23:08:00Z,5,5,5,5,5,A wonderful and knowledgable internist who defines concierge medicine ( personal attention and care)!
8,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2013-05-05T19:43:19Z,5,5,5,5,5,The best care I have ever received in Los Angeles. He practices concierge medicine and will answer all your questions!
9,Dr. David NAZARIAN,Los Angeles,California, Internists / Geriatricians , Male,10,5,2012-03-26T19:20:07Z,5,5,5,5,5,Dr. Nazarian has been a great asset to me. As his concierge patient I have benefited a lot from his services. I have a really hectic schedule so it has been a huge help that he comes to see me at my home or office. I highly recommend him.
10,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2015-04-28T15:58:25.468Z,5,5,5,5,5,I have never met a doctor who is more caring and respectful of his patients time. I've been 4 times and I have never had to wait more than a minute or two. His staff is lovely and Dr. Sue returns all calls within about 15-30 minutes. I love this practice!!!
11,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2013-10-05T09:15:59Z,5,5,5,5,5,"Dr Sue has the best bedside manner that any patient could ever ask for. He is the calmest and friendliest man I know. He will work with you to find solutions. I've seen him for 8 years, and I wouldn't go anywhere else."
12,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2013-08-20T18:45:44Z,5,5,5,5,5,"Absolutely perfect office visit. Short wait time, pleasant, efficient staff, quick follow up. Dr. Sue and the entire office are a rare mix of incredibly knowledgeable, efficient, yet simultaneously caring & compassionate. It’s a treat to find outstand health care!"
13,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2012-11-10T02:07:46Z,5,5,5,5,5,Dr sue is AMAZING! he is the best doctor anyone could ask for. I am so lucky to have found him.
14,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2010-03-23T13:08:59Z,5,5,5,5,5,"He is an absolutely wonderful doctor! Knowledgeable, compassionate, friendly, always returns phone calls himself-- you just can't ask for more from a doctor. (Well, maybe I would ask for one thing-- he does not take any insurance.)If you can afford it, he is #1."
15,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2009-07-06T21:08:16Z,5,5,5,5,5,"Dr. Sue is amazing. He is the best in his field. He spends quality time with his patients and truly cares. He is genuine, empathetic, professional, extremely intelligent and highly competent in his field. They don't make doctors like him anymore. Truly fantastic."
16,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2008-06-18T17:44:54Z,5,5,5,5,5,"Ron is a superlaive, caring doctor who listens and communicates well"
17,Dr. Ronald Sue,Los Angeles,California, Internists / Geriatricians , Male,8,5,2008-05-19T13:01:06Z,5,5,5,5,5,"Quality personal health care. Resolves, or directs by referral, all my health complaints, aches, and pains."
18,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2014-04-26T18:09:36Z,4,5,4,3,4,"I have been seeing Dr. Brousseau for 15+ years. He has a very good and caring professional demeanor. Dr. Brousseau has always been very thorough. However,I have noticed a decline in the doctor's demeanor and sadly, his willingness to try different or new methods to help with my maladies."
19,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2014-02-26T15:25:16Z,5,5,5,5,5,"These reviews are correct. He really is the best internist out there. Great facility, very pleasant staff, and dr. Brousseau spends every minute you need with him. He is very thorough and leaves no stone unturned. His knowledge surpasses any other internist I've ever seen. I am truly grateful to be his patient."
20,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2013-02-19T10:12:40Z,5,5,5,5,5,Best Doctor both my husband and I are patients I have referred alot of friends to him he listens to you he does not brush you off. He's staff is friendly My family will always have him for our Primary Doctor.I ent to alot of doctors that have ignored my symptoms or just want to give more and more pills to get rid of me and look at me as I explain my symptoms but not listen. This doc is truely the best and recommend him without any hesutation.
21,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2012-12-31T12:45:44Z,5,5,5,5,5,Dr. Brousseau is by far the best doctor I have ever seen. Not only is he brilliant but also has a very comforting bedside manner. His entire staff is equally fantastic. I hope he never retires because it will be impossible to find any with his clinical knowledge and wonderful personality.
22,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2012-03-25T09:45:46Z,4.5,5,5,3,5,"after being a patient for 12 years, I have lost trust in this doctor.I have been very dissapointed in the visits for the last 2 years, yet I did not want to give up on the doctor. I believe I have now."
23,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2009-02-09T18:00:27Z,5,5,5,5,5,"Dr. Brousseau is by far the best doctor I've ever seen. He is thorough, friendly and the rest of the staff is terrific also. I've recommended him to several friends who have gone on to recommend him to their friends."
24,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2008-05-19T10:58:23Z,5,5,5,5,5,Dedicated and and extremely thourough. Takes his time with the patient and always writes down everything he has sugested you do.
25,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2008-03-21T16:40:00Z,5,5,5,5,5,"I really like Dr. Brousseau. He makes sure you understand everything, writes it down for you to take home to have a record. Doesn't rush the appointment and has very good bedside manners. He gives me my pap and my physical. He also has my husband as a client and he is very satisfied with his personality and the way he handles his ailments. The office has everything there, so you do not have to leave for a stress test, blood work, and bone scan. He does not do the mammogram at the office. He response to email which I appreciate since I can leave him messages at any time. His response time is excellent. Parking is on the street about 2 blocks."
26,Dr. Michael P. Brousseau,Beverly Hills,California, Internists / Geriatricians , Male,9,4.83,2008-02-14T14:36:14Z,5,5,5,5,5,"This is the best doctor I've found. He is thorough, friendly and dedicated to his patients. The staff is terrific as well. I recommend him to all of my friends."
27,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2017-06-24T18:21:19.706Z,5,5,5,5,5,Dr. Wong and the entire staff have been the best I have ever seen! I actually enjoy going there and no one likes going to the doctors!
28,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2017-05-20T18:02:25.376Z,5,5,5,5,5,"The staff is friendly, and wlill help in anyway thy can. They even laugh at my jokes - how can anyone ask for more ?"
29,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2017-05-20T16:35:53.315Z,5,5,5,5,5,"Ms, Burnette is wonderful a blessing. I have been suffering with this illness for over 4 years she gotten me to the right doctors a no nonsense nurse . She is a asset to your company. She is straight forward and tells you how it is . Thank you so much for having someone like her working for you ."
30,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2017-04-30T16:21:06.961Z,5,5,5,5,5,I visit this office on a monthly basis and the entire staff is highly professional and very friendly.
31,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2016-11-26T15:58:54.163Z,5,5,5,5,5,"This is an excellent facility, run by professionals.......professional in every way. They are knowledgeable, and they really care!"
32,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2016-07-21T19:15:06.334Z,5,5,5,5,5,I was very happy with the course of treatment that Dr. Wong has recommended. I really believe that his plan will increase my quality of life.
33,Dr. Michael J. Wong,Los Angeles,California, Internists / Geriatricians , Male,7,5,2016-07-15T17:27:38.095Z,5,5,5,5,5,"Dr. Wong and Dr. Coleman have provided competent, risk adverse, diagnosis and treatment of my prior back pain. I expect the same will follow as a result of my most recent ov-assessment, diagnosis and follow-up. I am pleased that my primary care provider referred me to this center and these Doctors."
