,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Milah B. Frownfelter,Seattle,Washington,internist-geriatrician, Female,11,4.57,2016-11-06T01:54:06.972Z,5,5,5,5,5,"Absolutely fantastic, I drive over 100 miles each way to see her.
Go see her you will be glad you did!"
1,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2016-10-11T02:40:58.595Z,5,5,5,5,5,I miss her she is the best Doctor in Seattle. She will make​ you healthy!
2,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2015-10-13T00:32:53.102Z,5,5,5,5,5,"Hands down, best Dr ever. End of story. She is an absolute angel. "
3,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2014-01-08T17:03:48Z,1.8,2,3,1,1,"Unfortunately I had a very negative experience with Dr. Frownfelter. I had a complex constellation of symptoms, but instead of trying to talk it through with me she jumped to a common and insulting conclusion that it was ""somatization disorder"" (i.e., ""all in my head""). She made the clinical visit worse when she passed on her written assessment to other doctors who then assumed the same and were equally dismissive. As a result, I had to go to a different clinic to get an unbiased viewpoint and receive the correct diagnosis of multiple sclerosis. So in a way, she was right- it was all in my head (Brain)- but psychologists don't help much with the physical symptoms of MS. Her suggestions were at best unhelpful; her manner condescending and cruel. If only she had taken the time to listen carefully or shown some empathy, I would have received treatment sooner, and saved money and time (and psychological distress). I do not recommend this doctor."
4,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2012-11-17T00:08:02Z,4.5,3,5,5,5,"If I could give Dr. Frownfelter 10 stars for knowledge and helpfulness, I would. She is, by far, the best physician I've had. She has a very busy practice, but takes the time needed to listen, ask thoughtful questions and explore treatment options as appropriate. She has never hesitated, though, to act swiftly and decisively to pursue more aggressive treatments and/ or tests for health conditions when required. The only rating that's less than stellar applies to staff, who are difficult to reach at times. Her primary assistant is not nearly as conscientious as she is, which is surprising."
5,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2011-05-03T22:24:09Z,5,5,5,5,5,"Dr. Milah F, is a good doctor. I have grouphealth insurance now but, for the short time i did have her she was very easy to talk to and very knowledgable. Niko"
6,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2011-01-05T14:35:16Z,4.8,4,5,5,5,She is one of the best doctors I have had in my lifetime. I have been a patient for three years and have zero complaints. The staff is friendly and my wait time has always been minimal. Dr. Frownfelter is very thorough and takes the time to listen while keeping the appointment within a reasonable time. Excellent doctor.
7,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2010-08-26T12:15:57Z,5,5,5,5,5,"You have Dr. Frownfelter listed as ""M"" and this doctor is ""F"", female. She is the best doctor in all categories. Her caring and concerned nature make her easy to communicate with. I have multiple ailments and she is very knowledgable in each of them. Her office location has changed and its more difficult for me to get there, however, I'd go to the moon to see her!"
8,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2009-06-01T14:19:26Z,4.3,5,4,4,4,I though she was excellent. She was luid and I did not feel rushed. The receptionist in the office has these disgustingly long nails with landscapes painted on them...not good for a dr. office.
9,Dr. Milah B. Frownfelter,Seattle,Washington, Internists / Geriatricians , Female,11,4.57,2009-01-16T13:10:05Z,5,5,5,5,5,"During the 3 office visits I've had with her, Dr. Frownfelter seemed to be very concerned about me and my health. That's not always the case with the medical system as is exists today, at least in a large city like Seattle. Usually you're herded in and out as quickly so the doctor can see as many patients as possible. Dr. Frownfelter spent more time with me in my first session with her (almost an hour and a half) then all the previous doctors I've seen in the past 10 years combined. She even followed up with 2 phone calls to check in on me after my office visit. Her nurse picked up my phone call immediately when I had a question and called me back within 10 minutes with an answer. Unfortunately Dr. Frownfelter doesn't accept children as patients, otherwise I'd switch my son's health care over to her without hesitation. I would highly recommend her without any reservations."
10,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2014-06-06T15:17:10Z,5,5,5,5,5,"Dr. Rossi and his entire staff, (with a special nod to Debra) are the best people you could hope to have on your team if you are sick. Dr. Rossi literally saved my life and his team treated me like family all through my recovery. Dr. Rossi is extremely knowledgeable and is not one to rush you through an appointment. He and his staff are the best that you could hope for."
11,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2013-07-27T11:59:03Z,4.3,5,5,3,4,Very personable and responsive with follow up. Appears a bit glib and quick to form opinion on diagnosis without referring to other specialties.
12,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2011-02-24T23:55:24Z,5,5,5,5,5,"I've been a patient of Dr Rossi for 12 years. His kindness, caring and compassion are matched only by the attentiveness of his staff. He keeps his appointments, he follows up and he is truly a kind and caring human being."
13,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2010-05-05T23:04:19Z,4.5,5,5,4,4,"Very conversational and good at explaining what's going on. However, he tends to push pills and tests and seems to cast a wary eye to natural medicine, change in diet, chiropractic care and physical therapy."
14,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2009-10-02T18:21:44Z,5,5,5,5,5,"WONDERFUL Doctor! Took the time to call me personally at home when I was having difficulty with my medications. Takes the time to talk with you and seems very knowledgable. The staff are fantastic, very friendly and fast. Squeezes me in usually the same day or next if I need to be seen."
15,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2008-11-10T18:06:59Z,4.8,5,4,5,5,"Dr. Rossi has been my primary physician for over 10 years and is consistantly knowledgable, helpful, and available. His staff, including Debra, are of the highest quality. I highly recommend Dr. Rossi."
16,Dr. Ralph Rossi,Seattle,Washington, Internists / Geriatricians , Male,7,4.79,2008-07-16T09:40:20Z,5,5,5,5,5,Spent hours talking to me about a sick parent -great care.
17,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2017-07-16T23:08:52.686Z,5,5,5,5,5,"I have been a patient of Dr. Johns for at least 30yrs. He is the epitome of being a fine, caring, considerate Doctor. Always listens and gives right on advice. He has been my families primary care physician forever. Thank You Dr. Gregory John for all the years, good and bad."
18,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2014-06-10T13:02:22Z,5,5,5,5,5,I am a 79-yr-old female; and I have been very happy with one or two previous doctors; but I have never been treated by a better doctor. He is incredibly thoughtful and thorough; and he treats me as if he cares about ME. Is there anything more to ask?
19,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2013-02-06T16:50:10Z,1,1,1,1,1,he didnt refer me to a speaclist when i needed one had over twenty visits with him never took my blood pressure knowing i has highblood pressuure i would not go back to him ever he is not what he appears to be
20,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2012-11-11T18:56:22Z,4.5,4,4,5,5,"Great Doctor. He will spend whatever time is needed to answer all you questions and concerns. If he is unsure about specific treatments for you illness, he will reccommend a specialist for you to see. I will advise anyone who is looking for a MD that Dr. John is the best."
21,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2011-09-07T12:01:31Z,4.8,5,4,5,5,"Dr. John has been my primary care physician for over 20 years. I have found him to be a very knowledgeable and caring physician. He always has time to talk about my concerns and clearly discusses any issues I raise. I am grateful to Dr. John and his staff for the way I am treated and the quality of care they provide. I actually look forward to our ""visits""."
22,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2010-10-15T16:41:49Z,4.8,5,4,5,5,Dr. John is terrific. I feel lucky to have him as my primary care physician. He listens and never seems rushed. He has always referred me to excellent specialists. I actually enjoy going to see him and he's always taken good care of me.
23,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2010-01-13T16:38:36Z,4.8,4,5,5,5,I've been seeing Dr. John for close to 20 years. He is the best Dr. I've ever had!
24,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2009-10-25T21:14:19Z,4.5,5,5,4,4,"Dr. John is one of the best General Practitioners in Seattle. Realize though that he is not a specialist. So he won't have the same depth of knowledge that a specialist has. I go to him for general care or when I don't know the problem. If I think a condition is related to the heart, then I'll just skip the middle man and make an appointment directly with a cardiologist. I'm fortunate that my insurance allows me to do that."
25,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2009-08-20T11:31:17Z,4.8,5,4,5,5,"Dr. John was my doctor for more than 15 years. He takes the time to listen - and is never dismissive, has a wonderful manner, and always helpful. His nurse Gloria is also great. I was treated in his office and also during several hospitalizations. He was there every morning and evening making sure I was getting the care he prescribed. He works well with other specialists both inside and outside the Polyclinic to coordinate care. He is responsive to phone calls and times when you cannot make it in to the office but need some help or a prescription. Anyone would be lucky to have him as their primary care physician. I am only sorry I moved out of state and can not longer see him. I can only hope that I can find a physician as great as Dr. John in my new state, but I am not holding my breath because they are few and far between. Do not hesitate to choose Dr. John and allow time to develop the doctor patient relationship. Takes some time but well worth the investment. Best wishes."
26,Dr. Gregory John,Seattle,Washington, Internists / Geriatricians , Male,12,4.45,2008-10-03T22:19:12Z,4.8,5,4,5,5,I have seen him for about 25 years. He has always resolved my health concerns. I would highly recommend him. He fights for your health. Very sensitive and caring and knowledgeable.
27,Dr. Seth B. Franklin,Seattle,Washington, Internists / Geriatricians , Male,5,5,2019-01-17T03:25:00.807Z,5,5,5,5,5,"Dr Seth Franklin has been my Doctor for over 10 years. He is fantastic. I retired and moved 200 miles east of the Seattle and Dr Franklin is still my Doctor. He listens, provides exemplary care and guidance and truly cares about his patients. He recently guided me through a knee challenge and very fortunate that he did!"
28,Dr. Seth B. Franklin,Seattle,Washington, Internists / Geriatricians , Male,5,5,2017-08-11T22:18:26.772Z,5,5,5,5,5,"Dr Franklin is so candid and effective that despite moving 3 hours from Seattle, he is still my Doctor!"
29,Dr. Seth B. Franklin,Seattle,Washington, Internists / Geriatricians , Male,5,5,2009-11-23T11:04:54Z,5,5,5,5,5,"Seth has been my doctor for 15 years, and I think so highly of him that I moved with him when he want to the concierge model. I'd put Seth in the top 5% of family practitioners. He listens well, explains options and treatment, makes sure he understands your whole health situation (physical, mental) and provides well thought-out options. I only see Seth about once or twice a year (annual physical and occasional stuff), but it's like visiting an old friend...that ""old country doctor"" in the heart of the city. My highest recommendation. Not sure if he's taking on new patients."
30,Dr. Seth B. Franklin,Seattle,Washington, Internists / Geriatricians , Male,5,5,2009-03-04T15:04:56Z,5,5,5,5,5,"I, too, was a patient of Dr. Franklin's for nearly 20 years before he moved to a private association and I could not follow him. The reason he gave for moving to the new practice was so that he could spend more time with patients. He understood my health issues so well that it seemed he could diagnose the problem by just looking at me! Dr. Franklin respected my opinions about treatment options, and was always flexible about giving advice by phone when it was impossible for me to make an office visit. I have found another good doctor but it will be difficult to match the outstanding care I received from Dr. Franklin."
31,Dr. Seth B. Franklin,Seattle,Washington, Internists / Geriatricians , Male,5,5,2008-02-20T11:32:10Z,5,5,5,5,5,"I have had certain medical conditions since I became a patient of Seth's 18 years ago. It may seem a bit dramatic to say but, personally, Seth has been my lifesaver in everyway a doctor and person can be. He is an incredible doctor and an exceptional man. You leave his office knowing you have had the best care possible."
32,Dr. Erin D. Ellis,Seattle,Washington, Internists / Geriatricians , Female,4,4.81,2010-12-06T15:44:30Z,5,5,5,5,5,"I went through two young oncologists at SCCA before I found Dr. Ellis, and I will never go back to SCCA! Dr. Ellis is exceptionally thoughtful, listens carefully to patient questions, and thoroughly explains options. Unlike doctors at SCCA, Dr. Ellis actually takes calls and answers questions directly, saving time and eliminating unnecessary office visits. She is extremely responsive, the nurses who work with her are friendly, compassionate, and professional, and Swedish Cancer Institute actually saves the best views for the infusion rooms, not the waiting rooms! Having undergone months of chemo at both SCCA and Swedish, I have to say that Swedish wins hands down, AND offers more clinical trials than SCCA. Dr. Ellis and Swedish Cancer Institute are simply Seattle's best."
33,Dr. Erin D. Ellis,Seattle,Washington, Internists / Geriatricians , Female,4,4.81,2008-05-27T11:07:54Z,5,5,5,5,5,I feel Dr. Ellis always spends time with me and explains things to me in great detail. I never feel rushed and I really like her bedside manor.
34,Dr. Erin D. Ellis,Seattle,Washington, Internists / Geriatricians , Female,4,4.81,2008-05-16T23:11:54Z,5,5,5,5,5,Excellent care of patient and family. Knowledgeable and able to communicate information well. Informs patient of options show they can make an appropriate decision.
35,Dr. Erin D. Ellis,Seattle,Washington, Internists / Geriatricians , Female,4,4.81,2008-04-07T13:27:09Z,4.3,4,4,5,4,
36,Dr. Chris Pepin,Seattle,Washington, Internists / Geriatricians , Male,6,4.38,2011-08-22T13:26:53Z,5,5,5,5,5,"I've been a patient off and on for 10 years. Haven't presented him with much challenges, but it's always been a great experience. he seems fast, sharp, responsible. my major complaint is that the office doesn't have email... that turns the simplest communication, like sending lab results or vaccination records back and forth, a pretty major hassle."
37,Dr. Chris Pepin,Seattle,Washington, Internists / Geriatricians , Male,6,4.38,2009-03-19T14:25:48Z,4.5,3,5,5,5,"I've been a patient for over 5 years. I have never had a bad experience, never thought that he was anything but an fantastic doctor, and never felt that he didn't know what he was talking about. He has a great manner, knows when to bring in other doctors, is prompt with his appointments, and has no issues ensuring you get an appointment in a timely manner when there is an urgent need. Highly recommended."
38,Dr. Chris Pepin,Seattle,Washington, Internists / Geriatricians , Male,6,4.38,2009-03-03T10:07:51Z,4.3,3,5,4,5,"Everytime I've been to Dr. Pepin, I've found him extremely helpful, and has diagnosed what is going on. I received a referral from him that I didn't care for, but other than that, I'd highly recommend him!"
39,Dr. Chris Pepin,Seattle,Washington, Internists / Geriatricians , Male,6,4.38,2008-10-04T13:16:01Z,3.3,5,4,2,2,Ignores or overlooks causes of symptoms; rarely will place his own hands on patient. Listens to concerns but seems to discount that information.
40,Dr. Chris Pepin,Seattle,Washington, Internists / Geriatricians , Male,6,4.38,2008-08-30T01:05:26Z,5,5,5,5,5,Dr. Pepin has always been friendly and professional. He has taken all of the time I need to answer questions and concerns. He has always followed up as promised and made excellent referals as necesary.
41,Dr. Chris Pepin,Seattle,Washington, Internists / Geriatricians , Male,6,4.38,2007-08-23T11:21:53Z,4.3,4,4,5,4,"Bright, friendly & knowledgeable, Dr. Pepin is everything you want in a PCP."
42,Dr. Constance Wang,Seattle,Washington, Internists / Geriatricians , Female,4,4.75,2013-03-20T08:04:43Z,5,5,5,5,5,"I have been seeing her for more than 4 years now. I really like her. Not only she can speak my language to help me understand the difficult terminology better, but also she is a good listener. I have weight problem and she helped me to like myself more and she uses a very supportive way to encourage me to lose weight and stay healthy. I never felt she pushed hard. I highly recommend her."
43,Dr. Constance Wang,Seattle,Washington, Internists / Geriatricians , Female,4,4.75,2011-04-15T12:49:13Z,4.8,4,5,5,5,She is great. You really get the feeling that she cares about you as a person as well as a patient.
44,Dr. Constance Wang,Seattle,Washington, Internists / Geriatricians , Female,4,4.75,2009-05-07T00:35:22Z,4.5,4,4,5,5,"Dr. Wang is a fabulous caregiver. She is attentive, patient and understanding. Very knowledgeable about meds and is open to alternative and natural meds as well. I never feel as though she is judging me for any of my actions."
45,Dr. Constance Wang,Seattle,Washington, Internists / Geriatricians , Female,4,4.75,2007-11-30T14:53:08Z,4.8,4,5,5,5,I saw Dr Wang several times over a 3 yr period. She was attentive and knowledgeable. I had one semi-emergency and she and her office were very accommodating. As an out gay man I felt I was treated as respectfully as any other client would have been.
46,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2018-09-28T17:12:32.143Z,5,5,5,5,5," Dr Meehan is very professional.
He works with a good friendly team."
47,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2018-09-27T15:44:22.037Z,5,5,5,5,5,"good doctor
simple explanations
excellent family doctor"
48,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2018-09-26T16:34:19.973Z,1,1,1,1,1,"the Doctor had a poor knowledge of my condition, and wasn't sure about medication interaction.
he gave me a prescription , that thank god i didn't take it could have been a risk of kidney poisoning.
save yourself , see someone else."
49,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2018-08-24T22:21:01.787Z,5,5,5,5,5,"Dr Meehan has provided my family and I excellent health care for many years. We have recently moved 2+ hours away. It is not at all convenient to have to drive 2+ hours to see him, but we do because he's just the best. Trust has to be earned. He has earned our trust."
50,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2013-04-26T17:25:25Z,4.8,4,5,5,5,"1) multiple availabilities for same-day appointments!!! 2) called into office AND seen within minutes of your arrival 3) prompt and professional - he comes in, addresses your issues, examines you, diagnoses or issues lab tests and/or referrals, and gives you a plan of action (efficient, professional, and competent/knowledgable doctor, cut and dry but caring and compassionate) 4) fantastic follow-up (he will call, mail, email) your results or follow-up questions, as soon as he has them...even if they are perfectly fine/normal 5) while he spends efficient time with his patients (not a lot of time for pleasantries and idle chit chat), he does NOT rush you and he makes sure that he has addressed all your concerns - and will ask you, each and every time, as you are about to be finished, if you have any other concerns or questions that you would like to discuss. All in all, I would say this is a person that I want for me as a doctor and who I trust my ""medical life"" with."
51,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2011-10-21T16:22:43Z,3.3,1,5,3,4,He's a good Dr. However his staff is a barrier to a good relationship with him. I wonder if they are assigned to him by the Polyclinic.
52,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2009-09-23T18:11:56Z,4.8,4,5,5,5,"In my experience Dr. Meehan has been respectful and has taken an interest in my well being. He focuses on preventative care, and always gives me the resources to get help with my weight issues, even though I have been less than good about following his advice. During my last physical he noticed a spot on my skin, and referred me to a dermatologist, it turned out to be benign but I am glad he doesn't gloss over my care and truly works to help me stay healthy. Pleasant and too the point, I am happy with my general practitioner."
53,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2009-02-02T20:12:48Z,2.8,2,3,3,3,"Dr Meehan is an Old School physician. Knows little but will always refer you to a specialist. His assistant is rude and unpleasant. He used to provide personal care with a human touch, which to me is the most important thing for a primary care practician. However, lately, this seems to have changed. I am now actively looking for a replacement."
54,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2007-10-29T13:42:02Z,4.8,5,5,4,5,"I have seen Dr. Meehan for more than two years and have had an outstanding experience under his care. Dr. Meehan is extremely knowledgeable, thorough and understanding. I have recommended him to family and friends in the past and will continue to do so."
55,Dr. Jeffrey Meehan,Seattle,Washington, Internists / Geriatricians , Male,11,4.12,2006-11-27T13:29:31Z,4.7,,5,4,5,Dr Meehan can be a little abrupt but has always been very effective at quickly diagnosing my ailments and treating them in an expeditious manner. If he is stumped by the condition he is also quick to refer to someone that he feels may be able to make an accurate assesment. He also spends a decent amount of time ensuring that you understand what he is saying and know why he prescribes the treatment that he has.
56,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2017-02-04T14:00:12.837Z,5,5,5,5,5,Very knowledgeable and straight forward.....have to take time to build a rapport
57,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2014-07-24T12:15:05Z,2.8,1,4,3,3,Dr. Efird is a good doctor but his staff is his down fall. The front desk staff don’t ever seem to have a clue of what’s going on and all they want to do is put you through to his nurses voice mail. After leaving a message with his extremely incompetent nurse Stephanie you will be lucky to get a call back and If you do get a call back all she wants to do is get you off the phone as quick as possible. I’m not sure if the doctor is over loaded with patients or what but getting in to see him is also very difficult.
58,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2013-02-11T13:02:37Z,2.8,4,4,1,2,"I've seen Dr. Efird for 5 years and from the start I never really had a good feeling about him. Like when I suggested something, or asked him questions about his diagnosis, he almost seemed annoyed, and created a confrontational environment. I brushed this aside because he seemed smart and he was able to help with some small things that came up over that time. My trouble with him came to a head this year when I was experiencing symptoms similar (but not identical) to a neuro-oplthalmalogical problem I had as a child. After asking him to refer me to a specialist, he dismissed me and said it was just migraines -- afterall, he's the doctor and he knows best, right? I found another route to see a specialist after a few months of worsening symptoms and Dr. Efird continually telling me it was migraines, and it's a good thing I did. Had I waited much longer I would have ended up going blind. So I fixed my problem, but it was in spite of, not because of Dr. Efird."
59,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2011-12-12T14:04:20Z,5,5,5,5,5,"Dr. Efird has been my primary care doctor for the past five years. He is very professional, listens very well, and has great bedside manner. He is thorough and truly cares for his patients. He is the best primary care doctor I have ever had. He knows when to refer you to a specialist and when follow-ups are needed. Highly recommended!"
60,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2011-11-01T12:01:52Z,4.8,5,5,5,4,I have only seen Dr. Efird for a short time now but in that short time he has always been kind and courteous. He has given me all the time I need to Explain my symptoms and for him to explain his diagnosis to me. I like Dr. Efird very much and would recommend him to anyone.
61,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2011-07-21T11:58:26Z,5,5,5,5,5,"Dr. Efird has been my primary care doctor for many years. Regardless of the changes in health and benefit changes he and his staff have been unwavering in their care, KNowldegable assessment of issues, constant in their tracking my health from one year to the next and always ready to talk, listen and or consult if necessary. I hihgly recommend Dr. Efird."
62,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2011-05-25T12:04:01Z,4.8,5,4,5,5,Dr. Efird has been thorough in his exams and has been open to discussing both findings and options for treatment when required. He has been cooperative with other providers and has deferred to specialists when needed or taken the lead as appropriate. We have developed a good rapport over several years. I would recommend him to others.
63,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2011-05-03T08:40:52Z,5,5,5,5,5,I've been seeing Dr. Efird for a few years now and he and his staff have been wonderful! He takes the time to listen and offers excellent help. That's why I continue to go back.
64,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2011-03-17T12:09:20Z,1,1,1,1,1,"Really, really bad. I cannot beleive people like him are allowed to practice medicine. He absolutely does not care about the patient, he is to narcissistic to care about anybody but himself. Stay away from this one!"
65,Dr. Alex C. Efird,Seattle,Washington, Internists / Geriatricians , Male,12,3.85,2009-05-04T14:27:33Z,5,5,5,5,5,"The best of many family practice doctors I have had over the years. Doing an excellent job managing my high blood pressure and high cholesterol, to include switching to equally effective but less costly drugs. The office visits are never rushed, he listens well, and he takes the time to explain what he is doing and why he recommends what he does."
66,Dr. Jessica A. Brzana,Seattle,Washington, Internists / Geriatricians , Female,3,5,2017-11-23T04:19:07.081Z,5,5,5,5,5,"Endocrologist- I went to see Dr. Stoehr (seattle location) he was booked out for 7 weeks. Then the day before my appointment i had to reschedule to 2 weeks later! I was tired of waiting. I asked to see the soonest MD available and that when I met Dr. Jessica Brzana. She impressed me with her friendly, professional, and understanding to my concerns. She didn't rush me, made me feel i'm in good hands. Comparing her and Dr. Stoehr based on my experience. I prefer Dr. Brzana she was better in all aspects of my visit. I wished more doctors would treat patients as she did for me. It shows that she enjoys caring for her patient. Values my time and she even took time to show me the lab area. Often I'm rushed by all my doctors and feel like the 15 min time I have with doctors is not enough. After traveling time plus waiting time, there I do out the door with another traffic time. All to see doctors for a less than 15 mins. With Dr. Bzana I'm more than happy with all the time spent. Thank you for such a wonderful experience. I hope more patience meet you so they too can see how awesome you are!"
67,Dr. Jessica A. Brzana,Seattle,Washington, Internists / Geriatricians , Female,3,5,2015-04-12T06:29:56.645Z,5,5,5,5,5,"I was fortunate to have gotten a referral from my primary care physician to get diagnosis and treatment from Dr Jessica Brzana.
I had been bed ridden for 2 months starting with a case of the flu, but it became apparent that something else much more serious was causing me ongoing body aches and fatigue rendering me unable to function or get out of bed for more than 15 or 20 minutes at a time.
Immediately with my first consult Dr Brzana was able to determine the source of my problem, which was a hyperactive parathyroid that had become an adenoma producing too much hormone that controlled the amount of calcium in my body. She wasted no time in verifying her diagnosis with a battery of scans, ultra sounds, and blood tests.
Upon first meeting her I was struck with her compassion and bedside manner. It was obvious Dr Brzana sincerely cares about her patients and their families. I knew that I was in competent, capable hands with a good outcome. Every step of the way Dr Brzana would call me with follow ups on results from blood tests, from the various ultrasounds and scans.
I can't thank her enough for helping me get back on my feet. "
