,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Ken R. Sinervo,Atlanta,Georgia,gynecologist-obgyn, Male,154,4.91,2019-04-03T18:55:11.869Z,5,5,5,5,5,"My name is Jennifer, and it’s been 3 months since my excision surgery. I’d like to share my story. This self-directed learning library, Dr. Sinervo and Dr. Arrington at the Center for Endometriosis in Atlanta saved my life. I started my period when I was twelve years old. From age 12 to 36, every single period included nausea, vomiting, extreme fatigue, severe back pain, food sensitivities, bloating and painful bowel movements. For years, I was not taken seriously by medical professionals. Everyone here knows what it’s like to feel marginalized and misdiagnosed. In my case, I believe my legitimate medical concerns were dismissed both due to the lack of knowledge/skill of physicians but also due to the fact that I was in the foster care system. For these reasons, I was told that my pain was in my head. I was told that I needed therapy. I was told that if I was throwing up that much, I must have an eating disorder. (While I certainly understand that needing therapy or having an eating disorder are valid medical diagnoses that should always be addressed, those diagnoses were incorrect for me). I was told that I was just complaining for attention. I was told that periods are just painful. Once, I was told by a doctor that food sensitivities were a fad and that if I really wanted to gain weight, I should go home and eat a pizza. None of the boxes doctors put me in were valid. The truth is, all those years, I had deep and widespread endometriosis, and I needed proper care. After suffering all through undergrad and law school with undiagnosed endometriosis, I took a full-time job at a university and began dating my current partner, David. Unfortunately, in June of last year, after working for my employer for more than 5 years, my disease became so debilitating, and I was let go from my job. I decided to go to Emory, the same place I’d been going for 3 years for my women’s health needs, to get answers. Finally, Emory decided to operate to explore the possibility of endometriosis...a word I had never heard before. I had surgery at Emory in July of 2018. At my post op appointment, I asked my surgeon if I underwent excision or ablation surgery. She said they were the same thing. I told her that I still had pain, and she encouraged me to see my primary care physician about that. I do want to note that this OBGYN surgeon is very well respected in her field and did her best. Unfortunately, she is NOT an endometriosis expert qualified to properly treat my disease. Within 2 months of the surgery at Emory, all the pain and all the symptoms had returned. I was jobless, extremely sick, and I needed answers. I didn’t need a support group. I needed direct, life-saving answers. That’s when I found Nancy’s Nook. That’s when I found Dr. Sinervo, Dr. Arrington and the Center for Endometriosis in Atlanta. After reviewing my case, Dr. Sinervo agreed to take me on as a patient. During a time when some partners would have been running for the hills, David sat me down, told me that we’d get through this and proposed. I said yes. Then, I met with Dr. Sinervo regarding my surgery that would take place at Northside Hospital. When I spoke to him, he said, “I believe you.” He heard me. He had unmatched compassion. I had surgery on January 7, 2019. I feel better than I have EVER felt. I have an appetite, I’m gaining weight, my endometriosis pain is relieved and my energy level is improving. I am working through some back pain with physical therapy and light yoga. It’s working. Nancy understands that the self-directed library model is what people need to truly advocate for themselves. I’m grateful that Dr. Sinervo and Dr. Arrington have made it their life’s work to properly and compassionately treat endometriosis. Because of Nancy’s Nook and the Center for Endometriosis, I get to wake up without pain. I get to eat without worrying about whether I’ll get sick. I get to plan my wedding and walk down the aisle to officially get the family I’ve always wanted WITHOUT PAIN. I have my life back. I’m forever grateful. "
1,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-05-16T21:23:52.823Z,5,5,5,5,5,"If you're on the fence, get off and get to the CEC. Sinervo and his team are top notch. "
2,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-05-04T19:25:27.773Z,5,5,5,5,5,My name is Melany. I have never had a better experience than I did with Dr Sinervo and his staff. I came from Birmingham AL to have surgery there. I only wish every physician was as kind and compassionate as Dr. Sinervo. I can't believe how amazing he is. He prayed with me before my surgery (which is just standard for him) and held my hand during the time in the OR before I fell asleep to keep me calm and at ease. He hugged me and my Mom so many times because he's just KIND and I absolutely love him for how he helped me!!! I wish every woman would be able to come to him for their needs. I personally had Ovarian Remnant Syndrome and I won't have any issues now thanks to him! Prior to meeting him I had already had three surgeries for that specific condition that never quite fixed the issue. He is so knowledgeable and caring. I wish every woman I know could to go to him!! Best doctor ever!!! Amazing!!
3,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-05-02T21:08:32.132Z,5,5,5,5,5,"I can't say enough great things about Dr Sinervo and the CEC and am so grateful for the care I have received there. I had surgery in Feb. for endometriosis, as well as an appendectomy and cholecystectomy. After years of being told there was nothing really wrong with me by other providers, to have Dr Sinervo tell me that he would be prepared for any level of disease gave me such peace. It is a large part of why I traveled to the CEC from Seattle. His staff is absolutely amazing too! "
4,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-03-12T01:37:48.696Z,5,5,5,5,5,Dr.Sinervo truly saved my life. I had recurring catemenial pneomothorax and other issues do to endometriosis for years. Dr.Sinervo chose the best solution for me after having had other procedures by others physicians that did not help. When he went in to do the surgery he discovered another issue where the endometriosis had caused my diaphragm to rupture. Dr.Sinervo was so great at explaining the situation and getting me the best cardio thoracic Dr to fix that issue. He even made time to see me before that surgery and pray with me. There really couldn't be a better doctor than Dr. Ken Sinervo. I thank him so much for giving me my life back. 
5,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-03-11T23:24:33.752Z,5,5,5,5,5,"DR. Sinervo and the entire CEC staff have been such a blessing to me. They genuinely care about their patients. When they say they are there for you they mean it. When I developed an issue after returning home they worked with the physicians here to make sure I was receiving the best care possible. They educated myself and my husband about tests, procedures, etc. When things did not work out with the physician here they stepped up to take care of me in Atlanta. The entire staff has made sure I am comfortable during the entire process. Dr. Sinervo has been incredible at keeping myself and my husband informed. He cares for his patients and it is apparent we are a priority. I will forever be grateful to him and the staff at the CEC for making sure I am able to get my life back. I know I am free of endometriosis since Dr. Sinervo was able to check during my last surgery. I can definitely tell the difference already and am happy to say I no longer experience any of my former endometriosis pain. My only wish is that I would have found him sooner! But I am excited to get back to my active lifestyle very soon! "
6,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-01-26T18:44:12.753Z,5,5,5,5,5,"I am 5 days post-op and feeling better than I have after any of my previous endo related surgeries, performed by other doctors over the past 7 years. Dr. Sinervo was referred to me by one of his former patients; and for me, it was like the difference between having my life back or continuing to let my endo take everything good from me in my life on a daily basis. Dr. Sinervo almost sounded too good to be true; I was almost too scared to even get my hopes up- especially after numerous of doctors/specialists, 20 years of pain, multitudes of misdiagnoses, days of unnecessary picking and prodding like a lab rat, 2 un-successful surgeries, etc. From the moment I spoke with Dr. Sinervo on the phone directly to my post-op appointment with him less than just 48 hours ago, I've felt nothing but confidence in his ability to get me back to the person I was before endo took control of my life. His professionalism is unparalleled; his compassion is genuine; his ability to connect as a male in this field, rare. He took every precaution necessary or thinkable in making my surgery (pre, during, and post) the most effective and successful as it could be. He took the time to explain my procedures and conditions to me in terms I could understand and allowed me the opportunity to ask questions. I never once felt rushed or pressured; he allowed me the time I needed and never showed any sign of impatience (and I know he's a busy man). I felt like he was genuinely interested in me as a patient; he was personable and animated- what I value in a provider (some appropriate, candid humor is much more appealing than a monotone robot). Both me and Dr. Sinervo feel very optimistic about my prognosis post-op; and as I've already mentioned, I'm already feeling much better than I have at this point compared to previous surgeries by other providers to treat the same conditions(s). I have more hope than I ever have, and there is great joy in the confidence within Dr. Sinvero's statement of ""the endo is finally gone"". I expect a new life now, and feel good about it. If anyone reading this has never had this type of surgery before, gas pain is completely normal (but it feels like Dr. Sinervo's staff are fully prepared to help manage this better than any others I have encountered). Recovery is going well so far- and this is coming from someone who has been told in the past 1.5 years by 4 different doctors that I was going to have to have a hysterectomy ASAP. I did NOT have a hysterectomy- and I think I'm finally going to have my life back- at the end of this recovery (I will have to do the recommend pelvic floor PT for full pain elimination- something no other doctor, except for Dr. Sinervo, had taken the time to explain)- all thanks to Dr. Sinervo. I am forever indebted.
Jet "
7,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2019-01-22T17:48:32.304Z,5,5,5,5,5,The Center for Endometriosis is a true center of excellence in terms of endometriosis care. I could not have been more pleased with my treatment and results.
8,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2018-12-13T06:19:12.052Z,5,5,5,5,5,"My mother and grandmother both had to have hysterectomies with intestinal resection in their thirties due to severe endometriosis. My symptoms started at 13 years old. Luckily, my incredible mother did her research and found Dr. Sinervo. During my first appointment with him at fifteen years old, it was decided that I would need to undergo surgery. I was a very hormonal and terrified teenager. The process of endo surgery (pre, during, and post) is not glamorous and quite overwhelming, especially for such a young child. However, going through the process, I don’t believe there is a single person in the world that could have been as comforting and reassuring as Dr. Sinervo. I had previously been seen by a myrdiad of gynecologists, including pediatric specialists. None had such a reassuring bedside manner as him.
The day of my surgery, I was incredibly nervous. I was heavily sedated once in the surgical area but Dr. Sinervo still asked if I would like to hold his hand and pray. This is a memory I have spoken of for years.
Apparently, when I woke up and spoke to him, the first thing I asked was, “will I be able to have kids?” I remember asking again at a post oppointment. This has always been so important to me.
I am now 21 years old and am coming to the end of my undergraduate pre-veterinary medicine education. I have worked 3 physical jobs consecutively throughout my undergraduate education. My life was completely changed by the surgery that Dr. Sinervo performed. I have been able to function normally throughout my periods since my surgery. If it weren’t for this change, I’m not sure I would have been so successful.
I am looking forward to the next chapter of my life as I am confident that my reproductive health has been in the best care.
I would highly recommend Dr. Sinervo to any patient struggling with endometriosis. I am so thankful for him and my mother for so uniquely and expertly guiding me through this treatment in the midst of my teenage angst. I look back on this experience with only positivity. "
9,Dr. Ken R. Sinervo,Atlanta,Georgia, Gynecologists (OBGYN) , Male,154,4.91,2018-12-10T22:07:08.506Z,4.8,5,4,5,5,"After suffering for 5 years and undergoing 7 unsuccessful surgeries I found Dr. Sinervo and The Center for Endometriosis. In June of 2018 I had the remaining endometriosis removed along with a partial vaginectomy. It took me a lot longer to heal than I had anticipated, but with the help of Pelvic Floor PT and patience of Dr. Sinervo and his staff I am FINALLY so much better. Dr. Sinervo literally saved my life! I had spent years not able to work full time or be a present Mommy to my precious 5 year old little girl. Dr. Sinervo changed all of that! I just can't thank him and his staff enough! Yes, it is true he will pray with you and your family in pre-op and then he holds your hand as the anesthesiologist puts you into a comfortable sleep. I have never had a nicer and more caring Dr and would recommend him to ANYONE who has endometriosis issues. I even jokingly asked him if I could just keep him as my all around general Dr. There needs to be more Dr. Sinervos in the world, but I am so blessed that I found the one and only and that he took me on as a patient."
