,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Brian A. Mason,Detroit,Michigan,gynecologist-obgyn, Male,7,5,2017-02-02T01:50:32.981Z,5,5,5,5,5,"I cannot say enough wonderful things about
Dr Mason his bed side manner is the best he makes you feel comfortable his knowledge is second to none. I was pregnant with my 5th child at 40 years old I was turned away by 3 OB's and was told by 1 that if I was his wife he would advise to abort.
Dr Mason sat with my husband and I and said all is good see you in a month. You cannot put a price on having trust and confidence in your Doctor. I delivered by c-section a heathy baby boy and the c-section was with out any complications. Dr Mason you are Respected and truly loved by my family.
"
1,Dr. Brian A. Mason,Detroit,Michigan, Gynecologists (OBGYN) , Male,7,5,2016-07-01T13:18:21.600Z,5,5,5,5,5,Love Dr. Mason! The man walks on water for me! Hateed to leave him when I decided not to have any more children. Confess that I went there formy yrly obgyn exam and pap cause I liked him so much. He is the BEST! The most knowledgebale caring and compassionate physician. I always recommend Dr. Mason to anyone having difficulties during pregnancy. 
2,Dr. Brian A. Mason,Detroit,Michigan, Gynecologists (OBGYN) , Male,7,5,2011-12-07T22:43:17Z,5,5,5,5,5,"He Is the worlds most amazing high risk dr In my eyes!I was on a long road of miscarriages and dr's that didnt seem to help,I had met Dr. Mason once before when I was sent to him for a one time visit from my original obgyn for him to check my blood clot disorder and he prescribed me lovenox.The first time I met him he put me at ease and I wanted to go back to him but my dr said I'm not high risk so my Insurance wouldnt cover him.Finally after 3 losses I was high risk and he became my dr when I found out I was 12 weeks along In yet my 4th pregnancy.I Instantly felt safe In his care,something I never felt before.My baby was born early due to me developing preeclampsia and is currently in the nicu,but he is here!He wasnt another loss!Dr mason checks on him twice a week In the nicu which puts my mind at ease.I dont feel so alone.I look forward to getting pregnant In a couple of years knowing that I will be under Dr. Masons care!He Is my hero."
3,Dr. Brian A. Mason,Detroit,Michigan, Gynecologists (OBGYN) , Male,7,5,2011-02-16T21:02:40Z,5,5,5,5,5,"He is one of the best doctors I have ever seen (and I know a lot of doctors). He treated my friend with absolute compassion and answered all questions. Even though our genetic problem was complicated, he broke it down to understandable portions and helped us through every step. His staff was great and the students he works with are top notch. He sets a new standard in the Ob/Gyn world"
4,Dr. Brian A. Mason,Detroit,Michigan, Gynecologists (OBGYN) , Male,7,5,2010-08-22T05:08:41Z,5,5,5,5,5,"Dr.Mason is the best doctor I have ever seen! He has unbelievable bedside manner,sensitivity,patience, and knowledge! He was my doctor for all 3 of my children. I would recomend him to anyone! I wish he could be my doctor for regular visits. I truley miss him and appreciate everything he did for my family and I! Not only is he an amazing doctor he is also a friend!"
5,Dr. Brian A. Mason,Detroit,Michigan, Gynecologists (OBGYN) , Male,7,5,2010-08-14T01:25:42Z,5,5,5,5,5,"I am a physician in Family Practice and trained under him for OB/Gyn experience and he was also my OB Dr for both my kids. I have seen him with other patients and myself and would never choose anyone over him. He is such a good and caring person and I have to agree, treats you like family. Not only does he have a good bed-side manner, he has more experience and knowledge than most physicians and is able to maintain calm through any stressful situation. He saved me from having a premature baby at 23 wks...and I was able to make it to 35 wks...only because of him. I have never met an OB Dr like him and don't think ever will unfortunately, since I have now moved to California."
6,Dr. Brian A. Mason,Detroit,Michigan, Gynecologists (OBGYN) , Male,7,5,2010-07-01T17:13:45Z,5,5,5,5,5,Treats you better than family. Very personally and caring. Had had this doc for over 20 years even followed him from one hospital to another.
7,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2014-09-12T20:32:53.260Z,4.8,5,5,5,4,He is a very patient and knowledgable doctor. What he recommends is according to recent publications. I am very pleased with the care I have recieved from him.
8,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2013-04-11T11:49:47Z,4.5,5,4,4,5,"Dr. Blumer is very attentive and patient. Physician. He answer all of your concerns. He also assesses home life and work which is very important when treating. I was a little disappointed that for 6 years I have always received a call back from him with test result info. I did not receive a call back from him the last two times. The only thing that has changed is my insurance however, I hope this is not the reason"
9,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2013-01-09T12:01:46Z,5,5,5,5,5,The best doctor. I would recommend him to every woman...I wish I had known him years ago. He pesonally calls back.....and cares about the whole person physically and mentally.
10,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2012-10-02T12:26:29Z,5,5,5,5,5,"Great Doctor! He has been my gynecologist for at least 10 years and he is always pleasant, honest, and considerate."
11,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2012-07-15T19:50:27Z,5,5,5,5,5,"I find Dr. Blumer looking in the internet for reviews because I had moved just few months to Southfield, MI and I was looking for a good doctors in my area. He was the best doctor that I found in many years. He spend time with their patients and explain everything that you have to know."
12,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2009-12-09T08:54:23Z,4.8,5,4,5,5,He always takes time and makes sure you have asked all your questions before he leaves the room.
13,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2008-05-30T15:18:28Z,5,5,5,5,5,"The best docter I have had. A very nice man, very professional, honest, knows his subject, very helpful and kind. I went to him as long as I lived in Detroit."
14,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2006-09-14T04:39:47Z,5,,5,5,5,"He is the best Doctor I have ever had. He ALWAYS takes time to answer questions, and he is humble enough to admit when he doesn't know the answer to something (which is rare). I have complete confidence in him."
15,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2005-08-14T09:47:38Z,4.7,,4,5,5,"Dr. Blumer is professional, respectful and objective, but also warm and friendly. He'll patiently and thoroughly answer your questions, no matter how many you have, or what your appointment was originally for. He NEVER makes you feel rushed. Oh, and if he doesn't know the answer to a question, he'll say so! Imagine that! I've been with him for almost 10 years."
16,Dr. Robin A. Blumer,Southfield,Michigan, Gynecologists (OBGYN) , Male,10,4.88,2004-10-24T17:56:51Z,5,,5,5,5,"Very nice, very professional, and always calls back promptly. Spends a good amount of time and explains everything clearly."
17,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2018-04-05T05:31:52.293Z,5,5,5,5,5,"From my first appointment with Dr. Lichten over two decades ago, I found the physician who has had the most impact on my physical well being that spilled over onto improving my emotional and sexual health, as well. He's extremely bright and works to make a positive difference in the lives of his patients. As an anti-aging physician, he is the absolute best!"
18,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2015-10-03T19:56:45.174Z,3,3,3,3,3,"I wish I had more to say about Dr. Edward Lichten, but we never really got to know each other as Doctor - Patient."
19,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2015-07-09T18:35:38.454Z,4.5,3,5,5,5,Dr. Lichten was my doctor in my teens & continues to treat me now that I'm in my 40's! I consider him my primary care! I'm afraid of the day he retires! I would highly recommend him to anyone!
20,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2014-12-31T15:33:45.065Z,4.5,4,4,5,5,"I have been going to Dr. Lichten since 2008. He is the most dedicated compassionate physician that I have ever known. I am proud to say that he is my doctor, and a very good one. His level of knowledge and commitment to practice, place him well above other MD's in his area of practice. Because of his treatments, I have an active, pain free life, despite my 2008 Arthritis and Lupus diagnosis."
21,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2014-08-14T16:52:13.121Z,5,5,5,5,5,"Dr. Lichten has worked with me for over 15 years,through the changes in a female body. He has helped to changed my life into a fulfilling, happy, young , vibrant, partner . Thank You Dr. Lichten. Carol B."
22,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2013-05-23T14:59:33Z,5,5,5,5,5,"Dr. Lichten is superb. Combine brilliant with compassionate, articulate with common-sense approaches and you begin to get an idea of what this doctor can do to help others live longer and happier lives. He's simply the bet."
23,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2013-01-16T18:58:34Z,4.8,4,5,5,5,I have been going to Dr Lichten for over 15 years. No one guesses that I am 50 because I started on my anti aging kick early. I trust Dr. Lichten and feel that my health is better and I look better than 90% of women my age due to the treatments and recommendations of Dr Lichten. He is very brilliant and goes off his gut instinct and works with you and your own personal issues. I feel some of the comments above are likely due to the newer nature of natural hormones and also Dr.Lichten suffered the loss of his wife in the past 2 years. I highly recommend him to all my friends.
24,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2012-09-17T21:16:08Z,5,5,5,5,5,"My husband and I went to see Dr. Lichten to treat both our hormonal deficiencies. He was incredibly insightful and with so much knowledge to share. My husband, a physician himself never got such an education in hormones and in such a short time. Everything Dr. Lichten said made a lot of sense to both of us. We loved him."
25,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2012-06-06T10:03:46Z,5,5,5,5,5,"He saved my life-neck rupsured-had two ivs a week and pain would go away every time for 5 hours at a time.He WAS A GOD SEND FOR ME. REFERRED FROM A FRIEND WHOSE FATHER WAS A DOCTOR IN ROCHESTER, MICHIGAN. I WOULD DEFINATELY REFER PEOPLE TO HIM AND HOPE TO IN THE NEAR FUTURE."
26,Dr. Edward M. Lichten,Detroit,Michigan, Gynecologists (OBGYN) , Male,18,4.28,2012-05-31T05:33:50Z,2.3,1,3,1,4,Very little patient follow up is provided. Professional courtesies are lacking as well as clear record keeping. Not sure that he is a caring physician.
27,Dr. Jacob Kalo,Detroit,Michigan, Gynecologists (OBGYN) , Male,89,3.74,2019-04-12T02:23:35.659Z,3,3,3,3,3,Other than being a bit run down I had an excellent experience in the Detroit office. No issues. All went fine. Dr Kalo & staff were professional. No complications after. Happy I chose the clinic & Dr Kalo.
