,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. James A. Joki,Seattle,Washington,gynecologist-obgyn, Male,10,4.7,2014-12-17T20:40:24.342Z,5,5,5,5,5,"I can't say enough about Doc Joki. Caring, knowledgeable and a great person to talk to. He made sure he came in during his weekend day off to be there for the birth. I can't say enough about this guy. We feel lucky to have been able to get him."
1,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2012-09-05T19:22:25Z,3.8,4,5,3,3,"UW Med is a factory setting, whether by his fault or the industries, it seems like women go through on a conveyor belt and you only get your set amount of time. On a personal level, I never feel like my health concerns are getting any attention. I get all of 2 seconds to express my concerns and begin to describe symptoms and I'm already given a diagnosis. It doesn't seem very personal or caring. I prefer doctors who will consider that my body may react to things differently and that I have logical concerns. I won't be returning to Joki anymore."
2,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2011-11-10T00:23:20Z,5,5,5,5,5,Best. Doctor. Ever. I don't even have words to express how wonderful he is. If he retired tomorrow I would seriously rethink having any more children. He made me feel safe and calm throughout my first pregnancy and birthing process.
3,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2011-04-15T17:22:04Z,5,5,5,5,5,"I can not say enough good things about Dr. Joki. I had a high risk pregnancy and Dr. Joki was recommended to me by many. My whole experience with him was fantastic and I would highly, highly recommend him to everyone. He turned a scary and bad experience into a wonderful experience and I loved my whole pregnancy and delivery because of him. I also know two doctors' wives and met many nurses in the hospital who had chosen him as their doctor and they all loved their experience with him as well. I am also very scared of pain and he basically eliminated the fear and the pain itself. I can't wait to go to Dr. Joki and his staff for another baby!"
4,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2010-04-21T19:12:46Z,4.8,5,4,5,5,"i cannot say enough about this incredible doctor. he helped us get pregnant after multiple miscarriages and took amazing care of us all thru my high-risk pregnancy. i want to get pregnant again just so that i can see him again ;-)...his staff is amazing as well and truly care about you and what's going on. on several occasions, Dr Joki called in the evenings just to check up on me. i developed HELLP Syndrome at the end of my pregnancy and was in the VERY BEST hands with him and his staff and vast knowledge and also the support of specialists that he works with. everyone at NW always had the same thing to say when they realized he was my doctor ""oh we LOVE him"". his unique sense of humor, level of care and knowledge are unsurpassed and so welcome and refreshing. he knows to have you write things down while in his office since he is always going a hundred miles a minute! i would, and DO, recommend him highly and would give him TEN STARS if i could!"
5,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2009-09-15T14:58:48Z,5,5,5,5,5,"I expect to try and keep in touch with him and his office staff for many years. He delivered both of my boys and is going to deliver my next in March 2010. When I come for appointments I get a hug and a ""how's the family"". There have been a couple times in my past pregnancies where I had to go to the hospital for things that have happened. He doesn't even have to be on call, he seems to just always be there! I was sick a few weeks ago and he called me around 8 oclock on a saturday night just to make sure I was feeling better. I love this guy!! After my second son was born, he came in and sat down next to my husband and started discussing football lol I would and DO recommend him to my friends and family with no hesitation!!"
6,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2009-05-07T13:20:31Z,5,5,5,5,5,"I have been a patient of Dr. Joki's for over 25 years. He truly cares about his patients. When my oldest daughter was born 11 weeks prematurely, he came to see her at the UW Hospital even though he was unattached to the facility. He called the hospital to check up on her status until she was clearly out of the woods. I didn't even know about this until one of the nurses caring for my daughter told me. I refer him to my friends without reservation. If I could give him ten stars , I certainly would."
7,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2009-01-08T14:40:19Z,5,5,5,5,5,"I loved this Doctor. I can't say enough about him and his staff. He delivered my 1st of 3 boys(we moved for the other two)and it was truly the worst thing about moving from Seattle for me. He took very good care of me and even other issues I had at the time that I was having trouble getting other docs to help me with he bent over backwards to help me. He would call me at home on evenings and weekends to check up on me and was just fun to be around with his sense of humor. He's truly passionate and very knowledgeable about his work and patients and that's obvious in his practice. His staff was always kind and compassionate and knew my name from day 1. Personality wise, my husband and I clicked well with him and felt like he always tried to explain the what and why in the decisions he made and answered any questions we had. We have once again moved and I'm now looking for a new OB and having trouble because Dr.Joki is the gold standard to me and they are few and far between."
8,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2008-05-07T23:14:40Z,3.8,5,2,5,3,"Dr. Joki has delivered both of my children; I would have another just to see him! Seriously though, in my opinion he has a great, easy going sense of humor that I really click with and need. He can give the initial impression of being too ""quick"", because sometimes he does talk fast - but I believe it's just him thinking out loud. He is VERY thorough and highly believes in preventative measures, which is wonderful especially if you are in any high risk category. It may take some a little time to ""catch on"" to his style and quirky sense of humor, but you can tell immediately that he is really a caring and extremely knowledgeable doctor."
9,Dr. James A. Joki,Seattle,Washington, Gynecologists (OBGYN) , Male,10,4.7,2006-12-21T00:48:49Z,4.7,,4,5,5,"Dr. Joki delivered our second baby and we loved the experience with him. He is extremely knowledgable, though to some, might not have the best bedside manners. We really liked him and he impressed us with his level of caring when he would call us during evenings or on weekends to find out how I was doing. Because he works by himself in his own office and delivers almost 100% of his babies, sometimes he runs late. I would definitely use him again."
