,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Elizabeth M. LeDuc,Atlanta,Georgia,pediatrician, Female,25,4.47,2018-09-27T21:20:40.956Z,2,1,1,3,3,"The center seems to be busy, staff does not seems to be well trained professional for infants/toddlers. Expect your appointment to be delayed anywhere from 30 mins to an hour. Billing charges is very confusion, charges billed could not be explained."
1,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-29T03:23:41.060Z,4.8,5,4,5,5,"Dr. LeDuc has cared for all three of our children for nearly ten years. She has been so fantastic. We find her advice and guidance to be helpful and thorough. Dr. LeDuc is progressive in her methods and uses all available resources . She stays with you in order to help you feel comfortable with any situation that has come up from tubes, heart murmurs and even required surgeries. She is caring, knowledge and kind. We can always get an appointment and she has been available to us even after hours with the same level of care and enthusiasm. Her office staff is also helpful and great with the kids, even when it's shots. We trust our children's health to her!"
2,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-26T17:13:43.309Z,5,5,5,5,5,"Dr LeDuc has cared for my four children for over a decade. I followed Dr. LeDuc to her new practice several years ago because i knew she was interested in the whole child and the family SYSTEM and not just the SYMPTOM that was presenting or precipitating the ""appointment."" Dr. LeDuc has gone out of her way and ""partnered"" with me to find the best solutions that fit my particular child and issue at hand...She has guided me through broken bones, chronic (not live threatening but annoying) health conditions which have gone into ""remission"" so to speak and just the overall health of my kids. I have received no judgement and only support when i was ""last minute"" on physicals and shots needed for camps and other activities. I have appreciated that Dr. LeDuc takes the time (rather than rushing off to see another patient) to TALK with my kiddos and help them to embrace for themselves, positive health habits and choices. I have especially appreciated the fact that Dr. Leduc will folllow your child, if already a patient, through college! It was traumatic enough as each of my older kids left home for college, without now having to FIND another doctor to treat them while in college! I can't imagine trusting anyone else with my precious ones."
3,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-26T01:54:04.659Z,5,5,5,5,5,"Dr. LeDuc has been my been my 3 kids pediatrician for 9 years.We tried another pediatrician once closer to home but the experience didn't compare.We chose to take that drive and go back to Dr. LeDuc. She is very knowledgeable, caring ,remembers details about past experiences , and follows up with us if needed.She's my kids favorite dr.We love Dr. LeDuc !!!"
4,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-25T12:17:41.919Z,5,5,5,5,5,"My daughter's have been patients of Dr. LeDuc's for over a year now, and we will never see another Pediatrician again. Dr. LeDuc is very knowledgeable, yet very compassionate at the same time. She takes her time and has no issue listening and helping me resolve my ""list"" of concerns. She is also very knowledgeable about natural remedies to common childhood illnesses. My oldest daughter has asthma, and Dr. LeDuc is great about same-day appointments whenever she is sick. We also really love Dr. LeDuc because she focuses on prevention and wellness, so our kids become healthy adults. Her office staff is very friendly and helpful too. My husband actually enjoys going to the kids' doctor visits, because Dr. LeDuc acknowledges his role in the girls' care and takes the time to listen to his concerns as well. Best Pediatrician in Atlanta!"
5,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-24T20:28:59.435Z,4.3,4,4,4,5,"Dr LeDuc is a very knowledgable, genuine and caring doctor. I have never seen a doctor care so deeply for her patients. She takes the time THE PATIENT needs with her. She is very thorough and smart. As patients (or parents) we don't always want to hear what the doctor tells us but she delivers news with extreme passion and concern and I cannot say that for very many doctors. My son was very jaundice after he was born and he should have been treated with bili lights in the hospital before they discharged us. She was our advocate made special phone calls for things to happen stat for him to get re-admitted and then called us after hours to check on us. This woman is truly a one of a kind pediatrician."
6,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-24T19:21:01.264Z,5,5,5,5,5,"Dr. LeDuc is an amazing pediatrician! We have been with her since my daughter was born (13 years ago) and we could not be happier. Dr. LeDuc is a very professional and compassionate doctor who listens and cares. She has children of her own, which I personally think makes her an even better pediatrician -- who better to understand what you and your child are going through. Whether the office visit is a well visit or sick visit, she is compassionate, understanding and uses common sense -- we love that. Dr. LeDuc talks directly with our child, listens and asks her questions too. The last 13 years have been a very positive experience and I would not change a thing. When I tell my child we have an appointment with Dr. LeDuc, she is never scared or worried… she knows that Dr. LeDuc always takes good care of her. We could not ask for a better pediatrician and medical partner -- we have recommended Dr. LeDuc for the past 13 years and will continue to do so!"
7,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-24T18:42:12.382Z,4.8,4,5,5,5,Dr leduc is an amazing doctor. I took my daughter to her whenever she was sick. Dr leduc always cared enough to figure out everything that was wrong before we left. She never left with my daughter on treated. She was the first doctor to realize my daughter was depressed and needing immediate attention before it got even worse. Without Dr. Leduc paying that close attention I don't think we would have been able to get my daughter the help she needed before it was too late. Dr leduc is a warm hearted well knowledge doctor. That review below is not accurate at all.
8,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-24T13:31:26.088Z,5,5,5,5,5,"We love Dr. Elizabeth Leduc. I can't thank her enough for all that she has done for my Kids. Not only does she care about my children, she has been a great support for me as a friend! My both kids goes to her office since they were born. Dr. Leduc is very personable & knowledgeable. She takes the time to answer all of your questions & is always reassuring me that I'm a good mother. She is always educating on the use of vitamins, exercise & correct foods to eat. She is the best doctor. We love her."
9,Dr. Elizabeth M. LeDuc,Atlanta,Georgia, Pediatricians , Female,25,4.47,2014-10-24T13:11:06.885Z,5,5,5,5,5,"LOVE, LOVE, LOVE Dr. LeDuc!! I can't thank her enough for all that she has done for my family. Not only does she care about my children, she has been a great support for me as a mom! She has taught me so much. She has been there around the clock to help my children on sick days as well as at well check-ups. Couldn't ask for a better doctor!"
10,Dr. Kirsten S. Mekelburg,Atlanta,Georgia, Pediatricians , Female,21,4.46,2015-05-28T21:11:53.686Z,5,5,5,5,5,We have a child with some extra needs and had a really difficult first year as we searched for more answers. Dr. Mekleburg went above and beyond for us. Called us at home from her vacation to let us know that test results were taking a little bit longer than she had hoped to get back. She is innovative and very well respected by all of the gazilluon specialists with which we have come into contact this year. She's always been so patient with our first time parent questions. Never made us feel rushed. So normal and breaks things down for us -- not just bombarding us with medical jargon assuming that we are all well-versed with complicated medical jargon. We cannot sing her praises enough. 
11,Dr. Kirsten S. Mekelburg,Atlanta,Georgia, Pediatricians , Female,21,4.46,2013-09-16T09:08:50Z,4.8,5,4,5,5,"I have a child with special needs, and Dr Mekelburg helped us through a very difficult first few months. She coordinated care with my child's specialists who were all saying the main issue we had fell under a different specialty's management. She helped resolve confusing study results from the hospital by getting us an appointment with the right specialist to review the study and answer our questions. We never feel rushed at our appointments, and Dr Mekelburg always asks how the parents and baby are doing. Sometimes we have to wait up to 45 minutes, but that is just the nature of going to the doctor's office: patients run late and put the doctor behind, some appointments take longer than others, and I am sure some parents have a million questions. I would rather wait occasionally and know all my concerns will be addressed than be rushed but always on time. Dr Mekelburg has gone above and beyond what most doctors would do to ensure my baby is getting appropriate medical care."
