,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Harry T. Chugani,Detroit,Michigan,pediatrician, Male,7,4.93,2013-10-26T21:25:50Z,4.5,4,4,5,5,"We LOVE Dr. Chugani. He is an amazing neurologist, provides very good care for his patients, listens, and responds over and beyond what is expected. We will never go to any other neurologist. This is a doctor who cares, who is honest, but does not destroy hope. He is kind and very helpful."
1,Dr. Harry T. Chugani,Detroit,Michigan, Pediatricians , Male,7,4.93,2011-06-07T14:29:41Z,5,5,5,5,5,We suffered for four years before Dr. Chugani helped us immediatly. He has changed our life from Hell to HEAVEN. HIGHLY RECOMMENDED!!!
2,Dr. Harry T. Chugani,Detroit,Michigan, Pediatricians , Male,7,4.93,2010-11-11T19:33:03Z,5,5,5,5,5,Awesome doctor; he listens well. I have seen him featured on medical mysteries as well.
3,Dr. Harry T. Chugani,Detroit,Michigan, Pediatricians , Male,7,4.93,2009-05-20T12:22:20Z,5,5,5,5,5,"I LOVE this doctor. We fly from california just to see him. He replies to my email even when we are not his patient. The chief neurologist in UCLA is his student. He cares his patient, listen to every concern of mine. And tells his staff to take actions immediately. We will never see any other pediatric neurologist. He is ""THE"" doctor to see for seizures."
4,Dr. Harry T. Chugani,Detroit,Michigan, Pediatricians , Male,7,4.93,2009-03-07T17:38:19Z,5,5,5,5,5,"Dr. Chugani is an expert in the field of pediatric neurology, especially infantile spasms. He responds promptly to emails even when he hasn't met the patient yet. In his office he is thorough, kind, and very helpful. I highly recommend this doctor for any child with a seizure disorder. We traveled 300 miles to see him and will do it again if necessary."
5,Dr. Harry T. Chugani,Detroit,Michigan, Pediatricians , Male,7,4.93,2008-09-17T08:00:19Z,5,5,5,5,5,Dr. Chugani is an amazing Doctor when it comes to children with Autism. I have two girls on the spectrum and I will never change doctors thoughout their childhood.
6,Dr. Harry T. Chugani,Detroit,Michigan, Pediatricians , Male,7,4.93,2007-12-06T18:23:08Z,5,5,5,5,5,"This guy knows the brain. Attentive, confident, knowledgable, and the cutting edge in research. Great bedside manner."
7,Dr. Marcus E. Degraw,Detroit,Michigan, Pediatricians , Male,6,4.58,2013-08-23T11:18:47Z,5,5,5,5,5,"Super happy I found this office. Getting harder and harder to find a place that accepts Medicaid, and when I do, I always feel like they treat me like dirt. Not this office! My daughter loves Dr. D and he always stays until I get all my questions answered. The office staff is nice and I never wait to long at all."
8,Dr. Marcus E. Degraw,Detroit,Michigan, Pediatricians , Male,6,4.58,2013-05-08T10:17:39Z,5,5,5,5,5,My kids love Dr. D. They bring him up all the time and even ask to go see him when they get sick.
9,Dr. Marcus E. Degraw,Detroit,Michigan, Pediatricians , Male,6,4.58,2012-11-12T14:45:21Z,2.5,4,4,1,1,"I liked the office and the staff; did NOT like Dr. DeGraw AT ALL! Some things brought to his attention with my newborn were completely dismissed and he said (more than once), ""who cares"". He was very dismissive and did not even want to listen to me and my husband, did not seem to care - we went to a specialist for what we asked about and got the care we needed for our child. I would NOT suggest going to see this doctor unless you are desperate!"
