,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Rachel H. Baker,Houston,Texas,pediatrician, Female,18,4.75,2016-12-14T20:03:46.313Z,5,5,5,5,5,"Dr. Baker is super nice doctor. She is patient and knowledgeable, willing to listen and answer your questions. It is also very easy to make appointment with her."
1,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2014-08-20T17:17:21.569Z,5,5,5,5,5,
2,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2013-09-23T16:15:28Z,4.8,4,5,5,5,Dr. Baker is a very caring and helpful person. She listens well and gets along good with my son. I plan to have her be all of my kids doctor.
3,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2013-01-16T12:35:23Z,4.5,4,4,5,5,The DR and staff are one of the best I have used over my years. They seem to know each patient and are usually right on time. Very impressed with the medical care provided and the time the Dr and staff have taken to make sure all of my questions are answered.
4,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2012-12-12T12:00:05Z,4.8,5,4,5,5,Dr. Baker is a great doctor. She takes the time to answer your questions and does not rush you during your visits. She has a very level-headed approach to each situation.
5,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2012-01-03T13:15:31Z,4.8,5,4,5,5,"My son LOVES Dr. Baker. We were patients of the Paynes and met her during an emergency visit for an asthma attack. My son ended up at the ER and she continually called to check on him, came by while we were in the waiting room and called the next day. VERY DEDICATED! We live in Katy and drive all the way to the medical center just to see her. In fact, everytime we go to Walgreens my son asks when he gets to see ""dr baker"". We are expecting another child in March and won't ever consider using anyone else....definitely worth the drive!"
6,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2011-03-27T09:27:59Z,4.8,5,4,5,5,"We too had gone to Dr. Payne for years and felt our children received the best care. Dr. Baker has filled some pretty big shoes with her own style, youthful enthusiasm and love for taking care of children. Our children are now high school and college aged and you should be happy to know that Dr. Baker is as engaged with them and their physical and mental wellbeing as she is for the babies and new mothers she treats. My daughter wishes Dr. Baker could be her doctor through adulthood! She is great."
7,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2011-03-10T09:39:05Z,4.5,5,4,4,5,"AWESOME DOCTOR! HOWEVER HORRIBLE WHEN IT COMES TO APPTS. THEY NEVER HAVE ANY AVAILABLE AND YOU KIND OF HAVE TO ACCOMODATE THEIR SCHEDULE, NEVER HAVE A CONVENIENT TIME FOR APPTS."
8,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2011-03-03T13:27:45Z,4.8,4,5,5,5,my baby and I love Dr. Baker. God belss her for all her helps.
9,Dr. Rachel H. Baker,Houston,Texas,Pediatrician, Female,18,4.75,2011-01-19T10:38:21Z,5,5,5,5,5,Dr. Baker is an awesome doctor. She has a wonderful attitude and knowledge. She's awesome with the kids. We were with Payne for 16 years before Dr. Baker took over and have been so pleased during our visits since the transition.
10,Dr. Sheri L. Mitchell,Houston,Texas,Pediatrician, Female,11,4.84,2015-06-23T14:29:16.854Z,5,5,5,5,5,Dr. Mitchell is the greatest pediatrician there is. My children were her patients and now my grandchildren. She takes excellent care and always make you feel like family. She is a God sent with an awesome bedside manner. I praise God for this unique person and grateful to not only have my kids cared for by her but had the awesome privilege of working along side as a medical asst...
11,Dr. Sheri L. Mitchell,Houston,Texas,Pediatrician, Female,11,4.84,2014-10-24T03:12:59.701Z,5,5,5,5,5,Do not underestimate the importance of your baby's pediatrician. Dr. Mitchell is the best. She commands respect by her expertise. A true gem. We have a great sense of peace knowing Dr. Mitchell is our child's pediatrician.
12,Dr. Sheri L. Mitchell,Houston,Texas,Pediatrician, Female,11,4.84,2014-09-11T12:17:51.056Z,4.8,5,4,5,5,Dr Mitchell is absolute the best. there is no other like her. i wish my children can continue seeing her beyond the age of 18. i love her as well as my children.
13,Dr. Sheri L. Mitchell,Houston,Texas,Pediatrician, Female,11,4.84,2014-08-22T21:02:01.900Z,4.8,5,4,5,5,"Dr. Mitchell is the best pediatrician anyone can find.. she treats us like family and we are very happy that we interviewed her and decided to go with her as our pediatrician !! Really don't even think twice, she's the best !! Returns calls 24*7, advises what's the best option, calms us down as we are always worried about our little one :) You could end up waiting a little but that's very normal with a pediatrician !"
14,Dr. Sheri L. Mitchell,Houston,Texas,Pediatrician, Female,11,4.84,2013-08-31T14:43:33Z,5,5,5,5,5,"She is the absolute best DR. My daughter loves her and I'm very glad that we can trust such a great woman that my family can count on. Our 3am calls are always answered in 5mins top! If you want a real DR, then she is the one. Again, absolute best!!!"
