,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Joshua H. Mandelberg,Los Angeles,California,pediatrician, Male,22,5,2019-01-10T17:40:45.199Z,5,5,5,5,5,"Patient, thoughtful, thorough and caring -- highly recommend him!"
1,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2018-10-12T04:59:54.892Z,5,5,5,5,5,"Dr Mandelburg is a fantastic doctor, he diagnosed our daughter with autism and the level of care, consideration, knowledge and attention to detail that he showed during the process was exceptional, we are so grateful to have his help and ongoing support with our daughter. We would highly recommend him."
2,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2018-10-03T18:50:33.923Z,5,5,5,5,5,"We are forever grateful for Dr. Mandelberg's care of our son! He has worked with our son since he was 9 months old and now he is four. He is extremely thorough from various evaluations to interviewing current teachers and interventionists and listening to the concerns of the parents and grandparents. Additionally, he is very organized in putting together his assessment and recommendations for continued care. We have seen great improvement in our son's development and will continue to see Dr. Mandelberg to track it. It's also extremely helpful that his assistant is kind, caring and thoughtful. Truly a gem of a team!"
3,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2018-04-13T21:50:48.644Z,5,5,5,5,5,"No parent would ever want to hear that their child has a disorder, specially one that does not have a cure. Dr. Mandelberg is the beacon of hope that each family needs. His diagnosis is based on an extensive and thorough assessment that is not rushed and as if you are getting something from a drive-through window. Instead it is well organized and put together. It is build around the child's strength while at the same time pointing a complete list of how to focus on all areas of opportunity so the child would start receiving the appropriate help and therapy that is required and beneficial.
Dr. Mandelberg not only looks at the issue as a dedicated and caring physician but also puts himself as the parent and care giver of the child by trying to plan the best care possible for the child while protecting and preserving the child's innocence.
You hear cliche that there are angels on earth among us, and I am sure it is true and Dr. Mandelberg is one of them. "
4,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2018-01-07T00:24:32.974Z,5,5,5,5,5,Dr. Mandelberg is thorough and thoughtful. He takes the time and care to really get to know your child. He goes above and beyond as a doctor. 
5,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2018-01-05T23:10:40.959Z,5,5,5,5,5,Dr Mandelberg has been a great help - we would recommend him to anyone!
6,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2017-04-24T17:41:09.193Z,5,5,5,5,5,Dr. Mandelberg has been amazing to work with!!! He is compassionate and insightful. He instantly made friends with our son:-) We are happy to have him on our team!!! Just a lovely person!!!
7,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2017-04-21T06:49:55.147Z,5,5,5,5,5,Dr Mandelberg has been a great doctor for my son. He has been so helpful in our journey since my son was diagnosed with autism. He always replies to my questions in a timely manner.
8,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2017-04-20T16:41:45.649Z,5,5,5,5,5,"Dr. Josh is truly a Godsend. Realizing you have a child with special needs is a very emotional, uncertain and scary time but Dr. Josh’s kindness, intelligence, knowledge, and attentiveness helped calm our feasr. Instead of giving our son a basic assessment and blanket diagnosis he took the time to interview our son’s speech therapist, occupational therapist, behavioral therapist and teachers. He also assessed and visited our son at school. He got to the underlying issue of our son’s delay and presented a thorough report with excellent resources to get our son up to speed. Dr. Josh is extremely well known well respected in the community so he was also able to get our son spots in various programs that are nearly impossible to get in. He is an excellent resource with impeccable bedside manner who always makes himself available to his patients. I really can’t say enough positive things about him. I work in the medical field so I visit many Physicians day in and day out and Dr. Josh is by far the BEST."
9,Dr. Joshua H. Mandelberg,Los Angeles,California, Pediatricians , Male,22,5,2017-04-20T01:22:02.620Z,5,5,5,5,5,"We are extremely happy with Dr Mandelberg's office and his team. They are all very knowledgeable, extremely nice and accommodating. Dr Josh diagned my son with ASD when he was 2yrs and 4 months, he is very insightful and knowledgeable, calls me back within a day if I have any urgent questions and responds to all my emails in a timely manner. I feel like I have a great advocate for my child's needs and, in a situation where it is difficult to get a great advice, I trust Dr Mandelberg’s recommendation on any subject related to my son’s condition. I have already recommended him to anybody who might benefit from his services.
We are extremely happy with everything, if he was working with insurance we probably be even more happy but otherwise his entire team is wonderful and we feel very lucky to have the opportunity to be in his care.
"
10,Dr. Meenakshi PATEL,Los Angeles,California, Pediatricians , Female,12,4.96,2017-09-08T18:06:23.170Z,5,5,5,5,5,Highly recommend. Very knowledgeable and thorough when examining 
11,Dr. Meenakshi PATEL,Los Angeles,California, Pediatricians , Female,12,4.96,2017-07-06T22:34:27.879Z,5,5,5,5,5,First time visit was great. Everybody was friendly and professional. ..
12,Dr. Meenakshi PATEL,Los Angeles,California, Pediatricians , Female,12,4.96,2017-07-06T21:19:46.855Z,5,5,5,5,5,She was very kind and helpful. First time visit was great!
13,Dr. Meenakshi PATEL,Los Angeles,California, Pediatricians , Female,12,4.96,2017-06-29T17:48:46.083Z,4.5,5,3,5,5,Doctor Patel was very thorough with my daughter's exam. She addressed all concerns and explained all charts. Provide great advise. Her staff was friendly and made my daughter feel at ease after three vaccines and blood drawn. Great overall first time experience with Dr. Patel.
14,Dr. Meenakshi PATEL,Los Angeles,California, Pediatricians , Female,12,4.96,2017-06-15T17:03:26.039Z,5,5,5,5,5,"Great office, doctor, & staff. Everyone is very nice and helpful. Professional and fast. Dr. Patel is a very sweet doctor. She always answers our questions and my baby is very comfortable with her. Nurse and receptionist are very nice as well."
