,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Gary B. Spector,Seattle,Washington,pediatrician, Male,9,4.33,2014-10-15T04:36:18.390Z,4.5,5,3,5,5,"I've taken both my boys, since birth, to Dr. Spector. Even after relocating an hour away, I don't feel right switching to a different pediatrician (And I've tried two out near our new home when the younger was newborn.) He's a great doctor, very knowledgeable, and honest. Yes, he has a funny sense of humor, though never offensive. He also makes my kids laugh and feel comfortable. His nurse, Amber, is a joy to work with when we visit. Staff is very friendly and fast! I trust him with my boys, and trust he'll listen when I have concerns; and take action when it's needed."
1,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2014-10-01T18:36:12.663Z,4.8,5,4,5,5,"I have to say my experience as a staff member working with Dr. Spector has been much different. He has been kind, supportive and lots of fun to work with. I can honestly say I have really enjoyed working with him and have never heard him yell or scream at anyone. He is really a great doctor and a great person."
2,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2013-09-15T16:46:45Z,3.3,3,2,3,5,"Dr.Spector is a great doctor, but not very nice to work for as an employee. He is greedy, selfish, and screams and yells when he doesn't get his way. It was a nightmare working for him needless to say!"
3,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2012-03-02T00:00:56Z,4.5,4,4,5,5,I have taken my three children to him and have complete confidence in him. My children look forward to seeing him as well
4,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2008-04-16T23:02:34Z,4.5,4,4,5,5,"I cannot imagine trusting my daughters to anyone else! He is extremely thorough, very comforting, follows up and responsive. My friends all go to him as well and it sounds like a fan club when we get together. Word of warning, however. He used to be a professional standup comedian to pay for school and his jokes are rarely politically correct even though they are hysterical. Besides being an outstanding pediatrician, he is also a cancer specialist. He explained his humor to me once by saying, believe me, I know what is serious and everything else in life is to be enjoyed."
5,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2008-03-14T00:18:00Z,5,5,5,5,5,"We LOVE Dr. Gary! I drive more than an hour each way to take my kids to him. He is so thorough and knowledgeble about everything. If there is ever a question, he takes every precaution. He has always personally called the next day to check up on the kids after any sickness or injury. He makes himself available at all times and responds so fast if I have questions. We love his humor and candid replies to everything. He is an amazing doctor, we are lucky to have found him!"
6,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2007-08-03T22:54:44Z,3.5,2,2,5,5,"Dr. Spector was wonderful, terrific, kind, helpful, blunt, and willing to go the extra mile again, again, and again. Far and away the best baby/kid doc any of my kids have ever seen, not only because he's smart and insightful, but because he has heart and is forever an advocate of the child. He does have a quirky sense of humor that took some getting used to, and I could readily imagine that might rub some people the wrong way. Gary Spector is a one-in-a-million doc--a thoroughly decent and good guy and an extraordinary pediatrician."
7,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2006-09-08T18:42:30Z,4.7,,5,4,5,"Dr. Spector was extremely innapropriate in his comments in front of a 4 year old female patient. While his diagnosis was fine, his judgment was very poor."
8,Dr. Gary B. Spector,Seattle,Washington, Pediatricians , Male,9,4.33,2006-03-29T15:40:47Z,4.7,,4,5,5,"We used Dr. Spector's services from birth thru adulthood. He is extremely knowledgable, professional, thorough, and caring. He really listens to his patients and their parents, and acts accordingly. He is very practical and very dedicated. Every call was returned, and if it needed his personal attention, he was the one that called back. He earned our trust and never failed, in 20 years, to maintain that trust. Thanks SO much Dr. Spector!"
9,Dr. Gloria A. Arand,Seattle,Washington, Pediatricians , Female,3,4.92,2013-09-25T14:05:31Z,5,5,5,5,5,"Dr. Arand has been wonderful for all my children. She is knowledgable, kind, and has helped us through some scary medical issues. We have never had to wait longer than five minutes. Great doctor!"
10,Dr. Gloria A. Arand,Seattle,Washington, Pediatricians , Female,3,4.92,2010-03-04T18:48:46Z,4.8,5,4,5,5,"We consider ourselves lucky to have had Dr. Arand as our infant son's doctor. She takes time with our baby, is competent and knowledgeable, and very support of new parents. She is supportive of breastfeeding and helped us tackle breastfeeding issues. Her staff is helpful, friendly, and respectful. When we had urgent concerns the clinic was responsive by phone and if necessary got us a same-day appointment. Our sole complaint is that occasionally wait times in the clinic are longer than we would like. We are sorry to leave her behind because of a move, and heartily recommend Dr. Arand for newborn care."
11,Dr. Gloria A. Arand,Seattle,Washington, Pediatricians , Female,3,4.92,2008-12-31T12:55:24Z,5,5,5,5,5,"The best, very atypical of Seattle's ""elite"". Down to Earth and very caring about children, not time, or status. Dr. Arand is the epitomy of excellence. She is concerned about the care of my children, not her clock, or quotas. It's refreshing to find a ""throwback"" like Dr Arand."
12,Dr. Jessica A. Lichter,Seattle,Washington, Pediatricians , Female,3,4.83,2012-11-29T23:14:16Z,5,5,5,5,5,"Im a international student. the day i lived in the hospital was looked by Dr.Lechter. A very good doctor, who is very kind. Very appreciate her."
13,Dr. Jessica A. Lichter,Seattle,Washington, Pediatricians , Female,3,4.83,2011-10-05T13:56:02Z,4.5,4,4,5,5,"I love this doctor, she was there when my daughter was born at UWMC and then we chose her to be our pediatrician for her after and she is nothing but fresh kindness"
14,Dr. Jessica A. Lichter,Seattle,Washington, Pediatricians , Female,3,4.83,2011-04-24T19:43:45Z,5,5,5,5,5,Good doc. I appreciate your kindness and it was a breath of fresh air talking with someone who listens.
15,Dr. Richard K. Gould,Federal Way,Washington, Pediatricians , Male,5,4.82,2012-05-07T10:30:51Z,5,5,5,5,5,"I never have a problem with billing here, but I have at other places. DR Gould is gentle with the children and clearly has the experience behind him. We never second guess his advice. We drive 45 minutes for doctor's appts and wouldn't change it for anything."
16,Dr. Richard K. Gould,Federal Way,Washington, Pediatricians , Male,5,4.82,2008-06-16T23:37:27Z,5,5,5,5,5,"Dr. Gould is calm, caring and compassionate. He sees both my son and daughter and not only do I think he is the best but they do too."
17,Dr. Richard K. Gould,Federal Way,Washington, Pediatricians , Male,5,4.82,2008-06-08T18:56:48Z,4.5,4,4,5,5,Dr Gould is AMAZING. He is always patient and kind. My children have seen him since they were born and they absolutely love him. He is thorough and I have never walked out his office feeling uncomfortable.
18,Dr. Richard K. Gould,Federal Way,Washington, Pediatricians , Male,5,4.82,2007-03-31T01:39:12Z,5,,5,5,5,"Dr ""G"" saw my daughter from 1974 to 1989. He is the best damn doctor ever! I only wish I could have found one like him for myself..He's very through & explains everything he does & why he's doing it or what he's looking for...I HIGHLY RECCOMMEND him for ANY first time mother; He will surely put your mind at ease! I""m hoping to take my grandson to see him!! I can't say enough about how wonderful this man & doctor is.Thank GOD is is still practicing medicine.."
19,Dr. Richard K. Gould,Federal Way,Washington, Pediatricians , Male,5,4.82,2006-12-04T15:33:32Z,4.7,,4,5,5,"Dr. Gould has taken care of all my children since birth and has seen everything from prematurity, the affects of Rh incompatibility, a 3 week old with strep throat, heads that need stitches, broken noses, and anything else you can think of. He has always handled each case calmly and explained everything very carefully. He interacts very positively with my children and is careful to answer all of THEIR questions too. He comes highly recommended by every nurse I've talked to (and not just those at his office!) and I add my recommendation as well!"
