,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Mark C. Stovroff,Atlanta,Georgia,surgeon-general, Male,31,4.87,2019-05-02T13:32:21.152Z,5,5,5,5,5,"Dr.Stovroff is amazing!! He is everything that every doctor should be.
My son was very sick for 3 months and after numerous GI specialists who wanted to diagnosis him with IBS, our pediatrician did an ultrasound and it appeared that his gallbladder was the issue, but again no specialist or CHOA ER doctor would help and were insistant that it was not the problem. Dr. Stovroff and his nurse practitioner, Farrah Patti, actually listened to the entire history and after an examination truly believed that the gallbladder needed to be removed. It has been 6 weeks and my son is back to being a normal, active, pain free kid!! We thank God for Dr. Stovroff!"
1,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2019-04-17T20:11:12.343Z,5,5,5,5,5,"I would like to say a big “thank you” to Dr. Mark Stovroff, and their entire office staff for providing excellent care and extraordinary results on my son’s surgery. My son is 14 years of age and we have taken him to several doctors to get opinions on his concave chest. Many doctors said it was not an issue just cosmetic. We did some investigating and found this to be Pectus and he should get pectus excavatum surgery. Not only did we want what was medically best for my son but he also wanted the surgery as soon as possible as he seemed to be self-conscious about the way it looked, it only got bigger as he grew. We went on the internet and tried to look for the best doctor who does this surgery and little did we know it was right in the same area where we lived. We met with the doctor and he knew what the condition was and he told us he has done appx 160 of these in the past. His team helped out getting everything we needed to have this done on spring break. We felt so comfortable moving forward we would have drove 1000 miles for him to do the surgery. The day came for the surgery and all went as planned, everything was just as we were told. I will tell you when you look on the internet you will be scared and we were but 1.5 hours later he came out and told us all went well. We stayed in the Hospital 2 days and on the third day my son walked out from the second floor to the car. His surgery came out so well he is now walking around in tank tops and shirtless and we now look forward in having him go to the pool again. I am so happy with the decision on having Dr. Stovroff do my sons surgery that anyone looking to have this surgery for their child and want to know anything that they can expect I would be glad to answer any questions just ask the Dr. to give them our # and call me and I will answer everything. Once again thank you and wish you well.
Scott Robinson Surgery date April 2, 2019
"
2,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2019-03-08T15:56:44.632Z,5,5,5,5,5,"Dr Stovroff and his staff are awesome!! I needed double hernia repair and I was referred to him. From my first appointment I knew that he was the doctor for me. put me at ease answering all of my questions, day of surgery he explained the procedure thoroughly to me. After surgery I had a couple of questions, I called his office knowing that they were closed to leave a message. To my surprise doctor Storvoff answered the phone!! 
What a great doctor."
3,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-11-27T21:44:02.102Z,5,5,5,5,5,"We loved Dr. Stovroff. He performed an inguinal hernia surgery on our 6-month-old son and his confidence put us at such ease. He was always straightforward with us and made it very clear this was a very common and simple procedure. He stayed positive, which kept us positive! He never beat around the bush and we never felt misled in any way. His staff was also amazing—particularly Nurse Farrah and Ms. Kelsey (at the front desk). "
4,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-11-19T20:18:17.342Z,5,5,5,5,5,"Dr. Stovroff is a fantastic doctor. He has provided my son with excellent care while correcting his Pectus Excavatum, and is always the highlight of our day when we visit his office for checkups. Last week, we had our last visit with him and our Pectus journey is over. I can say now wholeheartedly that being recommended to Dr. Stovroff was truly a blessing for my son and our family. I have complete confidence in his level of commitment and expertise he brings to the children he treats."
5,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-11-05T07:36:14.270Z,5,5,5,5,5,"In 2016 Dr. Stovroff performed the Nuss procedure on our oldest daughter to correct her pectus excavatum. She has done exceptionally well with her bar in the last two years, and her pectus excavatum has been beautifully corrected! Dr. Stovroff did a great job with our first daughter, and we did not hesitate to contact him when we noticed that our second daughter also appeared to have pectus excavatum. Dr. Stovroff performed the Nuss procedure on our second daughter during the summer of 2018, and we have been so happy with her recovery and results also! Thankfully, no more of our children seem to have pectus excavatum, but we would not hesitate to go to Dr. Stovroff if they did. We are happy and confident in recommending Dr. Stovroff to anyone in need of the Nuss procedure to correct pectus excavatum! His results in our children have been amazing! I also want to give credit to Northside Hospital and their amazing nursing staff for their excellent care during the recovery process!"
6,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-10-25T15:01:36.429Z,5,5,5,5,5,Dr. Stovroff came highly recommended by our pediatrician and other foster families we work with. He is wonderful to work with and very precise. We have seen him multiple times for surgeries and will continue to use his practice and recommend him to anyone who asks. 
7,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-09-29T11:03:31.075Z,5,5,5,5,5,No one likes getting injured and my injury was work related and Dr. S made my process a very ease and smooth process! I would recommend him to anyone! - Brock 
8,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-09-28T02:33:38.031Z,5,5,5,5,5,"Dr. Stovroff and his staff are absolutely amazing! Dr. Stovroff and his team have cared for me through my surgery and multiple visits to his office in a period of 6 months! They have helped me in every step of the way! Always super nice to me, from the front desk to the patient room and out! Im sure that I am not the only one that feels this way!!
Thank you Dr. Stovroff , Farrah Patti, Daniel, and the whole team!! "
9,Dr. Mark C. Stovroff,Atlanta,Georgia, General Surgeons , Male,31,4.87,2018-08-15T00:38:57.648Z,5,5,5,5,5,"Excellent experience beginning to end. When your child needs to have a surgery and they are young, in this case my son was only 6 months old, you want to feel as confident and comfortable with the surgeon and their team as possible. I can’t say enough for Dr. Strovoff and his group. I called after hours post procedure with a concern and Dr. Strovoff called me back within minutes to address my concerns and assure me all was well. He’s very personable. I highly recommend this team! "
10,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-05-22T23:52:52.365Z,4.3,4,4,5,4,He was very professional and knowledgeable. He also had bedside manner which is hard to acquire these days unfortunately. I will be visiting his office again for a procedure and I feel comfortable because of him and the staff. 
11,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-05-15T20:43:13.216Z,5,5,5,5,5,"Dr. Singh is personable, knowledgeable and friendly. He takes time to explain what's going on with you."
12,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-04-01T21:45:58.532Z,5,5,5,5,5,Very knowledgeable and personable. I felt very well attended to.
13,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-03-04T22:06:26.865Z,4.8,5,4,5,5,"The staff and Dr Singh are always professional, knowledgeable and helpful. Dr Singh’s consultation, exam and results process makes me feel comfortable and at ease. "
14,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-02-25T22:33:06.106Z,3,3,2,4,3,Seems like he knows His field pretty well. Visit was short but I felt ok about him. 
15,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-02-24T17:10:04.846Z,5,5,5,5,5,"Professional, knowledgeable and personable. Enjoyed spending time with him."
16,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-02-19T19:15:42.803Z,5,5,5,5,5,Everyone was professional and on cue. Dr Singh took some to to get to know me so he had an idea about my habits.
17,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-02-14T14:54:09.528Z,5,5,5,5,5,"Dr. Singh knew exactly what I was trying to say and could pratically finish my sentences for me. He had read my files before I walked into his office. That impressed me very much. I have a lot of doctors. I have to say, I still have to tell most of them why I am in their office. Dr. Singh did his homework, impressed me and my husband. I have to push to get the test actually set up. But I am still new so we will see. But so far he gets a 5."
18,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-02-14T00:01:35.813Z,5,5,5,5,5,Dr Singh and staff is very Professional Highly Recomend him 
19,Dr. Jay J. Singh,Atlanta,Georgia, General Surgeons , Male,31,4.48,2019-02-13T16:28:00.988Z,5,5,5,5,5,"Great doctor listens well, very knowledgeable and compassionate "
