,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Romeo A. Lainez,Houston,Texas,surgeon-general, Male,60,4.99,2019-04-23T09:10:23.661Z,5,5,5,5,5,"Dr. Lainez has by far been my favorite doctor in Austin. I wish he was my primary care doctor, not just a surgeon I saw for a quick procedure. He is very kind, funny and attentive to questions and concerns. If I ever need a surgeon in future, I will request him.	"
1,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2019-03-12T08:05:56.576Z,5,5,5,5,5,"He’s wonderful. Spent lots of time with me. Answered all questions. Fabulous	"
2,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2019-01-28T11:40:49.834Z,5,5,5,5,5,"He listened, answered questions patiently and fully prepared me for what to expect.	"
3,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-12-31T10:34:52.670Z,5,5,5,5,5,Great doctor & surgeon. Very patient and kind. Explains things in plain english so we can understand what's all going on.
4,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-12-24T10:54:07.357Z,5,5,5,5,5,Doctor and staff answered all my questions patiently and in plain English so I could understand them. The whole procedure turned out very well.
5,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-12-19T10:23:08.381Z,5,5,5,5,5,"I had a great experience overall. Everyone was very helpful and answered all of my questions before, during, and after my procedure."
6,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-12-10T11:32:44.161Z,5,5,5,5,5,"Reading the online reviews for Dr. Lainez was the major contributor to why I selected him for my bariatric surgery consultation. The reviews rang true -- he was friendly and compassionate and seemed to genuinely care about my health and my reasons for considering surgery. Should I move forward, I look forward to him being my surgeon."
7,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-12-03T10:13:23.495Z,5,5,5,5,5,I'm very happy to have meet Dr. Laniez very caring person I was really worried about going thought the process of it all but he always assured me all will be fine i thank him from the bottom of my heart I will forever be grateful he gave me more time to be with my kids instead of being in hospital with pain. Thank you very much!
8,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-11-29T07:47:01.241Z,5,5,5,5,5,It is always a pleasant experience. I happened to be running late that day and they were so accommodating and understanding. I am always concerned about being on time. The entire staff is always pleasant and up beat! Always a great visit! Thank you staff for making my visit great!
9,Dr. Romeo A. Lainez,Houston,Texas,General Surgeon, Male,60,4.99,2018-11-20T09:31:37.917Z,5,5,5,5,5,"Dr. Lainez operated on our 16 year old son. Our son had never had surgery before and my husband and I were extremely nervous/anxious. Dr. Lainez explained the whole procedure to us. His bedside manner was amazing. He was kind and was very sympathetic in addressing our fears. The operation was successful. My son's wound is healing just as it should. After surgery, my son only took one pain pill. I believe that was due to Dr. Lainez's excellent surgery and also the fact that he spoke to my teenaged son directly about what to do and not do as far as post-surgery care. I highly recommend Dr. Lainez - a great surgeon and a great person!"
10,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2014-11-19T16:19:15.734Z,4.8,4,5,5,5,"Difficult not to rate this Doc a 5-star, but his Assistant (Whom I call Renfield, an Aggie, of all things!) can be troublesome. Assistant is almost gone, so all will be well shortly. Dr. Newton handled my case from Emergency, through disconnect and now through reconnect. He has been kind, knowledgeable, willing to share knowledge, and in my case, very patient, and I have pushed him to find out what kind of man he is. Always best to know before he cuts into your belly (again). I have the addition of a compromised immune system (Lyme Disease) and unfortunately, I think he asked the wrong colleagues about it, and was given the standard BS. It's okay, I hope he never finds out about it, personally. Dr. Newton is top notch & I have no problem recommending him to anyone for the type of procedure(s) in which he specializes. He's done an excellent job.
P.S. - The 4 stars regarding his staff is because one of his nurses was quite rude to me on the phone after my 1st OV. That's okay, it's not the first time, nor the last time I make someone on a Dr.'s staff angry at me."
11,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2013-07-10T21:22:58Z,5,5,5,5,5,"Dr. Newton performed my husbands reversal of his ileostomy. Our original surgeon wanted to perform this reversal after him being out of the hospital for 3 weeks (he was in the hospital 54 days). Dr. Newton performed the surgery 4 months later and did a wonderful job. had I gone with the original surgeon I would not be writing this. He explained everything to us and left nothing on the table. He was suppose to be on vacation and he showed up in our room early on a Saturday morning to check on my husband. If you ever need a great colon doctor, look no further."
12,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2013-04-15T10:08:03Z,5,5,5,5,5,Dr Newton is the best there is. He is so patient and kind and takes the time to explain things to you in a way you can understand not using dr language. After being diagnosed with colon cancer and deciding surgery was needed he came in on his day off to explain to my family what was going to happen. He genuinely cares for his patients and no question was to small or to minor. He was such a God send during this terrifying experience. Dr. Newton is the best there is according to the nurses at the hospital. He even came in during a hurricane to check on his patients. He is an amazing dr and better yet an amazing person who wants only the best for his patients and makes sure that that is what they receive. I will tell anyone who will listen to go to him because he is the best.
13,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2012-09-14T10:57:49Z,5,5,5,5,5,Had large polyp removed by Dr Newton. He made an extremely stressful time so much better. He really cares for his patients. He personally called me to give me the good news that is was benign. He is wonderful.
14,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2012-05-25T17:04:46Z,5,5,5,5,5,"dr. Thomas Newton , is a smart , funny well informed man . i am having surgey next month but so far he has a good manner . I here he is the best. i will get back with ya'll next month."
15,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2012-04-20T14:14:47Z,5,5,5,5,5,Dr. Newton is a kind and caring surgeon. He performed colon surgery on me two years ago and through the surgery and follow-ups I have always felt in good hands. He is very thorough and skilled. I would highly recommend him to anyone!
16,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2011-08-13T13:11:28Z,5,5,5,5,5,"Dr. Newton performed colon surgery on me last Summer. He was genuinely caring and professional. He is low keyed and takes time with his patients. The nurses in the hospital said that all of their surgeons were good but there were two whose patients seemed to spend less time in the hospital and healed quicker. Dr. Newton was one of those surgeons. I have every faith that my recovery time was shortened by his skill and knowledge. I cannot recommend this Doctor enough. This was my first surgery and if surgery can be a good experience, this one was. I will go back to him without hesitation and would recommend him to anyone who wants a compassionate and skilled surgeon. Characters typed: (limit: 1000 characters)"
17,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2010-09-30T01:03:31Z,5,5,5,5,5,Excellent colon and rectal surgeon. Very comfortable with his skills.
18,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2009-07-20T16:10:46Z,5,5,5,5,5,"My Dr. found cancer during a routine colonoscopy, and recommended Dr. Thomas Newton for my surgery. Dr. Newton took time to explain and educate my Husband and I on my condition and options. We immediately knew we were in good hands, and we were right! Dr. Newton removed my tumor, further biopsy of surrounding areas and lymphs for cancer turned out clear! Dr. Newton is a talented Dr. and a warm, caring and calming man. I recommend him highly!"
19,Dr. Thomas R. Newton,Houston,Texas,General Surgeon, Male,11,4.98,2009-05-13T08:28:58Z,5,5,5,5,5,"Dr. Newton took care of my brother as he was treated for anal melanoma. He performed several surgeries and procedures, s we spent a lot of time with him. He often stopped in to see my brother in the hospital, even though my brother was not requiring his services at that time. He stopped by as a friend. He was kind, caring, encouraging and professional. My brother passed away in 2005. Two years later, I went to Dr. Newton for a routine colonoscopy and he remembered my brother and asked about my elderly uncle who often accompanied us to his office. With Dr. Newton's care and concern, he made a very sad and tragic time more bearable and hopeful for us. I think Dr. Newton is a rare doctor who is very skilled and professional but who possesses true concern and caring for his patients. Do not hesitate to chose him as your care provider."
20,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2016-09-03T22:49:29.346Z,5,5,5,5,5,Dr. Brunicardi is an excellent Doctor. His skills and bedside manner are amazing. He is the best of the best. I would recommend him to anyone who needs a surgeon.
21,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2016-04-14T20:30:39.356Z,5,5,5,5,5,"My mother who is in her 80's had Gall Bladder surgery and she recovered excellently with no problems. Dr. Brunicardi was helpful, caring, patient and extremely knowledgeable. I would recommend him anytime."
22,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2015-07-06T06:02:32.328Z,5,5,5,5,5,"Great Surgeon: a doctor that other doctors choose for their own care.
Wonderful bedside manners, outstanding surgical skills with great results.
Pleasant, friendly, easy to approach. Cares a lot about his patients and makes time in his busy schedule to call his patients personally to enquire of their progress and give test results. He is an asset to the profession of medicine."
23,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2015-01-17T04:15:08.185Z,5,5,5,5,5,"Dr. Francis Charles Brunicardi saved my life. Without him and his team, I would have died. I have undergone two lifesaving operations under him and Dr. Brunicardi is the very best. He has seen me through my recovery and has been there for me.
I am very lucky to have such a most wonderful doctor. My primary doctor called him personally and he didn't hesitate to see me. The staff is absolutely the best. They treat everyone so kind and decent and they take their work serious. They always have a smile and a kind word for the patients. During my stay at the hospital, he came and saw me and told me that he had to go out of town, he said that he would have felt bad if he had left and not checked up on me. I had tears in my eyes, he really cares about his patients, their well being and their recovery. Dr. Brunicardi is the most kindest, decent, caring, doctor and human being. He is a super credit to his profession. I would most definitely recommend Dr. Brunicardi who needs an operation. Thank you so very very much.
God Bless You Dr. Brunicardi.
Sincerely,
K. L. Koster"
24,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2015-01-05T19:03:10.020Z,5,5,5,5,5,"Dr. B is one of the kindest person's on the planet. He is such a skilled surgeon and treats everyone as if they were family. He is the best!!!!! If you need a general surgeon, he's the only one."
25,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2014-06-03T12:27:48Z,4.3,2,5,5,5,This doctor is everything they say and more .this comming from an ICU nurse that deals with that side!awsome MD!!!
26,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2012-02-22T13:58:16Z,1,1,1,1,1,the doctor seems wonderful but the office staff is a joke...no help at all in even requesting authorizations My first visit I waited 55 min to see dr...they just over-booked...I love the doctor and will continue dealing with these less that qualified office staff
27,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2012-01-30T15:43:01Z,5,5,5,5,5,He is a great doctor and a great surgeon. He did my colon resection and made me a new belly button. He put in and took out my port. He is very caring and helpful. He is the best.
28,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2011-06-19T11:49:57Z,5,5,5,5,5,"My husband and I cannot give this Dr. enough accolades. He is the most kind, compassionate,informative, and helpful Dr. we have ever had the pleasure of having a business relationship. My wife had a serious and deadly illness and Dr. Brunicardi was there for months with help, kindness, knowledge. Since that time he has seen us through many health problems and we are living life to the fullest because of his expertise. C.R. &Polly Ferguson"
29,Dr. F. Charles Brunicardi,Monica,California,General Surgeon, Male,19,4.68,2011-06-16T08:52:44Z,5,5,5,5,5,"I had a Cyst On my back and did two surgey on it but never healed because of the mistake both surgen did, but when i found Dr. Burnicardi and had a Visit with he found out what is a problem i had and did a surgey on me and now im healed. i would recomended to everyone if they need to do a surgey because he is one or the best surgen in this country"
30,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2017-09-16T00:11:30.446Z,4.8,4,5,5,5,"He's an exellent Doc with a great knowledge. In July 2017, I had gallbladder surgery(laparoscopic). It's been a month. So far I have no issue. Dr. Aramburo has a great bedside manner. Today I had last visit with him. I never forget this Doctor.
Thank you Dr. Aramburo"
31,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2014-02-11T14:29:25Z,5,5,5,5,5,"I was looking for a General Surgeon that is in-network with my insurance plan. My Family Doctor recommend me to see Dr. Aramburo. First impression, he greet and listen to me, examine me with excellent bedside manner and discuss my situation in details with all the options that I have and satisfied all my questions and concerns. I find him very knowledgeable and I like the way he treat me with dignity. I decided to choose Dr. Aramburo as our Surgeon and I recommend him to every body. The office staffs is also very friendly & helpful."
32,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2014-02-05T16:52:03Z,5,5,5,5,5,Excellent doctor. He is a great surgeon. He cares about you as a patient and does a great job on his surgery that he does for you.
33,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2013-03-04T19:55:32Z,5,5,5,5,5,Great doctor and he does a great job on your surgery. I had many surgeries with him and I would highly recommend him for his great skills as an amazing surgeon.
34,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2010-01-26T15:02:35Z,4.8,5,4,5,5,"I have had numerous surgeries with Dr. Aramburo. I highly recommend him to anyone who needs a surgeon. He is a great surgeon and really cares about his patients. You go, doc."
35,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2010-01-22T22:21:00Z,5,5,5,5,5,Dr. Aramburo removed my gallbladder in July 2006. I was very pleased with him as my doctor. He was very knowledgable and patient. His bedside manners was the best I had ever experienced. It is a pleasure to know that he is progressing very well with his career and I would definitely recommend him to family and friends.
36,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2009-11-02T15:13:19Z,4.8,4,5,5,5,The doctor was very informative with my daughter who is 15. Made her feel very comfortable with the procedure that was to be done. Post surgery was great also.....he was there to answer any questions that were a concern.
37,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2009-02-20T14:57:33Z,5,5,5,5,5,Very knowledgeable. Takes time with his patients and is very caring.
38,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2008-11-26T15:38:20Z,5,5,5,5,5,Dr. Aramburo was my Lap Band surgeon and was fabulous! I would recommend him highly to anyone.
39,Dr. Charles J. Aramburo,Houston,Texas,General Surgeon, Male,14,4.8,2008-11-14T21:36:57Z,5,5,5,5,5,"Dr. Charles Aramburo performed my Lap Band surgery and he is AWESOME! Absolutely the best out there...hands down! Extremely compassionate, highly recommend him to all!"
