,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Hrayr Karnig Shahinian,Los Angeles,California,surgeon-general, Male,75,4.59,2019-04-30T19:20:53.003Z,5,5,5,5,5,Dr shahinian is the best surgeon I have ever been to. He gave me my life back.
1,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2019-04-03T17:04:05.016Z,2.3,4,2,2,1,He performed a MVD surgery and guaranteed I would no longer have facial spasm. I do have a few twinges now and then. The main problem is the surgery left the right side of my face partially paralyzed with the right eye that will not close and a right side droop. I am disfigured! In constant eye pain and totally hearing impaired in the right ear. When confronted he told me it was due to the prior gamma knife surgery I had. He SHIFTED the BLAME on another surgery. The other surgery had NOTHING to do with the disfigurement of my face! I would definitely NOT recommend him! 
2,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2018-07-04T14:43:32.116Z,3.3,2,4,3,4,He is not a board certified Neurosurgeon. We traveled from the east coast to have my wife’s trigeminal neuralgia repaired. We were led to believe that surgery would be at Cedars-Sansa and then st last minute he switched hospitals for unknown reasons. He of course made no garuntees but was confident he could fix her problem even though she had had prior gamma knife surgery and she voiced concern over scar tissue. He fix her problem but cut her facial nerve due to scar tissue and she had a stroke which he missed. And he left a defect athe entrance to the surgery site that we later had to have fixed by a plastic surgeon. 
3,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2018-03-27T00:46:08.303Z,1,1,1,1,1,"He told me I had brain tumor and wanted to open up my skull ASAP, but he was wrong. It was just a viral infection and I didn’t need any surgery. He caused me and my family tremendous mental and emotional stress and anguish due to his lack of knowledge. "
4,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2018-02-23T18:20:23.540Z,1.5,2,1,2,1,"BE AWARE! Although the surgery was better than opening my skull, along with the meningioma tumor, he removed part of my brain which caused me to lose my short term memory! On September 9, 2016​, the Medical Board of California, Department of Consumer Affairs, revoked the Physician and Surgeon’s Certificate"
5,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2017-09-12T04:23:45.374Z,1,1,1,1,1,This surgeon ruined my life!!! He removed an acoustic neuroma and caused permanent paralysis to my face. I will never be able to smile again!!! DO NOT USE HIM!!! I wish I had used a real surgeon!!!
6,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2017-06-11T17:40:51.791Z,4.8,5,5,4,5,"I had AN surgery in 2012. I was most interested in the minimally invasive approach. I assume my results were probably about the same based on location of tumor but was not prepared for the Bells Palsey look, synkinesis and numbness. I returned home after surgery and only Skyped with Shahinian a few times after. Follow up after surgery was poor and Skype after 3 months would have cost S350 per (5 minute) session. I was continually told to wait and I'd be better but still have problems with facial reanimation. And that is with NOT waiting and finding excellent help with facial retraining, as well as surgery Gracillis Muscle Transfer (in Boston) to smile. "
7,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2017-04-04T03:26:03.002Z,5,5,5,5,5,"
Dr Hrayr Karnig Shahinian one word...Amazing!
"
8,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2016-08-22T02:37:10.015Z,1.5,3,1,1,1,"This guy is a sham, he's not even a neurosurgeon. Went for a consult and he told me he could cure every ailment I had including a neurological disorder that is incurable. His staff sent an estimate and it was more than 3Xs that of any other procedure quoted to us. He tried to justify it, but my family and I could see right through him. "
9,Dr. Hrayr Karnig Shahinian,Los Angeles,California, General Surgeons , Male,75,4.59,2016-03-24T02:35:24.265Z,5,5,5,5,5,"Dr. Shahinian and his team are miracle workers. I have seen about 5 different neurosurgeons in different states (most of them from highly reputable hospitals) before I found SBI. Most of them spent barely any time with me during consults (or their PA's saw me instead) only to recommend the old technique, open brain surgery. My first Skype consultation with Dr. Shahinian was the most informative and educational out of the 5 I had with other neurosurgeons. His fully endoscopic surgery made sense to me. Dr. Shahinian removed my acoustic neuroma in 2013 and I am forever thankful for getting a second chance at life. "
