,doctor_name,city,state,specialty,gender,review_count,overall_rating,review_date,individual_rating,staff_rating,wait_time_rating,helpfullness_rating,knowledge_rating,review
0,Dr. Thomas R. Biehl,Seattle,Washington,surgeon-general, Male,4,5,2014-10-21T03:04:45.159Z,5,5,5,5,5,"Dr. Biehl saved my dad's life! Four years ago my dad was diagnosed with pancreatic cancer. It was a terrible cancer to have because most patients had no symptoms until it is too late. We search high and low for a surgeon who would take my dad's case. After much effort, no one thought that was a possible surgery except Dr. Biehl. I still remember the surgery day. It was intense and emotional. But my dad made it! It has been four years now and my dad is doing well. I always want to thank him. Thank you Dr. Biehl for doing what you do. May God bless you!"
1,Dr. Thomas R. Biehl,Seattle,Washington, General Surgeons , Male,4,5,2014-10-14T01:52:45.387Z,5,5,5,5,5,"He saved my life with a very complicated whipple surgery. The best pancreatic surgeon in Seattle! He has tremendous knowledge, skill, experience, and the sweetest disposition ever."
2,Dr. Thomas R. Biehl,Seattle,Washington, General Surgeons , Male,4,5,2013-09-07T11:40:11Z,5,5,5,5,5,"Kind, thorough, honest, down-to-earth, open, prompt. I received great care from him and his staff for the gall bladder removal and hernia repair. I felt like I was in good hands in his office and the operating room. I highly recommend him if you need surgery in one of his specialties."
3,Dr. Thomas R. Biehl,Seattle,Washington, General Surgeons , Male,4,5,2010-10-30T17:08:29Z,5,5,5,5,5,"The most amazingly skilled surgeon ever! If you need pancreatic surgery, he's one of the best in the nation. So kind and compassionate, always smiles, and is a good listener. He saved my life."
4,Dr. Lisa M. Precht,Seattle,Washington, General Surgeons , Female,5,4.7,2018-01-25T19:04:24.448Z,3.5,4,4,4,2,"I am shopping for a doctor who offers liposuction. Dr. Precht's claims about her credentials are misleading -- she is board certified as a general surgeon, not a cosmetic or plastic surgeon. The American Academy of Cosmetic Surgery is only a membership group open to all physicians, not a certification board. Nor does it offer surgical fellowships, like Dr. Precht claims. "
5,Dr. Lisa M. Precht,Seattle,Washington, General Surgeons , Female,5,4.7,2014-08-30T05:06:37.043Z,5,5,5,5,5,"I had liposuction done on my abdomen & hips 5 weeks ago. I did A LOT of research before I chose Dr. Precht. I am so incredibly happy I chose her! The day of the procedure went very smoothly, and that afternoon I just went home and slept. The next day, I was back to my usual self, although I was a little sore. But already my results are beyond my expectations!! I am finally comfortable with my body, and I recently put on a bikini and felt great, something I hadn't done in YEARS!!! Her staff is super nice and professional, and made me feel so welcome every time I had an appointment. I am so happy with my results and highly recommend her!"
6,Dr. Lisa M. Precht,Seattle,Washington, General Surgeons , Female,5,4.7,2014-08-05T22:15:31.208Z,5,5,5,5,5,Amazing surgeon! Love my results from Vaser Lipo!! Only wish I did it sooner. Thank you Premier Cosmetic Surgery & Dr. Precht!!
7,Dr. Lisa M. Precht,Seattle,Washington, General Surgeons , Female,5,4.7,2014-07-21T15:40:50Z,5,5,5,5,5,Amazing surgeon!! So happy I chose her! Couldn't be happier with my results!
8,Dr. Lisa M. Precht,Seattle,Washington, General Surgeons , Female,5,4.7,2013-07-23T08:22:46Z,5,5,5,5,5,"Dr Precht and her staff have been over the top helpful and friendly through out the entire process of my Tummy Tuck. Even to the point of having Dr Precht's cel phone # after surgery to call anytime day or night 24-7 with any questions or concerns I might have. I have never heard of a doctor doing that before! Also the costs were exactly what were estimated. After researching, Dr Precht was far above the rest on the list for me and I am exceedingly happy I chose her. She is very easy to talk to. Also, her staff is super friendly. The whole experience was a happy one."
9,Dr. Grant R. Lohse,Seattle,Washington, General Surgeons , Male,3,5,2017-05-17T04:56:50.481Z,5,5,5,5,5,"I was really pleased with my recent visit to Proliance. The customer service is top notch, professional and friendly. I would like to call out Dr. Lohse for his extra care. I came in with Mallet's finger, which is relatively common for somebody in his field, but he really took the time to explain it to me and what my options were, including the pros and cons. Highly recommended from expertise to bedside manner, thank you!"
